Datetime,Basinflow_m3hr_nogw,Basingw_m3hr_nogw
26-Jun-2013 01:00:00,0,0
26-Jun-2013 02:00:00,0,0
26-Jun-2013 03:00:00,0,71.9275
26-Jun-2013 04:00:00,8.26206e-08,209.428
26-Jun-2013 05:00:00,4.06359e-07,334.718
26-Jun-2013 06:00:00,1.03401e-06,455.151
26-Jun-2013 07:00:00,1.94997e-06,826.613
26-Jun-2013 08:00:00,3.18419e-06,1672.55
26-Jun-2013 09:00:00,4.87286e-06,2847.85
26-Jun-2013 10:00:00,7.37503e-06,4198.33
26-Jun-2013 11:00:00,1.15678e-05,5662.51
26-Jun-2013 12:00:00,1.9621e-05,7193.52
26-Jun-2013 13:00:00,3.54599e-05,8755.99
26-Jun-2013 14:00:00,6.51318e-05,10323
26-Jun-2013 15:00:00,0.000119192,11873.8
26-Jun-2013 16:00:00,0.000217407,13392.6
26-Jun-2013 17:00:00,0.000396952,14867.4
26-Jun-2013 18:00:00,0.000728641,16289
26-Jun-2013 19:00:00,0.00134839,17650.6
26-Jun-2013 20:00:00,0.00257039,18947.3
26-Jun-2013 21:00:00,0.00525666,20175.7
26-Jun-2013 22:00:00,0.0117068,21333.5
26-Jun-2013 23:00:00,0.0275815,22419.6
27-Jun-2013 00:00:00,0.0659778,23433.4
27-Jun-2013 01:00:00,0.155637,24375.3
27-Jun-2013 02:00:00,0.356121,25246
27-Jun-2013 03:00:00,0.782275,26046.7
27-Jun-2013 04:00:00,1.63501,26778.8
27-Jun-2013 05:00:00,3.2207,27444.1
27-Jun-2013 06:00:00,5.92435,28044.6
27-Jun-2013 07:00:00,10.119,28582.4
27-Jun-2013 08:00:00,16.0592,29059.8
27-Jun-2013 09:00:00,23.8374,29479.1
27-Jun-2013 10:00:00,33.4181,29842.7
27-Jun-2013 11:00:00,44.6975,30152.9
27-Jun-2013 12:00:00,57.5403,30412.2
27-Jun-2013 13:00:00,71.6478,30623
27-Jun-2013 14:00:00,86.5294,30787.8
27-Jun-2013 15:00:00,101.788,30908.8
27-Jun-2013 16:00:00,117.204,30988.3
27-Jun-2013 17:00:00,132.63,31028.8
27-Jun-2013 18:00:00,147.972,31032.3
27-Jun-2013 19:00:00,163.178,31001.1
27-Jun-2013 20:00:00,178.284,30937.1
27-Jun-2013 21:00:00,193.511,30842.6
27-Jun-2013 22:00:00,209.199,30719.3
27-Jun-2013 23:00:00,225.594,30569.2
28-Jun-2013 00:00:00,242.775,30394.2
28-Jun-2013 01:00:00,260.714,30195.9
28-Jun-2013 02:00:00,279.341,29976.1
28-Jun-2013 03:00:00,298.573,29736.4
28-Jun-2013 04:00:00,318.325,29478.2
28-Jun-2013 05:00:00,338.518,29203.1
28-Jun-2013 06:00:00,359.073,28912.5
28-Jun-2013 07:00:00,379.917,28607.8
28-Jun-2013 08:00:00,400.98,28290.1
28-Jun-2013 09:00:00,422.196,27960.7
28-Jun-2013 10:00:00,443.503,27620.8
28-Jun-2013 11:00:00,464.846,27271.4
28-Jun-2013 12:00:00,486.164,26913.7
28-Jun-2013 13:00:00,507.254,26548.5
28-Jun-2013 14:00:00,527.736,26176.9
28-Jun-2013 15:00:00,547.304,25799.6
28-Jun-2013 16:00:00,565.825,25417.6
28-Jun-2013 17:00:00,583.231,25031.5
28-Jun-2013 18:00:00,599.501,24642.2
28-Jun-2013 19:00:00,614.641,24250.3
28-Jun-2013 20:00:00,628.72,23856.6
28-Jun-2013 21:00:00,641.951,23461.5
28-Jun-2013 22:00:00,654.681,23065.7
28-Jun-2013 23:00:00,667.211,22669.6
29-Jun-2013 00:00:00,679.706,22273.9
29-Jun-2013 01:00:00,692.226,21879
29-Jun-2013 02:00:00,704.771,21485.3
29-Jun-2013 03:00:00,717.316,21093.1
29-Jun-2013 04:00:00,729.827,20703
29-Jun-2013 05:00:00,742.268,20315.2
