time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	0	0
41451.125	0	0
41451.16667	8.26206E-8	0
41451.20833	4.06359E-7	0
41451.25	1.03401E-6	0
41451.29167	1.94024E-6	0
41451.33333	3.10123E-6	0
41451.375	4.49463E-6	0
41451.41667	6.09939E-6	0
41451.45833	7.89581E-6	0
41451.5	9.86532E-6	0
41451.54167	1.19862E-5	0
41451.58333	1.42296E-5	0
41451.625	1.65652E-5	0
41451.66667	1.89651E-5	0
41451.70833	2.14044E-5	0
41451.75	2.38612E-5	0
41451.79167	2.63162E-5	0
41451.83333	2.87548E-5	0
41451.875	3.1168E-5	0
41451.91667	3.35521E-5	0
41451.95833	3.5905E-5	0
41452	3.82252E-5	0
41452.04167	4.05116E-5	0
41452.08333	4.27628E-5	0
41452.125	4.49779E-5	0
41452.16667	4.71559E-5	0
41452.20833	4.92962E-5	0
41452.25	5.13982E-5	0
41452.29167	5.34614E-5	0
41452.33333	5.54855E-5	0
41452.375	5.74702E-5	0
41452.41667	5.94154E-5	0
41452.45833	6.1321E-5	0
41452.5	6.31868E-5	0
41452.54167	6.50105E-5	0
41452.58333	6.67859E-5	0
41452.625	6.85046E-5	0
41452.66667	7.0159E-5	0
41452.70833	7.17418E-5	0
41452.75	7.3247E-5	0
41452.79167	7.46697E-5	0
41452.83333	7.6007E-5	0
41452.875	7.72595E-5	0
41452.91667	7.84309E-5	0
41452.95833	7.95255E-5	0
41453	8.05477E-5	0
41453.04167	8.15016E-5	0
41453.08333	8.23909E-5	0
41453.125	8.32194E-5	0
41453.16667	8.39907E-5	0
41453.20833	8.4708E-5	0
41453.25	8.53746E-5	0
41453.29167	8.59935E-5	0
41453.33333	8.65674E-5	0
41453.375	8.7099E-5	0
41453.41667	8.75909E-5	0
41453.45833	8.80453E-5	0
41453.5	8.84644E-5	0
41453.54167	8.88487E-5	0
41453.58333	8.91959E-5	0
41453.625	8.95022E-5	0
41453.66667	8.97643E-5	0
41453.70833	8.99791E-5	0
41453.75	9.01439E-5	0
41453.79167	9.02566E-5	0
41453.83333	9.0316E-5	0
41453.875	9.03231E-5	0
41453.91667	9.02813E-5	0
41453.95833	9.01943E-5	0
41454	9.00659E-5	0
41454.04167	8.98997E-5	0
41454.08333	8.9699E-5	0
41454.125	8.9467E-5	0
41454.16667	8.92064E-5	0
41454.20833	8.89202E-5	0
41454.25	8.86109E-5	0
41454.29167	8.82808E-5	0
41454.33333	8.79322E-5	0
41454.375	8.75671E-5	0
41454.41667	8.71875E-5	0
41454.45833	8.67952E-5	0
41454.5	8.63917E-5	0
41454.54167	8.59777E-5	0
41454.58333	8.55516E-5	0
41454.625	8.51109E-5	0
41454.66667	8.46536E-5	0
41454.70833	8.41778E-5	0
41454.75	8.36818E-5	0
41454.79167	8.31643E-5	0
41454.83333	8.26245E-5	0
41454.875	8.20626E-5	0
41454.91667	8.14805E-5	0
41454.95833	8.08804E-5	0
41455	8.02649E-5	0
41455.04167	7.96363E-5	0
41455.08333	7.89965E-5	0
41455.125	7.83477E-5	0
41455.16667	7.76915E-5	0
41455.20833	7.70298E-5	0
41455.25	7.6364E-5	0
41455.29167	7.56956E-5	0
41455.33333	7.50259E-5	0
41455.375	7.43561E-5	0
41455.41667	7.36873E-5	0
41455.45833	7.30205E-5	0
41455.5	7.23566E-5	0
41455.54167	7.16957E-5	0
41455.58333	7.10366E-5	0
41455.625	7.03774E-5	0
41455.66667	6.97165E-5	0
41455.70833	6.90521E-5	0
41455.75	6.83829E-5	0
41455.79167	6.77076E-5	0
41455.83333	6.70249E-5	0
41455.875	6.63343E-5	0
41455.91667	6.56367E-5	0
41455.95833	6.49339E-5	0
41456	6.42274E-5	0
41456.04167	6.35187E-5	0
41456.08333	6.28091E-5	0
41456.125	6.21E-5	0
41456.16667	6.13924E-5	0
41456.20833	6.06874E-5	0
41456.25	5.9986E-5	0
41456.29167	5.9289E-5	0
41456.33333	5.85974E-5	0
41456.375	5.79117E-5	0
41456.41667	5.72327E-5	0
41456.45833	5.65609E-5	0
41456.5	5.58969E-5	0
41456.54167	5.52404E-5	0
41456.58333	5.45907E-5	0
41456.625	5.39463E-5	0
41456.66667	5.33061E-5	0
41456.70833	5.2669E-5	0
41456.75	5.20342E-5	0
41456.79167	5.14007E-5	0
41456.83333	5.07678E-5	0
41456.875	5.01357E-5	0
41456.91667	4.9505E-5	0
41456.95833	4.88766E-5	0
41457	4.82513E-5	0
41457.04167	4.76299E-5	0
41457.08333	4.70132E-5	0
41457.125	4.64018E-5	0
41457.16667	4.57962E-5	0
41457.20833	4.51971E-5	0
41457.25	4.46049E-5	0
41457.29167	4.402E-5	0
41457.33333	4.34429E-5	0
41457.375	4.28739E-5	0
41457.41667	4.23132E-5	0
41457.45833	4.17612E-5	0
41457.5	4.12179E-5	0
41457.54167	4.06834E-5	0
41457.58333	4.01567E-5	0
41457.625	3.96367E-5	0
41457.66667	3.91221E-5	0
41457.70833	3.86119E-5	0
41457.75	3.8105E-5	0
41457.79167	3.76005E-5	0
41457.83333	3.70973E-5	0
41457.875	3.65948E-5	0
41457.91667	3.60933E-5	0
41457.95833	3.55935E-5	0
41458	3.5096E-5	0
41458.04167	3.46015E-5	0
41458.08333	3.41107E-5	0
41458.125	3.36239E-5	0
41458.16667	3.31418E-5	0
41458.20833	3.26647E-5	0
41458.25	3.21931E-5	0
41458.29167	3.17272E-5	0
41458.33333	3.12675E-5	0
41458.375	3.08141E-5	0
41458.41667	3.03673E-5	0
41458.45833	2.99274E-5	0
41458.5	2.94945E-5	0
41458.54167	2.90685E-5	0
41458.58333	2.86489E-5	0
41458.625	2.82353E-5	0
41458.66667	2.78269E-5	0
41458.70833	2.74232E-5	0
41458.75	2.70239E-5	0
41458.79167	2.66284E-5	0
41458.83333	2.62365E-5	0
41458.875	2.58483E-5	0
41458.91667	2.54655E-5	0
41458.95833	6.58133E-5	0
41459	0.000470167	0
41459.04167	0.00276493	0
41459.08333	0.00983719	0
41459.125	0.0238044	0
41459.16667	0.0448199	0
41459.20833	0.0722776	0
41459.25	0.105664	0
41459.29167	0.144582	0
41459.33333	0.188735	0
41459.375	0.237903	0
41459.41667	0.29192	0
41459.45833	0.350658	0
41459.5	0.414021	0
41459.54167	0.481938	0
41459.58333	0.553751	0
41459.625	0.627664	0
41459.66667	0.701535	0
41459.70833	0.773674	0
41459.75	0.843057	0
41459.79167	0.909518	0
41459.83333	0.975402	0
41459.875	1.05035	0
41459.91667	1.20551	0
41459.95833	2.11263	0
41460	4.7101	0
41460.04167	8.91486	0
41460.08333	14.1083	0
41460.125	19.9876	0
41460.16667	26.3169	0
41460.20833	32.8721	0
41460.25	39.5092	0
41460.29167	46.1282	0
41460.33333	52.657	0
41460.375	59.0427	0
41460.41667	65.2454	0
41460.45833	71.2356	0
41460.5	76.9902	0
41460.54167	82.4865	0
41460.58333	87.6897	0
41460.625	92.5509	0
41460.66667	97.0287	0
41460.70833	101.102	0
41460.75	104.766	0
41460.79167	108.026	0
41460.83333	110.897	0
41460.875	113.403	0
41460.91667	115.576	0
41460.95833	117.45	0
41461	119.059	0
41461.04167	120.435	0
41461.08333	121.611	0
41461.125	122.618	0
41461.16667	123.486	0
41461.20833	124.243	0
41461.25	124.918	0
41461.29167	125.539	0
41461.33333	126.133	0
41461.375	126.728	0
41461.41667	127.352	0
41461.45833	128.033	0
41461.5	128.801	0
41461.54167	129.664	0
41461.58333	130.593	0
41461.625	131.541	0
41461.66667	132.468	0
41461.70833	133.349	0
41461.75	134.168	0
41461.79167	134.914	0
41461.83333	135.595	0
41461.875	136.254	0
41461.91667	136.964	0
41461.95833	137.813	0
41462	138.901	0
41462.04167	140.336	0
41462.08333	142.227	0
41462.125	144.68	0
41462.16667	147.793	0
41462.20833	151.647	0
41462.25	156.307	0
41462.29167	161.818	0
41462.33333	168.207	0
41462.375	175.482	0
41462.41667	183.631	0
41462.45833	192.625	0
41462.5	202.424	0
41462.54167	212.893	0
41462.58333	223.761	0
41462.625	234.753	0
41462.66667	245.683	0
41462.70833	256.437	0
41462.75	266.949	0
41462.79167	277.176	0
41462.83333	287.124	0
41462.875	296.919	0
41462.91667	306.791	0
41462.95833	316.953	0
41463	327.519	0
41463.04167	338.522	0
41463.08333	349.94	0
41463.125	361.724	0
41463.16667	373.818	0
41463.20833	386.164	0
41463.25	398.705	0
41463.29167	411.386	0
41463.33333	424.156	0
41463.375	436.967	0
41463.41667	449.774	0
41463.45833	462.536	0
41463.5	475.208	0
41463.54167	487.652	0
41463.58333	499.611	0
41463.625	510.868	0
41463.66667	521.309	0
41463.70833	530.876	0
41463.75	539.542	0
41463.79167	547.303	0
41463.83333	554.192	0
41463.875	560.315	0
41463.91667	565.843	0
41463.95833	570.951	0
41464	575.769	0
41464.04167	580.384	0
41464.08333	584.847	0
41464.125	589.18	0
41464.16667	593.388	0
41464.20833	597.464	0
41464.25	601.395	0
41464.29167	605.164	0
41464.33333	608.755	0
41464.375	612.152	0
41464.41667	615.338	0
41464.45833	618.301	0
41464.5	621.024	0
41464.54167	623.446	0
41464.58333	625.431	0
41464.625	626.845	0
41464.66667	627.6	0
41464.70833	627.656	0
41464.75	626.999	0
41464.79167	625.632	0
41464.83333	623.575	0
41464.875	620.874	0
41464.91667	617.607	0
41464.95833	613.863	0
41465	609.724	0
41465.04167	605.266	0
41465.08333	600.555	0
41465.125	595.648	0
41465.16667	590.594	0
41465.20833	585.433	0
41465.25	580.195	0
41465.29167	574.907	0
41465.33333	569.586	0
41465.375	564.247	0
41465.41667	558.899	0
41465.45833	553.55	0
41465.5	548.201	0
41465.54167	542.826	0
41465.58333	537.355	0
41465.625	531.719	0
41465.66667	525.875	0
41465.70833	519.796	0
41465.75	513.472	0
41465.79167	506.902	0
41465.83333	500.095	0
41465.875	493.071	0
41465.91667	485.862	0
41465.95833	478.499	0
41466	471.016	0
41466.04167	463.439	0
41466.08333	455.795	0
41466.125	448.108	0
41466.16667	440.401	0
41466.20833	432.693	0
41466.25	425.001	0
41466.29167	417.344	0
41466.33333	409.733	0
41466.375	402.183	0
41466.41667	394.705	0
41466.45833	387.307	0
41466.5	379.998	0
41466.54167	372.78	0
41466.58333	365.64	0
41466.625	358.56	0
41466.66667	351.524	0
41466.70833	344.522	0
41466.75	337.548	0
41466.79167	330.603	0
41466.83333	323.687	0
41466.875	316.807	0
41466.91667	309.97	0
41466.95833	303.185	0
41467	296.46	0
41467.04167	289.802	0
41467.08333	283.218	0
41467.125	276.713	0
41467.16667	270.293	0
41467.20833	263.962	0
41467.25	257.724	0
41467.29167	251.583	0
41467.33333	245.543	0
41467.375	239.605	0
41467.41667	233.772	0
41467.45833	228.045	0
41467.5	222.427	0
41467.54167	216.916	0
41467.58333	211.509	0
41467.625	206.201	0
41467.66667	200.988	0
41467.70833	195.867	0
41467.75	190.837	0
41467.79167	185.896	0
41467.83333	181.045	0
41467.875	176.283	0
41467.91667	171.611	0
41467.95833	167.029	0
41468	162.537	0
41468.04167	158.137	0
41468.08333	153.828	0
41468.125	149.611	0
41468.16667	145.484	0
41468.20833	141.448	0
41468.25	137.501	0
41468.29167	133.645	0
41468.33333	129.877	0
41468.375	126.197	0
41468.41667	122.604	0
41468.45833	119.098	0
41468.5	115.677	0
41468.54167	112.339	0
41468.58333	109.084	0
41468.625	105.909	0
41468.66667	102.814	0
41468.70833	99.7949	0
41468.75	96.8521	0
41468.79167	93.9839	0
41468.83333	91.1888	0
41468.875	88.4657	0
41468.91667	85.8133	0
41468.95833	83.2304	0
41469	80.7158	0
41469.04167	78.2681	0
41469.08333	75.8861	0
41469.125	73.5685	0
41469.16667	71.314	0
41469.20833	69.1214	0
41469.25	66.9893	0
41469.29167	64.9165	0
41469.33333	62.9016	0
41469.375	60.9435	0
41469.41667	59.0407	0
41469.45833	57.1921	0
41469.5	55.3965	0
41469.54167	53.6524	0
41469.58333	51.9587	0
41469.625	50.3142	0
41469.66667	48.7174	0
41469.70833	47.1673	0
41469.75	45.6626	0
41469.79167	44.2022	0
41469.83333	42.785	0
41469.875	41.4099	0
41469.91667	40.0758	0
41469.95833	38.7817	0
41470	37.5265	0
41470.04167	36.3091	0
41470.08333	35.1287	0
41470.125	33.9842	0
41470.16667	32.8746	0
41470.20833	31.7991	0
41470.25	30.7566	0
41470.29167	29.7462	0
41470.33333	28.7672	0
41470.375	27.8185	0
41470.41667	26.8994	0
41470.45833	26.0091	0
41470.5	25.1466	0
41470.54167	24.3113	0
41470.58333	23.5023	0
41470.625	22.7188	0
41470.66667	21.9601	0
41470.70833	21.2256	0
41470.75	20.5144	0
41470.79167	19.826	0
41470.83333	19.1595	0
41470.875	18.5145	0
41470.91667	17.8901	0
41470.95833	17.2859	0
41471	16.7013	0
41471.04167	16.1355	0
41471.08333	15.5882	0
41471.125	15.0586	0
41471.16667	14.5463	0
41471.20833	14.0507	0
41471.25	13.5714	0
41471.29167	13.1078	0
41471.33333	12.6595	0
41471.375	12.2259	0
41471.41667	11.8066	0
41471.45833	11.4012	0
41471.5	11.0093	0
41471.54167	10.6303	0
41471.58333	10.2639	0
41471.625	9.90979	0
41471.66667	9.56745	0
41471.70833	9.23656	0
41471.75	8.91674	0
41471.79167	8.60764	0
41471.83333	8.30892	0
41471.875	8.02025	0
41471.91667	7.74131	0
41471.95833	7.47178	0
41472	7.21136	0
41472.04167	6.95976	0
41472.08333	6.71669	0
41472.125	6.48189	0
41472.16667	6.25509	0
41472.20833	6.03603	0
41472.25	5.82446	0
41472.29167	5.62013	0
41472.33333	5.42279	0
41472.375	5.23223	0
41472.41667	5.04821	0
41472.45833	4.87052	0
41472.5	4.69895	0
41472.54167	4.5333	0
41472.58333	4.37335	0
41472.625	4.21893	0
41472.66667	4.06983	0
41472.70833	3.92588	0
41472.75	3.78691	0
41472.79167	3.65275	0
41472.83333	3.52323	0
41472.875	3.3982	0
41472.91667	3.27752	0
41472.95833	3.16102	0
41473	3.04858	0
41473.04167	2.94006	0
41473.08333	2.83532	0
41473.125	2.73423	0
41473.16667	2.63668	0
41473.20833	2.54253	0
41473.25	2.45169	0
41473.29167	2.36402	0
41473.33333	2.27943	0
41473.375	2.19781	0
41473.41667	2.11906	0
41473.45833	2.04308	0
41473.5	1.96978	0
41473.54167	1.89906	0
41473.58333	1.83083	0
41473.625	1.76501	0
41473.66667	1.70152	0
41473.70833	1.64027	0
41473.75	1.58119	0
41473.79167	1.52421	0
41473.83333	1.46924	0
41473.875	1.41623	0
41473.91667	1.36509	0
41473.95833	1.31578	0
41474	1.26822	0
41474.04167	1.22235	0
41474.08333	1.17812	0
41474.125	1.13546	0
41474.16667	1.09433	0
41474.20833	1.05466	0
41474.25	1.01642	0
41474.29167	0.979536	0
41474.33333	0.943976	0
41474.375	0.90969	0
41474.41667	0.876633	0
41474.45833	0.844762	0
41474.5	0.814034	0
41474.54167	0.784411	0
41474.58333	0.755852	0
41474.625	0.72832	0
41474.66667	0.701779	0
41474.70833	0.676193	0
41474.75	0.651528	0
41474.79167	0.627753	0
41474.83333	0.604835	0
41474.875	0.582744	0
41474.91667	0.56145	0
41474.95833	0.540926	0
41475	0.521143	0
41475.04167	0.502077	0
41475.08333	0.4837	0
41475.125	0.465988	0
41475.16667	0.448919	0
41475.20833	0.432468	0
41475.25	0.416615	0
41475.29167	0.401337	0
41475.33333	0.386613	0
41475.375	0.372425	0
41475.41667	0.358753	0
41475.45833	0.345578	0
41475.5	0.332883	0
41475.54167	0.320651	0
41475.58333	0.308864	0
41475.625	0.297506	0
41475.66667	0.286563	0
41475.70833	0.276019	0
41475.75	0.26586	0
41475.79167	0.256072	0
41475.83333	0.246641	0
41475.875	0.237555	0
41475.91667	0.2288	0
41475.95833	0.220366	0
41476	0.212241	0
41476.04167	0.204412	0
41476.08333	0.196871	0
41476.125	0.189606	0
41476.16667	0.182607	0
41476.20833	0.175865	0
41476.25	0.16937	0
41476.29167	0.163114	0
41476.33333	0.157087	0
41476.375	0.151282	0
41476.41667	0.14569	0
41476.45833	0.140304	0
41476.5	0.135117	0
41476.54167	0.13012	0
41476.58333	0.125307	0
41476.625	0.120671	0
41476.66667	0.116206	0
41476.70833	0.111906	0
41476.75	0.107764	0
41476.79167	0.103775	0
41476.83333	0.0999324	0
41476.875	0.0962318	0
41476.91667	0.0926675	0
41476.95833	0.0892348	0
41477	0.0859288	0
41477.04167	0.0827448	0
41477.08333	0.0796784	0
41477.125	0.0767254	0
41477.16667	0.0738815	0
41477.20833	0.0711428	0
41477.25	0.0685054	0
41477.29167	0.0659657	0
41477.33333	0.06352	0
41477.375	0.0611648	0
41477.41667	0.058897	0
41477.45833	0.0567133	0
41477.5	0.0546105	0
41477.54167	0.0525857	0
41477.58333	0.0506361	0
41477.625	0.0487588	0
41477.66667	0.0469511	0
41477.70833	0.0452105	0
41477.75	0.0435344	0
41477.79167	0.0419204	0
41477.83333	0.0403663	0
41477.875	0.0388699	0
41477.91667	0.0374289	0
41477.95833	0.0360414	0
41478	0.0347053	0
41478.04167	0.0334189	0
41478.08333	0.0321802	0
41478.125	0.0309876	0
41478.16667	0.0298393	0
41478.20833	0.0287337	0
41478.25	0.0276692	0
41478.29167	0.0266444	0
41478.33333	0.0256577	0
41478.375	0.0247077	0
41478.41667	0.0237931	0
41478.45833	0.0229126	0
41478.5	0.0220649	0
41478.54167	0.0212488	0
41478.58333	0.0204632	0
41478.625	0.0197068	0
41478.66667	0.0189786	0
41478.70833	0.0182776	0
41478.75	0.0176026	0
41478.79167	0.0169528	0
41478.83333	0.0163271	0
41478.875	0.0157246	0
41478.91667	0.0151446	0
41478.95833	0.0145861	0
41479	0.0140484	0
41479.04167	0.0135307	0
41479.08333	0.0130323	0
41479.125	0.0125524	0
41479.16667	0.0120904	0
41479.20833	0.0116456	0
41479.25	0.0112174	0
41479.29167	0.0108052	0
41479.33333	0.0104083	0
41479.375	0.0100263	0
41479.41667	0.00965852	0
41479.45833	0.00930447	0
41479.5	0.00896365	0
41479.54167	0.00863556	0
41479.58333	0.00831971	0
41479.625	0.00801565	0
41479.66667	0.00772291	0
41479.70833	0.00744106	0
41479.75	0.00716969	0
41479.79167	0.0069084	0
41479.83333	0.0066568	0
41479.875	0.00641453	0
41479.91667	0.00618124	0
41479.95833	0.00595659	0
41480	0.00574029	0
41480.04167	0.005532	0
41480.08333	0.00533145	0
41480.125	0.00513835	0
41480.16667	0.00495242	0
41480.20833	0.0047734	0
41480.25	0.00460104	0
41480.29167	0.00443509	0
41480.33333	0.00427531	0
41480.375	0.00412148	0
41480.41667	0.00397337	0
41480.45833	0.00383079	0
41480.5	0.00369351	0
41480.54167	0.00356134	0
41480.58333	0.0034341	0
41480.625	0.00331157	0
41480.66667	0.00319359	0
41480.70833	0.00307997	0
41480.75	0.00297054	0
41480.79167	0.00286514	0
41480.83333	0.00276362	0
41480.875	0.00266582	0
41480.91667	0.00257162	0
41480.95833	0.00248087	0
41481	0.00239346	0
41481.04167	0.00230926	0
41481.08333	0.00222816	0
41481.125	0.00215004	0
41481.16667	0.00207479	0
41481.20833	0.00200232	0
41481.25	0.00193251	0
41481.29167	0.00186527	0
41481.33333	0.00180052	0
41481.375	0.00173815	0
41481.41667	0.00167808	0
41481.45833	0.00162023	0
41481.5	0.00156452	0
41481.54167	0.00151086	0
41481.58333	0.00145918	0
41481.625	0.0014094	0
41481.66667	0.00136145	0
41481.70833	0.00131525	0
41481.75	0.00127073	0
41481.79167	0.00122782	0
41481.83333	0.00118645	0
41481.875	0.00114658	0
41481.91667	0.00110814	0
41481.95833	0.00107108	0
41482	0.00103536	0
41482.04167	0.00100092	0
41482.08333	0.00096772	0
41482.125	0.000935719	0
41482.16667	0.000904874	0
41482.20833	0.000875142	0
41482.25	0.000846484	0
41482.29167	0.000818863	0
41482.33333	0.00079224	0
41482.375	0.000766581	0
41482.41667	0.000741852	0
41482.45833	0.000718018	0
41482.5	0.000695049	0
41482.54167	0.000672912	0
41482.58333	0.000651572	0
41482.625	0.000630996	0
41482.66667	0.000611152	0
41482.70833	0.000592008	0
41482.75	0.000573535	0
41482.79167	0.000555705	0
41482.83333	0.00053849	0
41482.875	0.000521868	0
41482.91667	0.000505816	0
41482.95833	0.000490316	0
41483	0.000475349	0
41483.04167	0.000460898	0
41483.08333	0.000446945	0
41483.125	0.000433474	0
41483.16667	0.000420469	0
41483.20833	0.000407914	0
41483.25	0.000395793	0
41483.29167	0.000384094	0
41483.33333	0.000372801	0
41483.375	0.0003619	0
41483.41667	0.000351379	0
41483.45833	0.000341224	0
41483.5	0.000331423	0
41483.54167	0.000321964	0
41483.58333	0.000312831	0
41483.625	0.00030401	0
41483.66667	0.000295487	0
41483.70833	0.000287247	0
41483.75	0.000279279	0
41483.79167	0.000271569	0
41483.83333	0.000264107	0
41483.875	0.000256883	0
41483.91667	0.000249888	0
41483.95833	0.000243116	0
41484	0.000236561	0
41484.04167	0.000230215	0
41484.08333	0.000224073	0
41484.125	0.000218128	0
41484.16667	0.000212375	0
41484.20833	0.000206808	0
41484.25	0.000201422	0
41484.29167	0.000196209	0
41484.33333	0.000191166	0
41484.375	0.000186287	0
41484.41667	0.000181567	0
41484.45833	0.000177001	0
41484.5	0.000172584	0
41484.54167	0.00016831	0
41484.58333	0.000164174	0
41484.625	0.000160168	0
41484.66667	0.000156286	0
41484.70833	0.000152521	0
41484.75	0.000148869	0
41484.79167	0.000145323	0
41484.83333	0.000141879	0
41484.875	0.000138531	0
41484.91667	0.000135276	0
41484.95833	0.000132114	0
41485	0.000129041	0
41485.04167	0.000126055	0
41485.08333	0.000123155	0
41485.125	0.000120339	0
41485.16667	0.000117603	0
41485.20833	0.000114948	0
41485.25	0.00011237	0
41485.29167	0.000109867	0
41485.33333	0.000107438	0
41485.375	0.000105081	0
41485.41667	0.000102794	0
41485.45833	0.000100576	0
41485.5	9.84229E-5	0
41485.54167	9.63344E-5	0
41485.58333	9.43068E-5	0
41485.625	9.23367E-5	0
41485.66667	9.04209E-5	0
41485.70833	8.85563E-5	0
41485.75	8.67399E-5	0
41485.79167	8.49691E-5	0
41485.83333	8.32413E-5	0
41485.875	8.15546E-5	0
41485.91667	7.9908E-5	0
41485.95833	7.83008E-5	0
41486	7.67328E-5	0
41486.04167	7.52032E-5	0
41486.08333	7.37116E-5	0
41486.125	7.22574E-5	0
41486.16667	7.08401E-5	0
41486.20833	6.94591E-5	0
41486.25	6.81137E-5	0
41486.29167	6.68034E-5	0
41486.33333	6.55275E-5	0
41486.375	6.42855E-5	0
41486.41667	6.30766E-5	0
41486.45833	6.19002E-5	0
41486.5	6.07558E-5	0
41486.54167	5.96421E-5	0
41486.58333	5.85578E-5	0
41486.625	5.75007E-5	0
41486.66667	5.64692E-5	0
41486.70833	5.54613E-5	0
41486.75	5.44755E-5	0
41486.79167	5.35101E-5	0
41486.83333	5.25638E-5	0
41486.875	5.16356E-5	0
41486.91667	5.07253E-5	0
41486.95833	4.98329E-5	0
41487	4.89585E-5	0
41487.04167	4.8102E-5	0
41487.08333	4.72635E-5	0
41487.125	4.64429E-5	0
41487.16667	4.56402E-5	0
41487.20833	4.48552E-5	0
41487.25	4.40879E-5	0
41487.29167	4.33381E-5	0
41487.33333	4.26056E-5	0
41487.375	4.18904E-5	0
41487.41667	4.11921E-5	0
41487.45833	4.05107E-5	0
41487.5	3.98458E-5	0
41487.54167	3.91971E-5	0
41487.58333	3.85635E-5	0
41487.625	3.79439E-5	0
41487.66667	3.73372E-5	0
41487.70833	3.67426E-5	0
41487.75	3.61588E-5	0
41487.79167	3.55853E-5	0
41487.83333	3.5021E-5	0
41487.875	3.44655E-5	0
41487.91667	3.39187E-5	0
41487.95833	3.33808E-5	0
41488	3.28519E-5	0
41488.04167	3.23323E-5	0
41488.08333	3.18221E-5	0
41488.125	3.13213E-5	0
41488.16667	3.083E-5	0
41488.20833	3.03483E-5	0
41488.25	2.98763E-5	0
41488.29167	2.94138E-5	0
41488.33333	2.8961E-5	0
41488.375	2.85178E-5	0
41488.41667	2.80841E-5	0
41488.45833	2.76599E-5	0
41488.5	2.72452E-5	0
41488.54167	2.68396E-5	0
41488.58333	2.64425E-5	0
41488.625	2.60533E-5	0
41488.66667	2.56712E-5	0
41488.70833	2.52956E-5	0
41488.75	2.49258E-5	0
41488.79167	2.45615E-5	0
41488.83333	2.42019E-5	0
41488.875	2.3847E-5	0
41488.91667	2.34966E-5	0
41488.95833	2.3151E-5	0
41489	2.28103E-5	0
41489.04167	2.24747E-5	0
41489.08333	2.21444E-5	0
41489.125	2.18195E-5	0
41489.16667	2.15E-5	0
41489.20833	2.11861E-5	0
41489.25	2.08779E-5	0
41489.29167	2.05753E-5	0
41489.33333	2.02785E-5	0
41489.375	1.99874E-5	0
41489.41667	1.97021E-5	0
41489.45833	1.94225E-5	0
41489.5	1.91487E-5	0
41489.54167	1.88805E-5	0
41489.58333	1.86175E-5	0
41489.625	1.83592E-5	0
41489.66667	1.81053E-5	0
41489.70833	1.78552E-5	0
41489.75	1.76085E-5	0
41489.79167	1.73649E-5	0
41489.83333	1.71239E-5	0
41489.875	1.68856E-5	0
41489.91667	1.66498E-5	0
41489.95833	1.64167E-5	0
41490	1.61865E-5	0
41490.04167	1.59593E-5	0
41490.08333	1.57353E-5	0
41490.125	1.55147E-5	0
41490.16667	1.52974E-5	0
41490.20833	1.50836E-5	0
41490.25	1.48734E-5	0
41490.29167	1.46669E-5	0
41490.33333	1.4464E-5	0
41490.375	1.42649E-5	0
41490.41667	1.40695E-5	0
41490.45833	1.38779E-5	0
41490.5	1.36901E-5	0
41490.54167	1.35059E-5	0
41490.58333	1.33252E-5	0
41490.625	1.31475E-5	0
41490.66667	1.29725E-5	0
41490.70833	1.28E-5	0
41490.75	1.26296E-5	0
41490.79167	1.24613E-5	0
41490.83333	1.22948E-5	0
41490.875	1.21303E-5	0
41490.91667	1.19677E-5	0
41490.95833	1.18072E-5	0
41491	1.16488E-5	0
41491.04167	1.14926E-5	0
41491.08333	1.13388E-5	0
41491.125	1.11874E-5	0
41491.16667	1.10384E-5	0
41491.20833	1.08918E-5	0
41491.25	1.07479E-5	0
41491.29167	1.06065E-5	0
41491.33333	1.04677E-5	0
41491.375	1.03316E-5	0
41491.41667	1.0198E-5	0
41491.45833	1.00672E-5	0
41491.5	9.93894E-6	0
41491.54167	9.81327E-6	0
41491.58333	9.68996E-6	0
41491.625	9.56872E-6	0
41491.66667	9.44929E-6	0
41491.70833	9.33143E-6	0
41491.75	9.21489E-6	0
41491.79167	9.09948E-6	0
41491.83333	8.98502E-6	0
41491.875	8.87141E-6	0
41491.91667	8.75868E-6	0
41491.95833	8.64695E-6	0
41492	8.5363E-6	0
41492.04167	8.42683E-6	0
41492.08333	8.31862E-6	0
41492.125	8.21176E-6	0
41492.16667	8.10631E-6	0
41492.20833	8.00234E-6	0
41492.25	7.89989E-6	0
41492.29167	7.79901E-6	0
41492.33333	7.69975E-6	0
41492.375	7.60214E-6	0
41492.41667	7.50622E-6	0
41492.45833	7.412E-6	0
41492.5	7.3195E-6	0
41492.54167	7.22869E-6	0
41492.58333	7.13941E-6	0
41492.625	7.05149E-6	0
