time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	2.62177	0.799194
41451.125	7.68853	2.35644
41451.16667	12.4117	3.83382
41451.20833	16.8109	5.23657
41451.25	20.9044	6.57014
41451.29167	24.7097	7.83953
41451.33333	28.2431	9.04931
41451.375	31.5202	10.2037
41451.41667	34.5556	11.3066
41451.45833	37.3633	12.3617
41451.5	39.9562	13.3721
41451.54167	42.3467	14.3411
41451.58333	44.5466	15.2714
41451.625	46.5668	16.1657
41451.66667	48.4179	17.0264
41451.70833	50.1097	17.8559
41451.75	51.6516	18.6561
41451.79167	53.0524	19.429
41451.83333	54.3204	20.1765
41451.875	55.4635	20.9001
41451.91667	56.4893	21.6015
41451.95833	57.4047	22.2821
41452	58.2164	22.9433
41452.04167	58.9308	23.5862
41452.08333	59.5537	24.212
41452.125	60.0909	24.8218
41452.16667	60.5477	25.4166
41452.20833	60.9291	25.9972
41452.25	61.2399	26.5646
41452.29167	61.4846	27.1195
41452.33333	61.6674	27.6627
41452.375	61.7923	28.1948
41452.41667	61.8632	28.7164
41452.45833	61.8837	29.2282
41452.5	61.8571	29.7306
41452.54167	61.7867	30.2242
41452.58333	61.6754	30.7094
41452.625	61.5262	31.1866
41452.66667	61.3417	31.6563
41452.70833	61.1244	32.1188
41452.75	60.8769	32.5744
41452.79167	60.6012	33.0234
41452.83333	60.2997	33.4661
41452.875	59.9742	33.9028
41452.91667	59.6268	34.3337
41452.95833	59.2591	34.7589
41453	58.8729	35.1788
41453.04167	58.4698	35.5935
41453.08333	58.0512	36.0031
41453.125	57.6186	36.4077
41453.16667	57.1733	36.8076
41453.20833	56.7166	37.2028
41453.25	56.2496	37.5934
41453.29167	55.7735	37.9795
41453.33333	55.2892	38.3612
41453.375	54.7978	38.7386
41453.41667	54.3001	39.1118
41453.45833	53.7971	39.4807
41453.5	53.2894	39.8454
41453.54167	52.778	40.206
41453.58333	52.2634	40.5625
41453.625	51.7464	40.9149
41453.66667	51.2276	41.2633
41453.70833	50.7075	41.6077
41453.75	50.1866	41.9481
41453.79167	49.6656	42.2844
41453.83333	49.1448	42.6168
41453.875	48.6247	42.9452
41453.91667	48.1057	43.2696
41453.95833	47.5882	43.59
41454	47.0725	43.9064
41454.04167	46.559	44.2189
41454.08333	46.0479	44.5273
41454.125	45.5395	44.8318
41454.16667	45.0341	45.1322
41454.20833	44.532	45.4285
41454.25	44.0333	45.7209
41454.29167	43.5382	46.0092
41454.33333	43.0469	46.2934
41454.375	42.5596	46.5735
41454.41667	42.0765	46.8495
41454.45833	41.5976	47.1213
41454.5	41.1231	47.3891
41454.54167	40.6531	47.6527
41454.58333	40.1877	47.9121
41454.625	39.7269	48.1673
41454.66667	39.271	48.4183
41454.70833	38.8199	48.6651
41454.75	38.3736	48.9077
41454.79167	37.9323	49.1461
41454.83333	37.496	49.3801
41454.875	37.0646	49.6099
41454.91667	36.6383	49.8355
41454.95833	36.2171	50.0567
41455	35.8009	50.2737
41455.04167	35.3898	50.4863
41455.08333	34.9838	50.6947
41455.125	34.5829	50.8987
41455.16667	34.187	51.0984
41455.20833	33.7962	51.2938
41455.25	33.4104	51.4849
41455.29167	33.0296	51.6717
41455.33333	32.6539	51.8541
41455.375	32.2831	52.0323
41455.41667	31.9172	52.2061
41455.45833	31.5563	52.3756
41455.5	31.2002	52.5408
41455.54167	30.849	52.7018
41455.58333	30.5026	52.8584
41455.625	30.1609	53.0108
41455.66667	29.8239	53.1589
41455.70833	29.4917	53.3028
41455.75	29.164	53.4425
41455.79167	28.841	53.5779
41455.83333	28.5225	53.7092
41455.875	28.2084	53.8362
41455.91667	27.8988	53.9591
41455.95833	27.5936	54.0779
41456	27.2927	54.1925
41456.04167	26.9962	54.3031
41456.08333	26.7038	54.4096
41456.125	26.4156	54.5121
41456.16667	26.1316	54.6105
41456.20833	25.8516	54.7049
41456.25	25.5757	54.7954
41456.29167	25.3037	54.882
41456.33333	25.0356	54.9647
41456.375	24.7714	55.0435
41456.41667	24.511	55.1184
41456.45833	24.2543	55.1896
41456.5	24.0014	55.257
41456.54167	23.7521	55.3206
41456.58333	23.5064	55.3806
41456.625	23.2643	55.4369
41456.66667	23.0256	55.4896
41456.70833	22.7904	55.5387
41456.75	22.5586	55.5843
41456.79167	22.3301	55.6263
41456.83333	22.1049	55.6649
41456.875	21.8829	55.7001
41456.91667	21.6641	55.7319
41456.95833	21.4485	55.7603
41457	21.236	55.7855
41457.04167	21.0265	55.8074
41457.08333	20.82	55.826
41457.125	20.6164	55.8415
41457.16667	20.4158	55.8539
41457.20833	20.218	55.8632
41457.25	20.023	55.8695
41457.29167	19.8308	55.8727
41457.33333	19.6413	55.873
41457.375	19.4545	55.8704
41457.41667	19.2704	55.8649
41457.45833	19.0888	55.8567
41457.5	18.9098	55.8456
41457.54167	18.7332	55.8318
41457.58333	18.5592	55.8153
41457.625	18.3876	55.7962
41457.66667	18.2184	55.7745
41457.70833	18.0515	55.7503
41457.75	17.887	55.7235
41457.79167	17.7247	55.6943
41457.83333	17.5647	55.6627
41457.875	17.4069	55.6287
41457.91667	17.2512	55.5923
41457.95833	17.0977	55.5537
41458	16.9462	55.5129
41458.04167	16.7969	55.4698
41458.08333	16.6495	55.4247
41458.125	16.5042	55.3774
41458.16667	16.3608	55.328
41458.20833	16.2193	55.2766
41458.25	16.0798	55.2233
41458.29167	15.9421	55.168
41458.33333	15.8063	55.1108
41458.375	15.6722	55.0518
41458.41667	15.54	54.9909
41458.45833	15.4095	54.9283
41458.5	15.2807	54.864
41458.54167	15.1536	54.7979
41458.58333	15.0282	54.7303
41458.625	14.9044	54.661
41458.66667	14.7822	54.5901
41458.70833	14.6616	54.5177
41458.75	14.5426	54.4438
41458.79167	14.4251	54.3685
41458.83333	14.3091	54.2917
41458.875	14.1946	54.2135
41458.91667	14.0815	54.134
41458.95833	13.9699	54.0532
41459	13.8597	53.9712
41459.04167	13.7509	53.8878
41459.08333	13.6435	53.8033
41459.125	13.5374	53.7176
41459.16667	13.4327	53.6308
41459.20833	13.3292	53.5429
41459.25	13.2271	53.4539
41459.29167	13.1262	53.3639
41459.33333	13.0265	53.2728
41459.375	12.9281	53.1808
41459.41667	12.8308	53.0878
41459.45833	12.7348	52.994
41459.5	12.6399	52.8992
41459.54167	12.5462	52.8036
41459.58333	12.4536	52.7072
41459.625	12.3621	52.61
41459.66667	12.2718	52.512
41459.70833	12.1825	52.4132
41459.75	12.0942	52.3138
41459.79167	12.0071	52.2137
41459.83333	11.9209	52.1129
41459.875	11.8358	52.0115
41459.91667	11.7516	51.9095
41459.95833	11.6685	51.8068
41460	11.5863	51.7037
41460.04167	11.505	51.6
41460.08333	11.4247	51.4958
41460.125	11.3453	51.3911
41460.16667	11.2668	51.2859
41460.20833	11.1893	51.1803
41460.25	11.1126	51.0743
41460.29167	11.0368	50.9679
41460.33333	10.9618	50.8611
41460.375	10.8877	50.7539
41460.41667	10.8144	50.6464
41460.45833	10.7419	50.5386
41460.5	10.6703	50.4305
41460.54167	10.5994	50.3221
41460.58333	10.5293	50.2135
41460.625	10.4604	50.1046
41460.66667	10.3926	49.9955
41460.70833	10.3254	49.8862
41460.75	10.2589	49.7767
41460.79167	10.193	49.667
41460.83333	10.1278	49.5572
41460.875	10.0632	49.4473
41460.91667	9.99947	49.3372
41460.95833	9.93648	49.2271
41461	9.87425	49.1168
41461.04167	9.81281	49.0065
41461.08333	9.75214	48.8961
41461.125	9.69225	48.7857
41461.16667	9.63314	48.6753
41461.20833	9.57478	48.5648
41461.25	9.51719	48.4544
41461.29167	9.46035	48.344
41461.33333	9.40428	48.2336
41461.375	9.34899	48.1232
41461.41667	9.29448	48.0129
41461.45833	9.24076	47.9027
41461.5	9.18784	47.7925
41461.54167	9.13543	47.6824
41461.58333	9.08314	47.5725
41461.625	9.03084	47.4626
41461.66667	8.9786	47.3529
41461.70833	8.92648	47.2433
41461.75	8.87456	47.1338
41461.79167	8.82291	47.0245
41461.83333	8.77168	46.9153
41461.875	8.72104	46.8064
41461.91667	8.67105	46.6976
41461.95833	8.62172	46.589
41462	8.57307	46.4806
41462.04167	8.5251	46.3725
41462.08333	8.47783	46.2646
41462.125	8.43129	46.1569
41462.16667	8.38535	46.0495
41462.20833	8.33991	45.9424
41462.25	8.29497	45.8355
41462.29167	8.25054	45.729
41462.33333	8.20663	45.6228
41462.375	8.16323	45.517
41462.41667	8.12035	45.4115
41462.45833	8.078	45.3065
41462.5	8.03615	45.2019
41462.54167	7.99449	45.0979
41462.58333	7.95269	44.9943
41462.625	7.91067	44.8913
41462.66667	7.86846	44.7889
41462.70833	7.82619	44.6872
41462.75	7.78396	44.5862
41462.79167	7.74186	44.4859
41462.83333	7.70002	44.3864
41462.875	7.65858	44.2878
41462.91667	7.6176	44.1902
41462.95833	7.5771	44.0935
41463	7.53706	43.9978
41463.04167	7.49747	43.9032
41463.08333	7.45835	43.8098
41463.125	7.41967	43.7175
41463.16667	7.38146	43.6266
41463.20833	7.34369	43.537
41463.25	7.30638	43.4488
41463.29167	7.26953	43.3621
41463.33333	7.23312	43.2768
41463.375	7.19717	43.1932
41463.41667	7.16168	43.1112
41463.45833	7.12664	43.0309
41463.5	7.09205	42.9525
41463.54167	7.0576	42.8758
41463.58333	7.02304	42.801
41463.625	6.98843	42.7282
41463.66667	6.95383	42.6575
41463.70833	6.91929	42.5888
41463.75	6.88488	42.5222
41463.79167	6.85063	42.4578
41463.83333	6.81662	42.3957
41463.875	6.78292	42.3358
41463.91667	6.74957	42.2783
41463.95833	6.71658	42.2231
41464	6.68394	42.1704
41464.04167	6.65164	42.1202
41464.08333	6.61968	42.0724
41464.125	6.58804	42.0272
41464.16667	6.55674	41.9846
41464.20833	6.52576	41.9445
41464.25	6.4951	41.9071
41464.29167	6.46476	41.8723
41464.33333	6.43472	41.8402
41464.375	6.40499	41.8107
41464.41667	6.37557	41.784
41464.45833	6.34644	41.7599
41464.5	6.3176	41.7386
41464.54167	6.28894	41.7199
41464.58333	6.26031	41.704
41464.625	6.23172	41.6908
41464.66667	6.2032	41.6803
41464.70833	6.17478	41.6725
41464.75	6.1465	41.6674
41464.79167	6.11838	41.6651
41464.83333	6.09046	41.6653
41464.875	6.06276	41.6683
41464.91667	6.03532	41.6739
41464.95833	6.00812	41.6821
41465	5.98118	41.6928
41465.04167	5.95447	41.7062
41465.08333	5.92801	41.7221
41465.125	5.90179	41.7405
41465.16667	5.87579	41.7613
41465.20833	5.85003	41.7846
41465.25	5.82449	41.8102
41465.29167	5.79917	41.8382
41465.33333	5.77407	41.8684
41465.375	5.74919	41.9009
41465.41667	5.72453	41.9356
41465.45833	5.70007	41.9724
41465.5	5.67582	42.0112
41465.54167	5.65173	42.0521
41465.58333	5.62776	42.0949
41465.625	5.60393	42.1397
41465.66667	5.58024	42.1862
41465.70833	5.55671	42.2346
41465.75	5.53333	42.2846
41465.79167	5.51013	42.3363
41465.83333	5.48712	42.3895
41465.875	5.46429	42.4443
41465.91667	5.44164	42.5005
41465.95833	5.41918	42.5581
41466	5.3969	42.617
41466.04167	5.3748	42.6772
41466.08333	5.35287	42.7385
41466.125	5.33111	42.8009
41466.16667	5.30952	42.8644
41466.20833	5.2881	42.9288
41466.25	5.26685	42.9941
41466.29167	5.24576	43.0602
41466.33333	5.22483	43.1271
41466.375	5.20407	43.1947
41466.41667	5.18346	43.2629
41466.45833	5.16301	43.3316
41466.5	5.1427	43.4009
41466.54167	5.12255	43.4705
41466.58333	5.10252	43.5404
41466.625	5.08263	43.6107
41466.66667	5.06288	43.6811
41466.70833	5.04327	43.7517
41466.75	5.02381	43.8224
41466.79167	5.00449	43.893
41466.83333	4.9853	43.9637
41466.875	4.96626	44.0342
41466.91667	4.94735	44.1045
41466.95833	4.92858	44.1746
41467	4.90994	44.2444
41467.04167	4.89143	44.3139
41467.08333	4.87306	44.3829
41467.125	4.85482	44.4515
41467.16667	4.8367	44.5196
41467.20833	4.81872	44.5871
41467.25	4.80086	44.6539
41467.29167	4.78312	44.7201
41467.33333	4.76551	44.7856
41467.375	4.74802	44.8503
41467.41667	4.73065	44.9142
41467.45833	4.7134	44.9773
41467.5	4.69626	45.0394
41467.54167	4.67923	45.1006
41467.58333	4.66232	45.1608
41467.625	4.64551	45.22
41467.66667	4.62881	45.2781
41467.70833	4.61222	45.3351
41467.75	4.59575	45.391
41467.79167	4.57937	45.4458
41467.83333	4.56311	45.4993
41467.875	4.54695	45.5517
41467.91667	4.5309	45.6027
41467.95833	4.51496	45.6525
41468	4.49912	45.701
41468.04167	4.48339	45.7481
41468.08333	4.46775	45.7939
41468.125	4.45223	45.8383
41468.16667	4.4368	45.8814
41468.20833	4.42147	45.923
41468.25	4.40624	45.9632
41468.29167	4.39111	46.0019
41468.33333	4.37607	46.0392
41468.375	4.36113	46.075
41468.41667	4.34629	46.1093
41468.45833	4.33154	46.1421
41468.5	4.31689	46.1733
41468.54167	4.30232	46.2031
41468.58333	4.28785	46.2314
41468.625	4.27346	46.2581
41468.66667	4.25917	46.2832
41468.70833	4.24495	46.3069
41468.75	4.23083	46.3289
41468.79167	4.21679	46.3495
41468.83333	4.20284	46.3684
41468.875	4.18897	46.3859
41468.91667	4.17519	46.4017
41468.95833	4.16149	46.4161
41469	4.14787	46.4288
41469.04167	4.13434	46.44
41469.08333	4.1209	46.4497
41469.125	4.10753	46.4579
41469.16667	4.09425	46.4645
41469.20833	4.08104	46.4696
41469.25	4.06792	46.4731
41469.29167	4.05487	46.4752
41469.33333	4.0419	46.4757
41469.375	4.02901	46.4748
41469.41667	4.0162	46.4724
41469.45833	4.00346	46.4684
41469.5	3.9908	46.4631
41469.54167	3.97822	46.4562
41469.58333	3.9657	46.448
41469.625	3.95326	46.4383
41469.66667	3.94088	46.4271
41469.70833	3.92858	46.4146
41469.75	3.91635	46.4007
41469.79167	3.90419	46.3854
41469.83333	3.89209	46.3687
41469.875	3.88007	46.3507
41469.91667	3.86812	46.3313
41469.95833	3.85624	46.3107
41470	3.84442	46.2887
41470.04167	3.83268	46.2654
41470.08333	3.821	46.2409
41470.125	3.80939	46.2151
41470.16667	3.79784	46.188
41470.20833	3.78636	46.1598
41470.25	3.77495	46.1303
41470.29167	3.7636	46.0996
41470.33333	3.75231	46.0678
41470.375	3.74109	46.0348
41470.41667	3.72993	46.0006
41470.45833	3.71884	45.9654
41470.5	3.7078	45.929
41470.54167	3.69683	45.8916
41470.58333	3.68592	45.8531
41470.625	3.67506	45.8135
41470.66667	3.66427	45.7729
41470.70833	3.65353	45.7312
41470.75	3.64285	45.6886
41470.79167	3.63222	45.645
41470.83333	3.62166	45.6004
41470.875	3.61115	45.5549
41470.91667	3.6007	45.5085
41470.95833	3.59031	45.4611
41471	3.57997	45.4129
41471.04167	3.56969	45.3638
41471.08333	3.55948	45.3138
41471.125	3.54933	45.263
41471.16667	3.53923	45.2113
41471.20833	3.52919	45.1589
41471.25	3.51921	45.1056
41471.29167	3.50927	45.0516
41471.33333	3.49939	44.9969
41471.375	3.48956	44.9414
41471.41667	3.47979	44.8851
41471.45833	3.47006	44.8282
41471.5	3.46039	44.7706
41471.54167	3.45076	44.7123
41471.58333	3.44119	44.6534
41471.625	3.43166	44.5938
41471.66667	3.42218	44.5336
41471.70833	3.41275	44.4728
41471.75	3.40337	44.4114
41471.79167	3.39403	44.3494
41471.83333	3.38474	44.2869
41471.875	3.3755	44.2238
41471.91667	3.3663	44.1602
41471.95833	3.35716	44.096
41472	3.34806	44.0314
41472.04167	3.33901	43.9663
41472.08333	3.33002	43.9007
41472.125	3.32107	43.8347
41472.16667	3.31217	43.7682
41472.20833	3.30331	43.7012
41472.25	3.2945	43.6339
41472.29167	3.28573	43.5661
41472.33333	3.27701	43.498
41472.375	3.26833	43.4295
41472.41667	3.25969	43.3606
41472.45833	3.2511	43.2914
41472.5	3.24255	43.2218
41472.54167	3.23404	43.1519
41472.58333	3.22557	43.0817
41472.625	3.21714	43.0112
41472.66667	3.20876	42.9404
41472.70833	3.20041	42.8693
41472.75	3.1921	42.798
41472.79167	3.18383	42.7264
41472.83333	3.17561	42.6546
41472.875	3.16742	42.5825
41472.91667	3.15927	42.5102
41472.95833	3.15117	42.4376
41473	3.1431	42.3649
41473.04167	3.13508	42.292
41473.08333	3.12709	42.2189
41473.125	3.11914	42.1457
41473.16667	3.11123	42.0722
41473.20833	3.10336	41.9986
41473.25	3.09553	41.9249
41473.29167	3.08773	41.8511
41473.33333	3.07998	41.7771
41473.375	3.07226	41.703
41473.41667	3.06458	41.6288
41473.45833	3.05693	41.5545
41473.5	3.04932	41.4801
41473.54167	3.04175	41.4056
41473.58333	3.03422	41.331
41473.625	3.02672	41.2564
41473.66667	3.01925	41.1817
41473.70833	3.01182	41.107
41473.75	3.00442	41.0322
41473.79167	2.99706	40.9574
41473.83333	2.98973	40.8825
41473.875	2.98244	40.8076
41473.91667	2.97518	40.7328
41473.95833	2.96795	40.6579
41474	2.96076	40.583
41474.04167	2.9536	40.5081
41474.08333	2.94648	40.4332
41474.125	2.93939	40.3583
41474.16667	2.93233	40.2835
41474.20833	2.92531	40.2086
41474.25	2.91832	40.1338
41474.29167	2.91136	40.0591
41474.33333	2.90443	39.9844
41474.375	2.89753	39.9097
41474.41667	2.89067	39.8351
41474.45833	2.88384	39.7606
41474.5	2.87703	39.6861
41474.54167	2.87026	39.6117
41474.58333	2.86352	39.5374
41474.625	2.85681	39.4631
41474.66667	2.85012	39.389
41474.70833	2.84347	39.3149
41474.75	2.83684	39.2409
41474.79167	2.83024	39.167
41474.83333	2.82367	39.0932
41474.875	2.81713	39.0195
41474.91667	2.81062	38.946
41474.95833	2.80414	38.8725
41475	2.79769	38.7992
41475.04167	2.79126	38.7259
41475.08333	2.78487	38.6529
41475.125	2.7785	38.5799
41475.16667	2.77217	38.507
41475.20833	2.76586	38.4343
41475.25	2.75958	38.3618
41475.29167	2.75333	38.2893
41475.33333	2.7471	38.217
41475.375	2.7409	38.1449
41475.41667	2.73473	38.0729
41475.45833	2.72859	38.0011
41475.5	2.72248	37.9294
41475.54167	2.71639	37.8578
41475.58333	2.71032	37.7865
41475.625	2.70429	37.7152
41475.66667	2.69827	37.6442
41475.70833	2.69228	37.5733
41475.75	2.68632	37.5026
41475.79167	2.68038	37.432
41475.83333	2.67446	37.3617
41475.875	2.66857	37.2915
41475.91667	2.66271	37.2214
41475.95833	2.65687	37.1516
41476	2.65106	37.0819
41476.04167	2.64527	37.0124
41476.08333	2.6395	36.9431
41476.125	2.63377	36.874
41476.16667	2.62805	36.8051
41476.20833	2.62236	36.7363
41476.25	2.6167	36.6678
41476.29167	2.61106	36.5994
41476.33333	2.60544	36.5313
41476.375	2.59985	36.4633
41476.41667	2.59428	36.3955
41476.45833	2.58874	36.3279
41476.5	2.58321	36.2605
41476.54167	2.57772	36.1933
41476.58333	2.57224	36.1263
41476.625	2.56678	36.0595
41476.66667	2.56135	35.9929
41476.70833	2.55594	35.9265
41476.75	2.55055	35.8603
41476.79167	2.54518	35.7943
41476.83333	2.53983	35.7286
41476.875	2.5345	35.663
41476.91667	2.5292	35.5976
41476.95833	2.52392	35.5324
41477	2.51866	35.4675
41477.04167	2.51342	35.4027
41477.08333	2.50821	35.3382
41477.125	2.50301	35.2738
41477.16667	2.49784	35.2097
41477.20833	2.49269	35.1458
41477.25	2.48756	35.0821
41477.29167	2.48245	35.0185
41477.33333	2.47736	34.9553
41477.375	2.47229	34.8922
41477.41667	2.46724	34.8293
41477.45833	2.46222	34.7666
41477.5	2.45721	34.7042
41477.54167	2.45222	34.6419
41477.58333	2.44726	34.5799
41477.625	2.44231	34.5181
41477.66667	2.43738	34.4565
41477.70833	2.43247	34.3951
41477.75	2.42757	34.3339
41477.79167	2.4227	34.2729
41477.83333	2.41785	34.2122
41477.875	2.41301	34.1516
41477.91667	2.4082	34.0913
41477.95833	2.4034	34.0311
41478	2.39862	33.9712
41478.04167	2.39386	33.9115
41478.08333	2.38912	33.852
41478.125	2.3844	33.7927
41478.16667	2.3797	33.7337
41478.20833	2.37501	33.6748
41478.25	2.37035	33.6161
41478.29167	2.3657	33.5577
41478.33333	2.36107	33.4995
41478.375	2.35646	33.4414
41478.41667	2.35187	33.3836
41478.45833	2.34729	33.326
41478.5	2.34274	33.2686
41478.54167	2.3382	33.2114
41478.58333	2.33367	33.1544
41478.625	2.32917	33.0977
41478.66667	2.32468	33.0411
41478.70833	2.32021	32.9848
41478.75	2.31575	32.9286
41478.79167	2.31131	32.8727
41478.83333	2.30688	32.8169
41478.875	2.30248	32.7614
41478.91667	2.29809	32.706
41478.95833	2.29371	32.6509
41479	2.28936	32.596
41479.04167	2.28502	32.5413
41479.08333	2.28069	32.4867
41479.125	2.27639	32.4324
41479.16667	2.27209	32.3783
41479.20833	2.26782	32.3244
41479.25	2.26356	32.2707
41479.29167	2.25932	32.2172
41479.33333	2.25509	32.1639
41479.375	2.25088	32.1108
41479.41667	2.24669	32.0578
41479.45833	2.24251	32.0051
41479.5	2.23834	31.9526
41479.54167	2.23419	31.9003
41479.58333	2.23006	31.8481
41479.625	2.22594	31.7962
41479.66667	2.22184	31.7445
41479.70833	2.21775	31.6929
41479.75	2.21367	31.6416
41479.79167	2.20961	31.5904
41479.83333	2.20556	31.5395
41479.875	2.20153	31.4887
41479.91667	2.19751	31.4381
41479.95833	2.19351	31.3877
41480	2.18952	31.3375
41480.04167	2.18555	31.2875
41480.08333	2.18159	31.2377
41480.125	2.17764	31.188
41480.16667	2.17371	31.1386
41480.20833	2.1698	31.0893
41480.25	2.1659	31.0402
41480.29167	2.16201	30.9914
41480.33333	2.15813	30.9426
41480.375	2.15428	30.8941
41480.41667	2.15043	30.8458
41480.45833	2.1466	30.7976
41480.5	2.14278	30.7496
41480.54167	2.13897	30.7018
41480.58333	2.13518	30.6542
41480.625	2.1314	30.6068
41480.66667	2.12764	30.5595
41480.70833	2.12388	30.5125
41480.75	2.12014	30.4656
41480.79167	2.11642	30.4188
41480.83333	2.1127	30.3723
41480.875	2.109	30.3259
41480.91667	2.10531	30.2797
41480.95833	2.10164	30.2337
41481	2.09797	30.1878
41481.04167	2.09432	30.1422
41481.08333	2.09069	30.0966
41481.125	2.08706	30.0513
41481.16667	2.08345	30.0061
41481.20833	2.07985	29.9611
41481.25	2.07626	29.9163
41481.29167	2.07269	29.8717
41481.33333	2.06913	29.8272
41481.375	2.06558	29.7828
41481.41667	2.06204	29.7387
41481.45833	2.05852	29.6947
41481.5	2.055	29.6509
41481.54167	2.0515	29.6072
41481.58333	2.04801	29.5637
41481.625	2.04454	29.5204
41481.66667	2.04107	29.4772
41481.70833	2.03761	29.4342
41481.75	2.03417	29.3913
41481.79167	2.03074	29.3486
41481.83333	2.02732	29.3061
41481.875	2.02391	29.2637
41481.91667	2.02051	29.2215
41481.95833	2.01712	29.1794
41482	2.01375	29.1375
41482.04167	2.01039	29.0958
41482.08333	2.00703	29.0542
41482.125	2.00369	29.0128
41482.16667	2.00036	28.9715
41482.20833	1.99705	28.9303
41482.25	1.99374	28.8894
41482.29167	1.99044	28.8485
41482.33333	1.98716	28.8079
41482.375	1.98388	28.7673
41482.41667	1.98062	28.727
41482.45833	1.97737	28.6867
41482.5	1.97413	28.6467
41482.54167	1.97089	28.6067
41482.58333	1.96767	28.567
41482.625	1.96446	28.5273
41482.66667	1.96126	28.4879
41482.70833	1.95807	28.4485
41482.75	1.95489	28.4093
41482.79167	1.95172	28.3703
41482.83333	1.94856	28.3314
41482.875	1.94541	28.2926
41482.91667	1.94227	28.254
41482.95833	1.93914	28.2155
41483	1.93602	28.1772
41483.04167	1.93291	28.139
41483.08333	1.92981	28.1009
41483.125	1.92673	28.063
41483.16667	1.92365	28.0252
41483.20833	1.92058	27.9876
41483.25	1.91752	27.9501
41483.29167	1.91447	27.9127
41483.33333	1.91143	27.8755
41483.375	1.9084	27.8384
41483.41667	1.90538	27.8015
41483.45833	1.90237	27.7646
41483.5	1.89937	27.728
41483.54167	1.89638	27.6914
41483.58333	1.89339	27.655
41483.625	1.89042	27.6187
41483.66667	1.88746	27.5825
41483.70833	1.8845	27.5465
41483.75	1.88156	27.5106
41483.79167	1.87862	27.4748
41483.83333	1.87569	27.4392
41483.875	1.87277	27.4037
41483.91667	1.86986	27.3683
41483.95833	1.86696	27.333
41484	1.86407	27.2979
41484.04167	1.86119	27.2629
41484.08333	1.85832	27.228
41484.125	1.85545	27.1932
41484.16667	1.8526	27.1586
41484.20833	1.84975	27.1241
41484.25	1.84691	27.0897
41484.29167	1.84409	27.0554
41484.33333	1.84127	27.0212
41484.375	1.83845	26.9872
41484.41667	1.83565	26.9533
41484.45833	1.83286	26.9195
41484.5	1.83007	26.8858
41484.54167	1.8273	26.8523
41484.58333	1.82453	26.8188
41484.625	1.82177	26.7855
41484.66667	1.81902	26.7523
41484.70833	1.81627	26.7192
41484.75	1.81353	26.6862
41484.79167	1.81081	26.6534
41484.83333	1.80809	26.6206
41484.875	1.80538	26.588
41484.91667	1.80267	26.5555
41484.95833	1.79998	26.523
41485	1.79729	26.4907
41485.04167	1.79461	26.4586
41485.08333	1.79194	26.4265
41485.125	1.78928	26.3945
41485.16667	1.78662	26.3626
41485.20833	1.78398	26.3309
41485.25	1.78134	26.2992
41485.29167	1.77871	26.2677
41485.33333	1.77608	26.2363
41485.375	1.77347	26.2049
41485.41667	1.77086	26.1737
41485.45833	1.76826	26.1426
41485.5	1.76567	26.1116
41485.54167	1.76308	26.0807
41485.58333	1.76051	26.0498
41485.625	1.75794	26.0191
41485.66667	1.75538	25.9885
41485.70833	1.75282	25.958
41485.75	1.75027	25.9276
41485.79167	1.74773	25.8973
41485.83333	1.7452	25.8671
41485.875	1.74267	25.837
41485.91667	1.74016	25.807
41485.95833	1.73765	25.7771
41486	1.73514	25.7473
41486.04167	1.73265	25.7176
41486.08333	1.73016	25.688
41486.125	1.72768	25.6585
41486.16667	1.7252	25.629
41486.20833	1.72273	25.5997
41486.25	1.72027	25.5705
41486.29167	1.71782	25.5413
41486.33333	1.71537	25.5123
41486.375	1.71294	25.4833
41486.41667	1.7105	25.4545
41486.45833	1.70808	25.4257
41486.5	1.70566	25.397
41486.54167	1.70325	25.3685
41486.58333	1.70085	25.34
41486.625	1.69845	25.3116
41486.66667	1.69606	25.2833
41486.70833	1.69367	25.255
41486.75	1.69129	25.2269
41486.79167	1.68892	25.1989
41486.83333	1.68656	25.1709
41486.875	1.6842	25.143
41486.91667	1.68185	25.1152
41486.95833	1.6795	25.0875
41487	1.67717	25.0599
41487.04167	1.67483	25.0324
41487.08333	1.67251	25.005
41487.125	1.67019	24.9776
41487.16667	1.66788	24.9503
41487.20833	1.66557	24.9232
41487.25	1.66327	24.8961
41487.29167	1.66098	24.869
41487.33333	1.6587	24.8421
41487.375	1.65642	24.8153
41487.41667	1.65414	24.7885
41487.45833	1.65188	24.7618
41487.5	1.64961	24.7352
41487.54167	1.64736	24.7087
41487.58333	1.64511	24.6822
41487.625	1.64287	24.6559
41487.66667	1.64063	24.6296
41487.70833	1.6384	24.6034
41487.75	1.63618	24.5772
41487.79167	1.63396	24.5512
