time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	0	0
41451.125	0	0
41451.16667	1.63744E-7	0
41451.20833	4.84549E-7	0
41451.25	7.92259E-7	0
41451.29167	1.08741E-6	0
41451.33333	1.37039E-6	0
41451.375	1.6412E-6	0
41451.41667	1.90003E-6	0
41451.45833	2.14742E-6	0
41451.5	2.38274E-6	0
41451.54167	2.56711E-6	0
41451.58333	2.67181E-6	0
41451.625	2.71446E-6	0
41451.66667	2.71059E-6	0
41451.70833	2.67366E-6	0
41451.75	2.6147E-6	0
41451.79167	2.54757E-6	0
41451.83333	2.48179E-6	0
41451.875	2.41817E-6	0
41451.91667	2.35705E-6	0
41451.95833	2.29842E-6	0
41452	2.24219E-6	0
41452.04167	2.18827E-6	0
41452.08333	2.13657E-6	0
41452.125	2.08701E-6	0
41452.16667	2.03953E-6	0
41452.20833	1.99406E-6	0
41452.25	1.95056E-6	0
41452.29167	1.90899E-6	0
41452.33333	1.8693E-6	0
41452.375	1.83148E-6	0
41452.41667	1.79553E-6	0
41452.45833	1.76144E-6	0
41452.5	1.72923E-6	0
41452.54167	1.69812E-6	0
41452.58333	1.66736E-6	0
41452.625	1.63699E-6	0
41452.66667	1.60715E-6	0
41452.70833	1.57802E-6	0
41452.75	1.54987E-6	0
41452.79167	1.523E-6	0
41452.83333	1.49814E-6	0
41452.875	1.47636E-6	0
41452.91667	1.45829E-6	0
41452.95833	1.44419E-6	0
41453	1.4343E-6	0
41453.04167	1.42889E-6	0
41453.08333	1.42827E-6	0
41453.125	1.43277E-6	0
41453.16667	1.44278E-6	0
41453.20833	1.45874E-6	0
41453.25	1.48115E-6	0
41453.29167	1.51053E-6	0
41453.33333	1.54749E-6	0
41453.375	1.59266E-6	0
41453.41667	1.64675E-6	0
41453.45833	1.71051E-6	0
41453.5	1.78465E-6	0
41453.54167	1.86802E-6	0
41453.58333	1.95917E-6	0
41453.625	2.0583E-6	0
41453.66667	2.16561E-6	0
41453.70833	2.28111E-6	0
41453.75	2.40482E-6	0
41453.79167	2.53673E-6	0
41453.83333	2.67801E-6	0
41453.875	2.83219E-6	0
41453.91667	3.00168E-6	0
41453.95833	3.18673E-6	0
41454	3.38753E-6	0
41454.04167	3.60411E-6	0
41454.08333	3.83645E-6	0
41454.125	4.08453E-6	0
41454.16667	4.34823E-6	0
41454.20833	4.62744E-6	0
41454.25	4.92199E-6	0
41454.29167	5.23167E-6	0
41454.33333	5.55625E-6	0
41454.375	5.89548E-6	0
41454.41667	6.24914E-6	0
41454.45833	6.61696E-6	0
41454.5	6.99827E-6	0
41454.54167	7.3851E-6	0
41454.58333	7.76891E-6	0
41454.625	8.14803E-6	0
41454.66667	8.52134E-6	0
41454.70833	8.88776E-6	0
41454.75	9.24642E-6	0
41454.79167	9.59663E-6	0
41454.83333	9.94107E-6	0
41454.875	1.0288E-5	0
41454.91667	1.0644E-5	0
41454.95833	1.10097E-5	0
41455	1.13845E-5	0
41455.04167	1.17676E-5	0
41455.08333	1.21585E-5	0
41455.125	1.25564E-5	0
41455.16667	1.29608E-5	0
41455.20833	1.33711E-5	0
41455.25	1.37864E-5	0
41455.29167	1.42065E-5	0
41455.33333	1.46304E-5	0
41455.375	1.50576E-5	0
41455.41667	1.54878E-5	0
41455.45833	1.59202E-5	0
41455.5	1.63536E-5	0
41455.54167	1.67757E-5	0
41455.58333	1.71737E-5	0
41455.625	1.75456E-5	0
41455.66667	1.78903E-5	0
41455.70833	1.82072E-5	0
41455.75	1.84966E-5	0
41455.79167	1.87581E-5	0
41455.83333	1.8992E-5	0
41455.875	1.9213E-5	0
41455.91667	1.94361E-5	0
41455.95833	1.96625E-5	0
41456	1.98918E-5	0
41456.04167	2.01236E-5	0
41456.08333	2.03574E-5	0
41456.125	2.05928E-5	0
41456.16667	2.08295E-5	0
41456.20833	2.10672E-5	0
41456.25	2.13055E-5	0
41456.29167	2.15442E-5	0
41456.33333	2.17828E-5	0
41456.375	2.20212E-5	0
41456.41667	2.22591E-5	0
41456.45833	2.24962E-5	0
41456.5	2.27308E-5	0
41456.54167	2.29503E-5	0
41456.58333	2.31431E-5	0
41456.625	2.33087E-5	0
41456.66667	2.34474E-5	0
41456.70833	2.35596E-5	0
41456.75	2.36461E-5	0
41456.79167	2.37078E-5	0
41456.83333	2.37505E-5	0
41456.875	2.37881E-5	0
41456.91667	2.38292E-5	0
41456.95833	2.38737E-5	0
41457	2.39217E-5	0
41457.04167	2.3973E-5	0
41457.08333	2.40273E-5	0
41457.125	2.40843E-5	0
41457.16667	2.41438E-5	0
41457.20833	2.42056E-5	0
41457.25	2.42695E-5	0
41457.29167	2.43353E-5	0
41457.33333	2.44028E-5	0
41457.375	2.44717E-5	0
41457.41667	2.45418E-5	0
41457.45833	2.46131E-5	0
41457.5	2.46847E-5	0
41457.54167	2.47456E-5	0
41457.58333	2.47837E-5	0
41457.625	2.47958E-5	0
41457.66667	2.47815E-5	0
41457.70833	2.47421E-5	0
41457.75	2.4676E-5	0
41457.79167	2.45857E-5	0
41457.83333	2.44732E-5	0
41457.875	2.4352E-5	0
41457.91667	2.42377E-5	0
41457.95833	2.41306E-5	0
41458	2.40304E-5	0
41458.04167	2.39367E-5	0
41458.08333	2.38493E-5	0
41458.125	2.37678E-5	0
41458.16667	2.3692E-5	0
41458.20833	2.36216E-5	0
41458.25	2.35564E-5	0
41458.29167	2.3496E-5	0
41458.33333	2.34403E-5	0
41458.375	2.3389E-5	0
41458.41667	2.3342E-5	0
41458.45833	2.32989E-5	0
41458.5	2.3259E-5	0
41458.54167	2.32138E-5	0
41458.58333	2.31542E-5	0
41458.625	2.30787E-5	0
41458.66667	2.29877E-5	0
41458.70833	2.28817E-5	0
41458.75	2.27616E-5	0
41458.79167	2.26285E-5	0
41458.83333	2.24889E-5	0
41458.875	2.23524E-5	0
41458.91667	2.22264E-5	0
41458.95833	2.21951E-5	0
41459	2.17702E-5	0
41459.04167	2.08827E-5	0
41459.08333	2.00315E-5	0
41459.125	1.9215E-5	0
41459.16667	1.84318E-5	0
41459.20833	1.76806E-5	0
41459.25	1.69601E-5	0
41459.29167	1.6269E-5	0
41459.33333	1.56061E-5	0
41459.375	1.49702E-5	0
41459.41667	1.43603E-5	0
41459.45833	1.37753E-5	0
41459.5	1.32141E-5	0
41459.54167	1.26759E-5	0
41459.58333	1.21596E-5	0
41459.625	1.42412E-5	0
41459.66667	1.88186E-5	0
41459.70833	2.3219E-5	0
41459.75	2.75022E-5	0
41459.79167	3.19371E-5	0
41459.83333	3.99158E-5	0
41459.875	5.22287E-5	0
41459.91667	5.76709E-5	0
41459.95833	5.53179E-5	0
41460	5.3061E-5	0
41460.04167	5.08962E-5	0
41460.08333	4.88197E-5	0
41460.125	4.6828E-5	0
41460.16667	4.49176E-5	0
41460.20833	4.30852E-5	0
41460.25	4.13275E-5	0
41460.29167	3.96416E-5	0
41460.33333	3.80245E-5	0
41460.375	3.64735E-5	0
41460.41667	3.49857E-5	0
41460.45833	3.35586E-5	0
41460.5	3.21898E-5	0
41460.54167	3.08769E-5	0
41460.58333	2.96176E-5	0
41460.625	0.000427811	0
41460.66667	0.00116526	0
41460.70833	0.00178871	0
41460.75	0.00231131	0
41460.79167	0.0027478	0
41460.83333	0.00312638	0
41460.875	0.00350914	0
41460.91667	0.00395276	0
41460.95833	0.00447812	0
41461	0.00509748	0
41461.04167	0.00582397	0
41461.08333	0.00667234	0
41461.125	0.00765737	0
41461.16667	0.00877309	0
41461.20833	0.0100125	0
41461.25	0.011388	0
41461.29167	0.0129128	0
41461.33333	0.0146012	0
41461.375	0.0164685	0
41461.41667	0.0185328	0
41461.45833	0.0208124	0
41461.5	0.0233093	0
41461.54167	0.0257595	0
41461.58333	0.0277679	0
41461.625	0.0292224	0
41461.66667	0.0301885	0
41461.70833	0.030748	0
41461.75	0.0309813	0
41461.79167	0.03096	0
41461.83333	0.0308474	0
41461.875	0.030825	0
41461.91667	0.030952	0
41461.95833	0.0312462	0
41462	0.0317265	0
41462.04167	0.032414	0
41462.08333	0.0333345	0
41462.125	0.0345055	0
41462.16667	0.0358239	0
41462.20833	0.0371876	0
41462.25	0.0386069	0
41462.29167	0.0400913	0
41462.33333	0.0416496	0
41462.375	0.0432927	0
41462.41667	0.0450316	0
41462.45833	0.0468779	0
41462.5	0.0488144	0
41462.54167	0.0505267	0
41462.58333	0.0516884	0
41462.625	0.0522373	0
41462.66667	0.0522054	0
41462.70833	0.0517153	0
41462.75	0.0508845	0
41462.79167	0.0498103	0
41462.83333	0.0486154	0
41462.875	0.0474491	0
41462.91667	0.0463854	0
41462.95833	0.0454281	0
41463	0.0445775	0
41463.04167	0.0438342	0
41463.08333	0.0432	0
41463.125	0.0426775	0
41463.16667	0.0422696	0
41463.20833	0.0419797	0
41463.25	0.0418114	0
41463.29167	0.0417688	0
41463.33333	0.0418561	0
41463.375	0.0420781	0
41463.41667	0.0424401	0
41463.45833	0.0429476	0
41463.5	0.0435883	0
41463.54167	0.0440706	0
41463.58333	0.0441441	0
41463.625	0.0438677	0
41463.66667	0.0433057	0
41463.70833	0.0425195	0
41463.75	0.0415672	0
41463.79167	0.0404981	0
41463.83333	0.03938	0
41463.875	0.0383009	0
41463.91667	0.0373034	0
41463.95833	0.0363879	0
41464	0.0355522	0
41464.04167	0.0347943	0
41464.08333	0.034112	0
41464.125	0.0335035	0
41464.16667	0.0329672	0
41464.20833	0.0325015	0
41464.25	0.0321049	0
41464.29167	0.0317758	0
41464.33333	0.0315128	0
41464.375	0.0313152	0
41464.41667	0.0311818	0
41464.45833	0.031111	0
41464.5	0.0310932	0
41464.54167	0.0310154	0
41464.58333	0.0307526	0
41464.625	0.0302977	0
41464.66667	0.029686	0
41464.70833	0.0289584	0
41464.75	0.0281498	0
41464.79167	0.0272893	0
41464.83333	0.0264044	0
41464.875	0.0255359	0
41464.91667	0.0247113	0
41464.95833	0.0239303	0
41465	0.0231917	0
41465.04167	0.0224938	0
41465.08333	0.021835	0
41465.125	0.0212139	0
41465.16667	0.0206289	0
41465.20833	0.0200787	0
41465.25	0.0195619	0
41465.29167	0.0190774	0
41465.33333	0.0186237	0
41465.375	0.0181998	0
41465.41667	0.0178047	0
41465.45833	0.0174372	0
41465.5	0.0170938	0
41465.54167	0.0167336	0
41465.58333	0.0163225	0
41465.625	0.01587	0
41465.66667	0.0153876	0
41465.70833	0.0148855	0
41465.75	0.0143728	0
41465.79167	0.0138675	0
41465.83333	0.0133828	0
41465.875	0.0129194	0
41465.91667	0.0124775	0
41465.95833	0.0120562	0
41466	0.0116548	0
41466.04167	0.0112723	0
41466.08333	0.0109082	0
41466.125	0.0105615	0
41466.16667	0.0102315	0
41466.20833	0.00991771	0
41466.25	0.00961931	0
41466.29167	0.00933572	0
41466.33333	0.00906633	0
41466.375	0.00881058	0
41466.41667	0.0085679	0
41466.45833	0.00833778	0
41466.5	0.00811878	0
41466.54167	0.0079025	0
41466.58333	0.00767695	0
41466.625	0.0074486	0
41466.66667	0.00722844	0
41466.70833	0.00701606	0
41466.75	0.00681117	0
41466.79167	0.00661348	0
41466.83333	0.00642312	0
41466.875	0.00624105	0
41466.91667	0.00606785	0
41466.95833	0.00590326	0
41467	0.00574692	0
41467.04167	0.00559848	0
41467.08333	0.00545761	0
41467.125	0.00532398	0
41467.16667	0.00519729	0
41467.20833	0.00507722	0
41467.25	0.00496349	0
41467.29167	0.00485576	0
41467.33333	0.00475368	0
41467.375	0.00465706	0
41467.41667	0.00456575	0
41467.45833	0.00447939	0
41467.5	0.00439716	0
41467.54167	0.00431127	0
41467.58333	0.00422094	0
41467.625	0.00413251	0
41467.66667	0.00404575	0
41467.70833	0.00396053	0
41467.75	0.00387673	0
41467.79167	0.00379432	0
41467.83333	0.00371341	0
41467.875	0.00363524	0
41467.91667	0.00356097	0
41467.95833	0.00349052	0
41468	0.00342371	0
41468.04167	0.00336041	0
41468.08333	0.00330043	0
41468.125	0.00324364	0
41468.16667	0.00318989	0
41468.20833	0.00313903	0
41468.25	0.00309095	0
41468.29167	0.0030455	0
41468.33333	0.00300257	0
41468.375	0.00296205	0
41468.41667	0.0029238	0
41468.45833	0.00288773	0
41468.5	0.00285366	0
41468.54167	0.0028207	0
41468.58333	0.00278759	0
41468.625	0.00275378	0
41468.66667	0.0027192	0
41468.70833	0.00268391	0
41468.75	0.00264796	0
41468.79167	0.00261175	0
41468.83333	0.0025762	0
41468.875	0.00254199	0
41468.91667	0.0025094	0
41468.95833	0.00247853	0
41469	0.00244931	0
41469.04167	0.00242168	0
41469.08333	0.00239556	0
41469.125	0.00237086	0
41469.16667	0.00234752	0
41469.20833	0.00232548	0
41469.25	0.00230469	0
41469.29167	0.00228507	0
41469.33333	0.00226658	0
41469.375	0.00224916	0
41469.41667	0.00223276	0
41469.45833	0.00221734	0
41469.5	0.00220279	0
41469.54167	0.00218823	0
41469.58333	0.00217262	0
41469.625	0.00215566	0
41469.66667	0.00213735	0
41469.70833	0.00211773	0
41469.75	0.00209686	0
41469.79167	0.00207562	0
41469.83333	0.00205494	0
41469.875	0.00203508	0
41469.91667	0.00201619	0
41469.95833	0.00199829	0
41470	0.00198134	0
41470.04167	0.00196529	0
41470.08333	0.00195012	0
41470.125	0.00193577	0
41470.16667	0.00192221	0
41470.20833	0.00190942	0
41470.25	0.00189734	0
41470.29167	0.00188596	0
41470.33333	0.00187525	0
41470.375	0.00186516	0
41470.41667	0.00185568	0
41470.45833	0.00184678	0
41470.5	0.0018384	0
41470.54167	0.00182996	0
41470.58333	0.00182053	0
41470.625	0.00180973	0
41470.66667	0.00179755	0
41470.70833	0.00178405	0
41470.75	0.00176928	0
41470.79167	0.00175339	0
41470.83333	0.00173698	0
41470.875	0.00172086	0
41470.91667	0.0017054	0
41470.95833	0.0016907	0
41471	0.00167675	0
41471.04167	0.00166423	0
41471.08333	0.00166251	0
41471.125	0.00167043	0
41471.16667	0.00167821	0
41471.20833	0.00168585	0
41471.25	0.00169335	0
41471.29167	0.00170073	0
41471.33333	0.00170799	0
41471.375	0.00171512	0
41471.41667	0.00172214	0
41471.45833	0.00172905	0
41471.5	0.00173564	0
41471.54167	0.00174136	0
41471.58333	0.00174562	0
41471.625	0.00174804	0
41471.66667	0.00174853	0
41471.70833	0.00174715	0
41471.75	0.00174396	0
41471.79167	0.00173909	0
41471.83333	0.00173343	0
41471.875	0.00172788	0
41471.91667	0.00172264	0
41471.95833	0.00171774	0
41472	0.00171351	0
41472.04167	0.00171381	0
41472.08333	0.00171931	0
41472.125	0.00172593	0
41472.16667	0.00173244	0
41472.20833	0.00173885	0
41472.25	0.00174515	0
41472.29167	0.00175136	0
41472.33333	0.00175748	0
41472.375	0.0017635	0
41472.41667	0.00176944	0
41472.45833	0.0017753	0
41472.5	0.00178102	0
41472.54167	0.00178578	0
41472.58333	0.00178866	0
41472.625	0.00178966	0
41472.66667	0.00178894	0
41472.70833	0.00178642	0
41472.75	0.00178216	0
41472.79167	0.0017769	0
41472.83333	0.00177144	0
41472.875	0.00176608	0
41472.91667	0.00176099	0
41472.95833	0.00175624	0
41473	0.00175182	0
41473.04167	0.00174772	0
41473.08333	0.00174392	0
41473.125	0.00174041	0
41473.16667	0.00173718	0
41473.20833	0.00173422	0
41473.25	0.00173152	0
41473.29167	0.00172906	0
41473.33333	0.00172684	0
41473.375	0.00172484	0
41473.41667	0.00172307	0
41473.45833	0.00172149	0
41473.5	0.00172005	0
41473.54167	0.00171858	0
41473.58333	0.001717	0
41473.625	0.00171515	0
41473.66667	0.0017128	0
41473.70833	0.00170955	0
41473.75	0.00170513	0
41473.79167	0.00170019	0
41473.83333	0.0016953	0
41473.875	0.0016906	0
41473.91667	0.0016862	0
41473.95833	0.00168209	0
41474	0.00167827	0
41474.04167	0.00167474	0
41474.08333	0.00167148	0
41474.125	0.00166848	0
41474.16667	0.00166572	0
41474.20833	0.0016632	0
41474.25	0.0016609	0
41474.29167	0.00165882	0
41474.33333	0.00165695	0
41474.375	0.00165528	0
41474.41667	0.00165379	0
41474.45833	0.00165248	0
41474.5	0.00165129	0
41474.54167	0.0016496	0
41474.58333	0.00164648	0
41474.625	0.0016416	0
41474.66667	0.00163505	0
41474.70833	0.00162691	0
41474.75	0.0016173	0
41474.79167	0.00160634	0
41474.83333	0.00159441	0
41474.875	0.0015824	0
41474.91667	0.00157094	0
41474.95833	0.00156005	0
41475	0.0015497	0
41475.04167	0.00153989	0
41475.08333	0.00153058	0
41475.125	0.00152175	0
41475.16667	0.0015134	0
41475.20833	0.00150549	0
41475.25	0.001498	0
41475.29167	0.00149093	0
41475.33333	0.00148425	0
41475.375	0.00147795	0
41475.41667	0.00147201	0
41475.45833	0.00146641	0
41475.5	0.0014611	0
41475.54167	0.00145534	0
41475.58333	0.00144845	0
41475.625	0.00144038	0
41475.66667	0.00143111	0
41475.70833	0.00142064	0
41475.75	0.00140908	0
41475.79167	0.00139656	0
41475.83333	0.0013834	0
41475.875	0.00137034	0
41475.91667	0.00135786	0
41475.95833	0.00134597	0
41476	0.00133465	0
41476.04167	0.00132388	0
41476.08333	0.00131364	0
41476.125	0.0013039	0
41476.16667	0.00129465	0
41476.20833	0.00128586	0
41476.25	0.00127752	0
41476.29167	0.00126961	0
41476.33333	0.0012621	0
41476.375	0.00125499	0
41476.41667	0.00124824	0
41476.45833	0.00124184	0
41476.5	0.00123576	0
41476.54167	0.00122942	0
41476.58333	0.00122223	0
41476.625	0.00121419	0
41476.66667	0.00120531	0
41476.70833	0.00119562	0
41476.75	0.00118514	0
41476.79167	0.00117395	0
41476.83333	0.00116219	0
41476.875	0.00115047	0
41476.91667	0.00113927	0
41476.95833	0.00112859	0
41477	0.00111842	0
41477.04167	0.00110874	0
41477.08333	0.00109952	0
41477.125	0.00109075	0
41477.16667	0.00108242	0
41477.20833	0.00107449	0
41477.25	0.00106697	0
41477.29167	0.00105982	0
41477.33333	0.00105304	0
41477.375	0.00104661	0
41477.41667	0.00104051	0
41477.45833	0.00103474	0
41477.5	0.00102924	0
41477.54167	0.0010236	0
41477.58333	0.00101736	0
41477.625	0.00101044	0
41477.66667	0.00100287	0
41477.70833	0.000994654	0
41477.75	0.000985861	0
41477.79167	0.00097653	0
41477.83333	0.000966772	0
41477.875	0.000956994	0
41477.91667	0.000947588	0
41477.95833	0.000938619	0
41478	0.000930077	0
41478.04167	0.000921945	0
41478.08333	0.000914205	0
41478.125	0.000906841	0
41478.16667	0.000899839	0
41478.20833	0.000893184	0
41478.25	0.000886861	0
41478.29167	0.000880858	0
41478.33333	0.000875161	0
41478.375	0.000869757	0
41478.41667	0.000864636	0
41478.45833	0.000859784	0
41478.5	0.000855181	0
41478.54167	0.000850744	0
41478.58333	0.000846075	0
41478.625	0.000840837	0
41478.66667	0.000835026	0
41478.70833	0.00082866	0
41478.75	0.000821767	0
41478.79167	0.000814407	0
41478.83333	0.000806649	0
41478.875	0.000798875	0
41478.91667	0.000791445	0
41478.95833	0.000784363	0
41479	0.000777623	0
41479.04167	0.000771209	0
41479.08333	0.000765109	0
41479.125	0.00075931	0
41479.16667	0.000753799	0
41479.20833	0.000748566	0
41479.25	0.000743599	0
41479.29167	0.000738887	0
41479.33333	0.000734419	0
41479.375	0.000730187	0
41479.41667	0.000726179	0
41479.45833	0.000722386	0
41479.5	0.000718791	0
41479.54167	0.00071508	0
41479.58333	0.000710938	0
41479.625	0.000706349	0
41479.66667	0.000701317	0
41479.70833	0.000695857	0
41479.75	0.000689999	0
41479.79167	0.000683776	0
41479.83333	0.000677258	0
41479.875	0.000670764	0
41479.91667	0.00066456	0
41479.95833	0.000658647	0
41480	0.000653019	0
41480.04167	0.000647665	0
41480.08333	0.000642573	0
41480.125	0.000637734	0
41480.16667	0.000633136	0
41480.20833	0.000628771	0
41480.25	0.000624627	0
41480.29167	0.000620698	0
41480.33333	0.000616973	0
41480.375	0.000613441	0
41480.41667	0.000610088	0
41480.45833	0.000606905	0
41480.5	0.00060388	0
41480.54167	0.000600752	0
41480.58333	0.00059727	0
41480.625	0.00059344	0
41480.66667	0.000589268	0
41480.70833	0.000584767	0
41480.75	0.000579956	0
41480.79167	0.000574861	0
41480.83333	0.000569527	0
41480.875	0.000564213	0
41480.91667	0.000559139	0
41480.95833	0.000554299	0
41481	0.000549688	0
41481.04167	0.0005453	0
41481.08333	0.000541127	0
41481.125	0.000537163	0
41481.16667	0.000533397	0
41481.20833	0.000529818	0
41481.25	0.000526421	0
41481.29167	0.0005232	0
41481.33333	0.000520148	0
41481.375	0.00051726	0
41481.41667	0.000514528	0
41481.45833	0.000511944	0
41481.5	0.000509496	0
41481.54167	0.00050711	0
41481.58333	0.000504619	0
41481.625	0.000501862	0
41481.66667	0.000498785	0
41481.70833	0.000495405	0
41481.75	0.000491738	0
41481.79167	0.000487798	0
41481.83333	0.00048365	0
41481.875	0.000479521	0
41481.91667	0.000475582	0
41481.95833	0.000471832	0
41482	0.000468267	0
41482.04167	0.000464883	0
41482.08333	0.000461671	0
41482.125	0.000458624	0
41482.16667	0.000455737	0
41482.20833	0.000453003	0
41482.25	0.000450415	0
41482.29167	0.000447968	0
41482.33333	0.000445656	0
41482.375	0.000443473	0
41482.41667	0.000441413	0
41482.45833	0.000439472	0
41482.5	0.00043764	0
41482.54167	0.000435734	0
41482.58333	0.000433566	0
41482.625	0.000431126	0
41482.66667	0.000428415	0
41482.70833	0.000425444	0
41482.75	0.000422234	0
41482.79167	0.000418798	0
41482.83333	0.000415186	0
41482.875	0.000411571	0
41482.91667	0.000408101	0
41482.95833	0.000404798	0
41483	0.000401661	0
41483.04167	0.000398682	0
41483.08333	0.000395855	0
41483.125	0.000393174	0
41483.16667	0.000390632	0
41483.20833	0.000388225	0
41483.25	0.000385946	0
41483.29167	0.00038379	0
41483.33333	0.000381753	0
41483.375	0.00037983	0
41483.41667	0.000378016	0
41483.45833	0.000376306	0
41483.5	0.000374688	0
41483.54167	0.000373002	0
41483.58333	0.000371097	0
41483.625	0.000368964	0
41483.66667	0.000366605	0
41483.70833	0.000364028	0
41483.75	0.000361249	0
41483.79167	0.000358289	0
41483.83333	0.000355176	0
41483.875	0.000352065	0
41483.91667	0.000349098	0
41483.95833	0.000346271	0
41484	0.000343582	0
41484.04167	0.000341026	0
41484.08333	0.0003386	0
41484.125	0.000336299	0
41484.16667	0.000334117	0
41484.20833	0.000332049	0
41484.25	0.000330087	0
41484.29167	0.000328222	0
41484.33333	0.000326451	0
41484.375	0.00032477	0
41484.41667	0.000323177	0
41484.45833	0.000321668	0
41484.5	0.000320237	0
41484.54167	0.000318754	0
41484.58333	0.000317092	0
41484.625	0.00031525	0
41484.66667	0.000313229	0
41484.70833	0.000311032	0
41484.75	0.000308666	0
41484.79167	0.00030614	0
41484.83333	0.000303466	0
41484.875	0.000300782	0
41484.91667	0.000298221	0
41484.95833	0.000295783	0
41485	0.000293464	0
41485.04167	0.000291262	0
41485.08333	0.000289172	0
41485.125	0.000287188	0
41485.16667	0.000285307	0
41485.20833	0.000283524	0
41485.25	0.000281835	0
41485.29167	0.000280233	0
41485.33333	0.000278717	0
41485.375	0.000277282	0
41485.41667	0.000275924	0
41485.45833	0.00027464	0
41485.5	0.000273422	0
41485.54167	0.000272162	0
41485.58333	0.000270751	0
41485.625	0.000269188	0
41485.66667	0.000267472	0
41485.70833	0.000265608	0
41485.75	0.000263605	0
41485.79167	0.000261474	0
41485.83333	0.000259223	0
41485.875	0.000256966	0
41485.91667	0.000254811	0
41485.95833	0.000252761	0
41486	0.000250813	0
41486.04167	0.000248963	0
41486.08333	0.000247207	0
41486.125	0.000245542	0
41486.16667	0.000243962	0
41486.20833	0.000242466	0
41486.25	0.000241049	0
41486.29167	0.000239709	0
41486.33333	0.000238443	0
41486.375	0.000237246	0
41486.41667	0.000236118	0
41486.45833	0.000235054	0
41486.5	0.000234048	0
41486.54167	0.000233006	0
41486.58333	0.000231837	0
41486.625	0.000230538	0
41486.66667	0.000229105	0
41486.70833	0.000227538	0
41486.75	0.00022584	0
41486.79167	0.000224024	0
41486.83333	0.000222108	0
41486.875	0.000220189	0
41486.91667	0.000218359	0
41486.95833	0.000216618	0
41487	0.000214963	0
41487.04167	0.000213393	0
41487.08333	0.000211902	0
41487.125	0.000210488	0
41487.16667	0.000209147	0
41487.20833	0.000207877	0
41487.25	0.000206675	0
41487.29167	0.000205538	0
41487.33333	0.000204464	0
41487.375	0.000203449	0
41487.41667	0.000202493	0
41487.45833	0.000201591	0
41487.5	0.000200739	0
41487.54167	0.000199855	0
41487.58333	0.000198867	0
41487.625	0.000197771	0
41487.66667	0.000196567	0
41487.70833	0.000195255	0
41487.75	0.000193842	0
41487.79167	0.000192335	0
41487.83333	0.000190738	0
41487.875	0.000189134	0
41487.91667	0.000187604	0
41487.95833	0.000186151	0
41488	0.00018477	0
41488.04167	0.00018346	0
41488.08333	0.000182217	0
41488.125	0.000181038	0
41488.16667	0.000179922	0
41488.20833	0.000178864	0
41488.25	0.000177862	0
41488.29167	0.000176916	0
41488.33333	0.000176022	0
41488.375	0.000175177	0
41488.41667	0.000174379	0
41488.45833	0.000173625	0
41488.5	0.00017291	0
41488.54167	0.000172168	0
41488.58333	0.000171336	0
41488.625	0.000170412	0
41488.66667	0.000169395	0
41488.70833	0.000168286	0
41488.75	0.00016709	0
41488.79167	0.000165815	0
41488.83333	0.00016447	0
41488.875	0.00016312	0
41488.91667	0.000161831	0
41488.95833	0.000160605	0
41489	0.000159441	0
41489.04167	0.000158335	0
41489.08333	0.000157286	0
41489.125	0.000156291	0
41489.16667	0.000155348	0
41489.20833	0.000154455	0
41489.25	0.000153609	0
41489.29167	0.000152809	0
41489.33333	0.000152052	0
41489.375	0.000151337	0
41489.41667	0.000150662	0
41489.45833	0.000150025	0
41489.5	0.000149423	0
41489.54167	0.000148797	0
41489.58333	0.000148095	0
41489.625	0.000147314	0
41489.66667	0.000146455	0
41489.70833	0.000145516	0
41489.75	0.000144501	0
41489.79167	0.000143415	0
41489.83333	0.000142266	0
41489.875	0.00014111	0
41489.91667	0.000140005	0
41489.95833	0.000138956	0
41490	0.00013796	0
41490.04167	0.000137015	0
41490.08333	0.00013612	0
41490.125	0.000135272	0
41490.16667	0.000134469	0
41490.20833	0.000133709	0
41490.25	0.000132992	0
41490.29167	0.000132314	0
41490.33333	0.000131674	0
41490.375	0.000131072	0
41490.41667	0.000130505	0
41490.45833	0.000129971	0
41490.5	0.000129462	0
41490.54167	0.000128929	0
41490.58333	0.000128333	0
41490.625	0.000127673	0
41490.66667	0.000126951	0
41490.70833	0.000126166	0
41490.75	0.000125318	0
41490.79167	0.000124441	0
41490.83333	0.000123566	0
41490.875	0.000122707	0
41490.91667	0.000121884	0
41490.95833	0.000121104	0
41491	0.000120364	0
41491.04167	0.000119664	0
41491.08333	0.000119001	0
41491.125	0.000118374	0
41491.16667	0.000117782	0
41491.20833	0.000117224	0
41491.25	0.000116698	0
41491.29167	0.000116203	0
41491.33333	0.000115739	0
41491.375	0.000115302	0
41491.41667	0.000114892	0
41491.45833	0.000114507	0
41491.5	0.000114145	0
41491.54167	0.000113761	0
41491.58333	0.000113313	0
