time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	0.722375	0
41451.125	2.15621	0
41451.16667	3.56845	0
41451.20833	4.95956	0
41451.25	6.32998	0
41451.29167	7.68017	0
41451.33333	9.01054	0
41451.375	10.3215	0
41451.41667	11.6135	0
41451.45833	12.8868	0
41451.5	14.142	0
41451.54167	15.3793	0
41451.58333	16.599	0
41451.625	17.8017	0
41451.66667	18.9875	0
41451.70833	20.1569	0
41451.75	21.3101	0
41451.79167	22.4474	0
41451.83333	23.5692	0
41451.875	24.6758	0
41451.91667	25.7675	0
41451.95833	26.8445	0
41452	27.9071	0
41452.04167	28.9556	0
41452.08333	29.9902	0
41452.125	31.0112	0
41452.16667	32.0189	0
41452.20833	33.0135	0
41452.25	33.9952	0
41452.29167	34.9643	0
41452.33333	35.921	0
41452.375	36.8654	0
41452.41667	37.7979	0
41452.45833	38.7186	0
41452.5	39.6278	0
41452.54167	40.5256	0
41452.58333	41.4122	0
41452.625	42.2879	0
41452.66667	43.1528	0
41452.70833	44.0071	0
41452.75	44.8509	0
41452.79167	45.6845	0
41452.83333	46.508	0
41452.875	47.3216	0
41452.91667	48.1254	0
41452.95833	48.9197	0
41453	49.7045	0
41453.04167	50.48	0
41453.08333	51.2464	0
41453.125	52.0038	0
41453.16667	52.7523	0
41453.20833	53.4922	0
41453.25	54.2235	0
41453.29167	54.9463	0
41453.33333	55.6608	0
41453.375	56.3672	0
41453.41667	57.0655	0
41453.45833	57.7558	0
41453.5	58.4384	0
41453.54167	59.1133	0
41453.58333	59.7806	0
41453.625	60.4404	0
41453.66667	61.0929	0
41453.70833	61.7381	0
41453.75	62.3763	0
41453.79167	63.0073	0
41453.83333	63.6315	0
41453.875	64.2488	0
41453.91667	64.8594	0
41453.95833	65.4634	0
41454	66.0608	0
41454.04167	66.6518	0
41454.08333	67.2365	0
41454.125	67.8148	0
41454.16667	68.387	0
41454.20833	68.9531	0
41454.25	69.5133	0
41454.29167	70.0675	0
41454.33333	70.6158	0
41454.375	71.1584	0
41454.41667	71.6953	0
41454.45833	72.2266	0
41454.5	72.7524	0
41454.54167	73.2727	0
41454.58333	73.7877	0
41454.625	74.2973	0
41454.66667	74.8017	0
41454.70833	75.3009	0
41454.75	75.795	0
41454.79167	76.2841	0
41454.83333	76.7682	0
41454.875	77.2475	0
41454.91667	77.7218	0
41454.95833	78.1914	0
41455	78.6563	0
41455.04167	79.1165	0
41455.08333	79.5721	0
41455.125	80.0232	0
41455.16667	80.4698	0
41455.20833	80.912	0
41455.25	81.3497	0
41455.29167	81.7832	0
41455.33333	82.2124	0
41455.375	82.6374	0
41455.41667	83.0583	0
41455.45833	83.475	0
41455.5	83.8876	0
41455.54167	84.2963	0
41455.58333	84.701	0
41455.625	85.1018	0
41455.66667	85.4987	0
41455.70833	85.8917	0
41455.75	86.2811	0
41455.79167	86.6666	0
41455.83333	87.0485	0
41455.875	87.4268	0
41455.91667	87.8014	0
41455.95833	88.1725	0
41456	88.54	0
41456.04167	88.9041	0
41456.08333	89.2648	0
41456.125	89.622	0
41456.16667	89.9759	0
41456.20833	90.3265	0
41456.25	90.6737	0
41456.29167	91.0178	0
41456.33333	91.3586	0
41456.375	91.6962	0
41456.41667	92.0307	0
41456.45833	92.3621	0
41456.5	92.6904	0
41456.54167	93.0157	0
41456.58333	93.338	0
41456.625	93.6573	0
41456.66667	93.9737	0
41456.70833	94.2872	0
41456.75	94.5977	0
41456.79167	94.9055	0
41456.83333	95.2104	0
41456.875	95.5126	0
41456.91667	95.812	0
41456.95833	96.1087	0
41457	96.4026	0
41457.04167	96.6939	0
41457.08333	96.9826	0
41457.125	97.2687	0
41457.16667	97.5522	0
41457.20833	97.8331	0
41457.25	98.1115	0
41457.29167	98.3874	0
41457.33333	98.6608	0
41457.375	98.9317	0
41457.41667	99.2002	0
41457.45833	99.4664	0
41457.5	99.7301	0
41457.54167	99.9915	0
41457.58333	100.251	0
41457.625	100.507	0
41457.66667	100.762	0
41457.70833	101.014	0
41457.75	101.264	0
41457.79167	101.512	0
41457.83333	101.757	0
41457.875	102.001	0
41457.91667	102.242	0
41457.95833	102.481	0
41458	102.718	0
41458.04167	102.953	0
41458.08333	103.186	0
41458.125	103.416	0
41458.16667	103.645	0
41458.20833	103.872	0
41458.25	104.097	0
41458.29167	104.319	0
41458.33333	104.54	0
41458.375	104.759	0
41458.41667	104.976	0
41458.45833	105.191	0
41458.5	105.404	0
41458.54167	105.616	0
41458.58333	105.825	0
41458.625	106.033	0
41458.66667	106.239	0
41458.70833	106.443	0
41458.75	106.645	0
41458.79167	106.846	0
41458.83333	107.045	0
41458.875	107.242	0
41458.91667	107.437	0
41458.95833	107.631	0
41459	107.823	0
41459.04167	108.013	0
41459.08333	108.201	0
41459.125	108.388	0
41459.16667	108.574	0
41459.20833	108.758	0
41459.25	108.94	0
41459.29167	109.12	0
41459.33333	109.299	0
41459.375	109.477	0
41459.41667	109.653	0
41459.45833	109.827	0
41459.5	110	0
41459.54167	110.172	0
41459.58333	110.342	0
41459.625	110.51	0
41459.66667	110.677	0
41459.70833	110.843	0
41459.75	111.007	0
41459.79167	111.17	0
41459.83333	111.331	0
41459.875	111.491	0
41459.91667	111.649	0
41459.95833	111.806	0
41460	111.962	0
41460.04167	112.117	0
41460.08333	112.27	0
41460.125	112.422	0
41460.16667	112.572	0
41460.20833	112.721	0
41460.25	112.869	0
41460.29167	113.016	0
41460.33333	113.161	0
41460.375	113.305	0
41460.41667	113.448	0
41460.45833	113.589	0
41460.5	113.73	0
41460.54167	113.869	0
41460.58333	114.007	0
41460.625	114.144	0
41460.66667	114.28	0
41460.70833	114.415	0
41460.75	114.549	0
41460.79167	114.681	0
41460.83333	114.812	0
41460.875	114.942	0
41460.91667	115.071	0
41460.95833	115.199	0
41461	115.326	0
41461.04167	115.452	0
41461.08333	115.577	0
41461.125	115.701	0
41461.16667	115.824	0
41461.20833	115.946	0
41461.25	116.067	0
41461.29167	116.188	0
41461.33333	116.307	0
41461.375	116.426	0
41461.41667	116.543	0
41461.45833	116.66	0
41461.5	116.776	0
41461.54167	116.891	0
41461.58333	117.005	0
41461.625	117.117	0
41461.66667	117.227	0
41461.70833	117.337	0
41461.75	117.444	0
41461.79167	117.551	0
41461.83333	117.657	0
41461.875	117.762	0
41461.91667	117.866	0
41461.95833	117.969	0
41462	118.071	0
41462.04167	118.173	0
41462.08333	118.274	0
41462.125	118.375	0
41462.16667	118.474	0
41462.20833	118.573	0
41462.25	118.671	0
41462.29167	118.768	0
41462.33333	118.865	0
41462.375	118.96	0
41462.41667	119.055	0
41462.45833	119.149	0
41462.5	119.243	0
41462.54167	119.335	0
41462.58333	119.426	0
41462.625	119.515	0
41462.66667	119.603	0
41462.70833	119.69	0
41462.75	119.776	0
41462.79167	119.86	0
41462.83333	119.944	0
41462.875	120.027	0
41462.91667	120.109	0
41462.95833	120.191	0
41463	120.272	0
41463.04167	120.352	0
41463.08333	120.431	0
41463.125	120.51	0
41463.16667	120.589	0
41463.20833	120.666	0
41463.25	120.743	0
41463.29167	120.82	0
41463.33333	120.896	0
41463.375	120.971	0
41463.41667	121.045	0
41463.45833	121.119	0
41463.5	121.193	0
41463.54167	121.266	0
41463.58333	121.337	0
41463.625	121.408	0
41463.66667	121.477	0
41463.70833	121.546	0
41463.75	121.613	0
41463.79167	121.68	0
41463.83333	121.747	0
41463.875	121.812	0
41463.91667	121.877	0
41463.95833	121.942	0
41464	122.005	0
41464.04167	122.069	0
41464.08333	122.131	0
41464.125	122.194	0
41464.16667	122.255	0
41464.20833	122.316	0
41464.25	122.377	0
41464.29167	122.437	0
41464.33333	122.496	0
41464.375	122.555	0
41464.41667	122.613	0
41464.45833	122.671	0
41464.5	122.728	0
41464.54167	122.784	0
41464.58333	122.84	0
41464.625	122.895	0
41464.66667	122.949	0
41464.70833	123.003	0
41464.75	123.056	0
41464.79167	123.108	0
41464.83333	123.159	0
41464.875	123.21	0
41464.91667	123.261	0
41464.95833	123.311	0
41465	123.36	0
41465.04167	123.409	0
41465.08333	123.458	0
41465.125	123.506	0
41465.16667	123.553	0
41465.20833	123.6	0
41465.25	123.647	0
41465.29167	123.693	0
41465.33333	123.738	0
41465.375	123.783	0
41465.41667	123.828	0
41465.45833	123.872	0
41465.5	123.915	0
41465.54167	123.958	0
41465.58333	124.001	0
41465.625	124.042	0
41465.66667	124.084	0
41465.70833	124.125	0
41465.75	124.165	0
41465.79167	124.205	0
41465.83333	124.244	0
41465.875	124.283	0
41465.91667	124.321	0
41465.95833	124.359	0
41466	124.397	0
41466.04167	124.434	0
41466.08333	124.47	0
41466.125	124.507	0
41466.16667	124.542	0
41466.20833	124.578	0
41466.25	124.612	0
41466.29167	124.647	0
41466.33333	124.681	0
41466.375	124.714	0
41466.41667	124.747	0
41466.45833	124.78	0
41466.5	124.812	0
41466.54167	124.844	0
41466.58333	124.875	0
41466.625	124.906	0
41466.66667	124.937	0
41466.70833	124.967	0
41466.75	124.996	0
41466.79167	125.025	0
41466.83333	125.054	0
41466.875	125.083	0
41466.91667	125.111	0
41466.95833	125.138	0
41467	125.165	0
41467.04167	125.192	0
41467.08333	125.218	0
41467.125	125.244	0
41467.16667	125.27	0
41467.20833	125.295	0
41467.25	125.32	0
41467.29167	125.344	0
41467.33333	125.368	0
41467.375	125.392	0
41467.41667	125.415	0
41467.45833	125.438	0
41467.5	125.461	0
41467.54167	125.483	0
41467.58333	125.505	0
41467.625	125.526	0
41467.66667	125.547	0
41467.70833	125.568	0
41467.75	125.588	0
41467.79167	125.608	0
41467.83333	125.627	0
41467.875	125.646	0
41467.91667	125.665	0
41467.95833	125.684	0
41468	125.702	0
41468.04167	125.72	0
41468.08333	125.737	0
41468.125	125.754	0
41468.16667	125.771	0
41468.20833	125.787	0
41468.25	125.803	0
41468.29167	125.819	0
41468.33333	125.834	0
41468.375	125.849	0
41468.41667	125.864	0
41468.45833	125.878	0
41468.5	125.892	0
41468.54167	125.906	0
41468.58333	125.92	0
41468.625	125.933	0
41468.66667	125.945	0
41468.70833	125.958	0
41468.75	125.97	0
41468.79167	125.982	0
41468.83333	125.993	0
41468.875	126.004	0
41468.91667	126.015	0
41468.95833	126.026	0
41469	126.036	0
41469.04167	126.046	0
41469.08333	126.055	0
41469.125	126.065	0
41469.16667	126.074	0
41469.20833	126.082	0
41469.25	126.091	0
41469.29167	126.099	0
41469.33333	126.107	0
41469.375	126.114	0
41469.41667	126.122	0
41469.45833	126.129	0
41469.5	126.135	0
41469.54167	126.142	0
41469.58333	126.148	0
41469.625	126.154	0
41469.66667	126.159	0
41469.70833	126.164	0
41469.75	126.169	0
41469.79167	126.174	0
41469.83333	126.178	0
41469.875	126.183	0
41469.91667	126.186	0
41469.95833	126.19	0
41470	126.193	0
41470.04167	126.196	0
41470.08333	126.199	0
41470.125	126.202	0
41470.16667	126.204	0
41470.20833	126.206	0
41470.25	126.208	0
41470.29167	126.209	0
41470.33333	126.211	0
41470.375	126.212	0
41470.41667	126.212	0
41470.45833	126.213	0
41470.5	126.213	0
41470.54167	126.213	0
41470.58333	126.213	0
41470.625	126.212	0
41470.66667	126.211	0
41470.70833	126.21	0
41470.75	126.209	0
41470.79167	126.208	0
41470.83333	126.206	0
41470.875	126.204	0
41470.91667	126.202	0
41470.95833	126.199	0
41471	126.197	0
41471.04167	126.194	0
41471.08333	126.191	0
41471.125	126.187	0
41471.16667	126.184	0
41471.20833	126.18	0
41471.25	126.176	0
41471.29167	126.171	0
41471.33333	126.167	0
41471.375	126.162	0
41471.41667	126.157	0
41471.45833	126.152	0
41471.5	126.147	0
41471.54167	126.141	0
41471.58333	126.135	0
41471.625	126.129	0
41471.66667	126.123	0
41471.70833	126.116	0
41471.75	126.11	0
41471.79167	126.103	0
41471.83333	126.096	0
41471.875	126.088	0
41471.91667	126.081	0
41471.95833	126.073	0
41472	126.065	0
41472.04167	126.057	0
41472.08333	126.049	0
41472.125	126.04	0
41472.16667	126.031	0
41472.20833	126.022	0
41472.25	126.013	0
41472.29167	126.004	0
41472.33333	125.994	0
41472.375	125.984	0
41472.41667	125.974	0
41472.45833	125.964	0
41472.5	125.954	0
41472.54167	125.943	0
41472.58333	125.933	0
41472.625	125.922	0
41472.66667	125.911	0
41472.70833	125.899	0
41472.75	125.888	0
41472.79167	125.876	0
41472.83333	125.864	0
41472.875	125.852	0
41472.91667	125.84	0
41472.95833	125.827	0
41473	125.815	0
41473.04167	125.802	0
41473.08333	125.789	0
41473.125	125.776	0
41473.16667	125.763	0
41473.20833	125.749	0
41473.25	125.736	0
41473.29167	125.722	0
41473.33333	125.708	0
41473.375	125.693	0
41473.41667	125.679	0
41473.45833	125.665	0
41473.5	125.65	0
41473.54167	125.635	0
41473.58333	125.62	0
41473.625	125.605	0
41473.66667	125.589	0
41473.70833	125.574	0
41473.75	125.558	0
41473.79167	125.542	0
41473.83333	125.526	0
41473.875	125.51	0
41473.91667	125.494	0
41473.95833	125.477	0
41474	125.46	0
41474.04167	125.444	0
41474.08333	125.427	0
41474.125	125.409	0
41474.16667	125.392	0
41474.20833	125.375	0
41474.25	125.357	0
41474.29167	125.339	0
41474.33333	125.321	0
41474.375	125.303	0
41474.41667	125.285	0
41474.45833	125.267	0
41474.5	125.248	0
41474.54167	125.229	0
41474.58333	125.21	0
41474.625	125.191	0
41474.66667	125.172	0
41474.70833	125.153	0
41474.75	125.134	0
41474.79167	125.114	0
41474.83333	125.094	0
41474.875	125.074	0
41474.91667	125.054	0
41474.95833	125.034	0
41475	125.014	0
41475.04167	124.994	0
41475.08333	124.973	0
41475.125	124.952	0
41475.16667	124.931	0
41475.20833	124.91	0
41475.25	124.889	0
41475.29167	124.868	0
41475.33333	124.847	0
41475.375	124.825	0
41475.41667	124.804	0
41475.45833	124.782	0
41475.5	124.76	0
41475.54167	124.738	0
41475.58333	124.716	0
41475.625	124.693	0
41475.66667	124.671	0
41475.70833	124.648	0
41475.75	124.625	0
41475.79167	124.603	0
41475.83333	124.58	0
41475.875	124.557	0
41475.91667	124.533	0
41475.95833	124.51	0
41476	124.487	0
41476.04167	124.463	0
41476.08333	124.439	0
41476.125	124.415	0
41476.16667	124.391	0
41476.20833	124.367	0
41476.25	124.343	0
41476.29167	124.319	0
41476.33333	124.294	0
41476.375	124.27	0
41476.41667	124.245	0
41476.45833	124.22	0
41476.5	124.195	0
41476.54167	124.17	0
41476.58333	124.145	0
41476.625	124.12	0
41476.66667	124.095	0
41476.70833	124.069	0
41476.75	124.044	0
41476.79167	124.018	0
41476.83333	123.992	0
41476.875	123.966	0
41476.91667	123.94	0
41476.95833	123.914	0
41477	123.888	0
41477.04167	123.861	0
41477.08333	123.835	0
41477.125	123.808	0
41477.16667	123.781	0
41477.20833	123.755	0
41477.25	123.728	0
41477.29167	123.701	0
41477.33333	123.673	0
41477.375	123.646	0
41477.41667	123.619	0
41477.45833	123.591	0
41477.5	123.564	0
41477.54167	123.536	0
41477.58333	123.508	0
41477.625	123.481	0
41477.66667	123.453	0
41477.70833	123.425	0
41477.75	123.396	0
41477.79167	123.368	0
41477.83333	123.34	0
41477.875	123.311	0
41477.91667	123.283	0
41477.95833	123.254	0
41478	123.225	0
41478.04167	123.196	0
41478.08333	123.168	0
41478.125	123.138	0
41478.16667	123.109	0
41478.20833	123.08	0
41478.25	123.051	0
41478.29167	123.021	0
41478.33333	122.992	0
41478.375	122.962	0
41478.41667	122.933	0
41478.45833	122.903	0
41478.5	122.873	0
41478.54167	122.843	0
41478.58333	122.813	0
41478.625	122.783	0
41478.66667	122.752	0
41478.70833	122.722	0
41478.75	122.692	0
41478.79167	122.661	0
41478.83333	122.631	0
41478.875	122.6	0
41478.91667	122.569	0
41478.95833	122.538	0
41479	122.507	0
41479.04167	122.476	0
41479.08333	122.445	0
41479.125	122.414	0
41479.16667	122.383	0
41479.20833	122.351	0
41479.25	122.32	0
41479.29167	122.288	0
41479.33333	122.257	0
41479.375	122.225	0
41479.41667	122.193	0
41479.45833	122.161	0
41479.5	122.129	0
41479.54167	122.097	0
41479.58333	122.065	0
41479.625	122.033	0
41479.66667	122.001	0
41479.70833	121.969	0
41479.75	121.936	0
41479.79167	121.904	0
41479.83333	121.871	0
41479.875	121.838	0
41479.91667	121.806	0
41479.95833	121.773	0
41480	121.74	0
41480.04167	121.707	0
41480.08333	121.674	0
41480.125	121.641	0
41480.16667	121.608	0
41480.20833	121.574	0
41480.25	121.541	0
41480.29167	121.508	0
41480.33333	121.474	0
41480.375	121.441	0
41480.41667	121.407	0
41480.45833	121.373	0
41480.5	121.34	0
41480.54167	121.306	0
41480.58333	121.272	0
41480.625	121.238	0
41480.66667	121.204	0
41480.70833	121.17	0
41480.75	121.136	0
41480.79167	121.101	0
41480.83333	121.067	0
41480.875	121.033	0
41480.91667	120.998	0
41480.95833	120.964	0
41481	120.929	0
41481.04167	120.894	0
41481.08333	120.86	0
41481.125	120.825	0
41481.16667	120.79	0
41481.20833	120.755	0
41481.25	120.72	0
41481.29167	120.685	0
41481.33333	120.65	0
41481.375	120.615	0
41481.41667	120.579	0
41481.45833	120.544	0
41481.5	120.509	0
41481.54167	120.473	0
41481.58333	120.438	0
41481.625	120.402	0
41481.66667	120.367	0
41481.70833	120.331	0
41481.75	120.295	0
41481.79167	120.26	0
41481.83333	120.224	0
41481.875	120.188	0
41481.91667	120.152	0
41481.95833	120.116	0
41482	120.08	0
41482.04167	120.043	0
41482.08333	120.007	0
41482.125	119.971	0
41482.16667	119.935	0
41482.20833	119.898	0
41482.25	119.862	0
41482.29167	119.825	0
41482.33333	119.789	0
41482.375	119.752	0
41482.41667	119.715	0
41482.45833	119.679	0
41482.5	119.642	0
41482.54167	119.605	0
41482.58333	119.568	0
41482.625	119.531	0
41482.66667	119.494	0
41482.70833	119.457	0
41482.75	119.42	0
41482.79167	119.383	0
41482.83333	119.346	0
41482.875	119.309	0
41482.91667	119.271	0
41482.95833	119.234	0
41483	119.196	0
41483.04167	119.159	0
41483.08333	119.121	0
41483.125	119.084	0
41483.16667	119.046	0
41483.20833	119.009	0
41483.25	118.971	0
41483.29167	118.933	0
41483.33333	118.895	0
41483.375	118.857	0
41483.41667	118.819	0
41483.45833	118.781	0
41483.5	118.743	0
41483.54167	118.705	0
41483.58333	118.667	0
41483.625	118.629	0
41483.66667	118.591	0
41483.70833	118.553	0
41483.75	118.514	0
41483.79167	118.476	0
41483.83333	118.438	0
41483.875	118.399	0
41483.91667	118.361	0
41483.95833	118.322	0
41484	118.283	0
41484.04167	118.245	0
41484.08333	118.206	0
41484.125	118.167	0
41484.16667	118.129	0
41484.20833	118.09	0
41484.25	118.051	0
41484.29167	118.012	0
41484.33333	117.973	0
41484.375	117.934	0
41484.41667	117.895	0
41484.45833	117.856	0
41484.5	117.817	0
41484.54167	117.778	0
41484.58333	117.739	0
41484.625	117.699	0
41484.66667	117.66	0
41484.70833	117.621	0
41484.75	117.581	0
41484.79167	117.542	0
41484.83333	117.503	0
41484.875	117.463	0
41484.91667	117.424	0
41484.95833	117.384	0
41485	117.344	0
41485.04167	117.305	0
41485.08333	117.265	0
41485.125	117.225	0
41485.16667	117.186	0
41485.20833	117.146	0
41485.25	117.106	0
41485.29167	117.066	0
41485.33333	117.026	0
41485.375	116.986	0
41485.41667	116.946	0
41485.45833	116.906	0
41485.5	116.866	0
41485.54167	116.826	0
41485.58333	116.786	0
41485.625	116.746	0
41485.66667	116.706	0
41485.70833	116.665	0
41485.75	116.625	0
41485.79167	116.585	0
41485.83333	116.544	0
41485.875	116.504	0
41485.91667	116.464	0
41485.95833	116.423	0
41486	116.383	0
41486.04167	116.342	0
41486.08333	116.302	0
41486.125	116.261	0
41486.16667	116.22	0
41486.20833	116.18	0
41486.25	116.139	0
41486.29167	116.098	0
41486.33333	116.058	0
41486.375	116.017	0
41486.41667	115.976	0
41486.45833	115.935	0
41486.5	115.894	0
41486.54167	115.853	0
41486.58333	115.812	0
41486.625	115.771	0
41486.66667	115.73	0
41486.70833	115.689	0
41486.75	115.648	0
41486.79167	115.607	0
41486.83333	115.566	0
41486.875	115.525	0
41486.91667	115.484	0
41486.95833	115.442	0
41487	115.401	0
41487.04167	115.36	0
41487.08333	115.318	0
41487.125	115.277	0
41487.16667	115.236	0
41487.20833	115.194	0
41487.25	115.153	0
41487.29167	115.111	0
41487.33333	115.07	0
41487.375	115.028	0
41487.41667	114.987	0
41487.45833	114.945	0
41487.5	114.904	0
41487.54167	114.862	0
41487.58333	114.82	0
41487.625	114.779	0
41487.66667	114.737	0
41487.70833	114.695	0
41487.75	114.654	0
41487.79167	114.612	0
41487.83333	114.57	0
41487.875	114.528	0
41487.91667	114.486	0
41487.95833	114.444	0
41488	114.402	0
41488.04167	114.361	0
41488.08333	114.319	0
41488.125	114.277	0
41488.16667	114.235	0
41488.20833	114.193	0
41488.25	114.15	0
41488.29167	114.108	0
41488.33333	114.066	0
41488.375	114.024	0
41488.41667	113.982	0
41488.45833	113.94	0
41488.5	113.898	0
41488.54167	113.855	0
41488.58333	113.813	0
41488.625	113.771	0
41488.66667	113.728	0
41488.70833	113.686	0
41488.75	113.644	0
41488.79167	113.601	0
41488.83333	113.559	0
41488.875	113.517	0
41488.91667	113.474	0
41488.95833	113.432	0
41489	113.389	0
41489.04167	113.347	0
41489.08333	113.304	0
41489.125	113.262	0
41489.16667	113.219	0
41489.20833	113.177	0
41489.25	113.134	0
41489.29167	113.091	0
41489.33333	113.049	0
41489.375	113.006	0
41489.41667	112.963	0
41489.45833	112.921	0
41489.5	112.878	0
41489.54167	112.835	0
41489.58333	112.792	0
41489.625	112.75	0
41489.66667	112.707	0
41489.70833	112.664	0
41489.75	112.621	0
41489.79167	112.578	0
41489.83333	112.535	0
41489.875	112.492	0
41489.91667	112.449	0
41489.95833	112.407	0
41490	112.364	0
41490.04167	112.321	0
41490.08333	112.278	0
41490.125	112.235	0
41490.16667	112.192	0
41490.20833	112.149	0
41490.25	112.105	0
41490.29167	112.062	0
41490.33333	112.019	0
41490.375	111.976	0
41490.41667	111.933	0
41490.45833	111.89	0
41490.5	111.847	0
41490.54167	111.804	0
41490.58333	111.76	0
41490.625	111.717	0
41490.66667	111.674	0
41490.70833	111.631	0
41490.75	111.587	0
41490.79167	111.544	0
41490.83333	111.501	0
41490.875	111.457	0
41490.91667	111.414	0
41490.95833	111.371	0
41491	111.327	0
41491.04167	111.284	0
41491.08333	111.241	0
41491.125	111.197	0
41491.16667	111.154	0
41491.20833	111.11	0
41491.25	111.067	0
41491.29167	111.024	0
41491.33333	110.98	0
41491.375	110.937	0
41491.41667	110.893	0
41491.45833	110.85	0
41491.5	110.806	0
41491.54167	110.763	0
41491.58333	110.719	0
41491.625	110.675	0
41491.66667	110.632	0
41491.70833	110.588	0
41491.75	110.545	0
41491.79167	110.501	0
41491.83333	110.457	0
41491.875	110.414	0
41491.91667	110.37	0
41491.95833	110.326	0
41492	110.283	0
41492.04167	110.239	0
41492.08333	110.195	0
41492.125	110.152	0
41492.16667	110.108	0
41492.20833	110.064	0
41492.25	110.02	0
41492.29167	109.977	0
41492.33333	109.933	0
41492.375	109.889	0
41492.41667	109.845	0
41492.45833	109.801	0
41492.5	109.758	0
41492.54167	109.714	0
41492.58333	109.67	0
41492.625	109.626	0
41492.66667	109.582	0
41492.70833	109.538	0
41492.75	109.494	0
41492.79167	109.451	0
41492.83333	109.407	0
41492.875	109.363	0
41492.91667	109.319	0
41492.95833	109.275	0
41493	109.231	0
41493.04167	109.187	0
41493.08333	109.143	0
41493.125	109.099	0
41493.16667	109.055	0
41493.20833	109.011	0
41493.25	108.967	0
41493.29167	108.923	0
41493.33333	108.879	0
41493.375	108.835	0
41493.41667	108.791	0
41493.45833	108.747	0
41493.5	108.703	0
41493.54167	108.659	0
41493.58333	108.615	0
41493.625	108.571	0
41493.66667	108.527	0
41493.70833	108.483	0
41493.75	108.439	0
41493.79167	108.394	0
41493.83333	108.35	0
41493.875	108.306	0
41493.91667	108.262	0
41493.95833	108.218	0
41494	108.174	0
41494.04167	108.13	0
41494.08333	108.085	0
41494.125	108.041	0
41494.16667	107.997	0
41494.20833	107.953	0
41494.25	107.909	0
41494.29167	107.865	0
41494.33333	107.82	0
41494.375	107.776	0
41494.41667	107.732	0
41494.45833	107.688	0
41494.5	107.644	0
41494.54167	107.599	0
41494.58333	107.555	0
41494.625	107.511	0
41494.66667	107.467	0
41494.70833	107.422	0
41494.75	107.378	0
41494.79167	107.334	0
41494.83333	107.29	0
41494.875	107.245	0
41494.91667	107.201	0
41494.95833	107.157	0
41495	107.112	0
41495.04167	107.068	0
41495.08333	107.024	0
41495.125	106.98	0
41495.16667	106.935	0
41495.20833	106.891	0
41495.25	106.847	0
41495.29167	106.802	0
41495.33333	106.758	0
41495.375	106.714	0
41495.41667	106.669	0
41495.45833	106.625	0
41495.5	106.581	0
41495.54167	106.536	0
41495.58333	106.492	0
41495.625	106.448	0
41495.66667	106.403	0
41495.70833	106.359	0
41495.75	106.315	0
41495.79167	106.27	0
41495.83333	106.226	0
41495.875	106.181	0
41495.91667	106.137	0
41495.95833	106.093	0
41496	106.048	0
41496.04167	106.004	0
41496.08333	105.96	0
41496.125	105.915	0
41496.16667	105.871	0
41496.20833	105.826	0
41496.25	105.782	0
41496.29167	105.738	0
41496.33333	105.693	0
41496.375	105.649	0
41496.41667	105.604	0
41496.45833	105.56	0
41496.5	105.516	0
41496.54167	105.471	0
41496.58333	105.427	0
41496.625	105.382	0
41496.66667	105.338	0
41496.70833	105.293	0
41496.75	105.249	0
41496.79167	105.205	0
41496.83333	105.16	0
41496.875	105.116	0
41496.91667	105.071	0
41496.95833	105.027	0
41497	104.982	0
41497.04167	104.938	0
41497.08333	104.894	0
41497.125	104.849	0
41497.16667	104.805	0
41497.20833	104.76	0
41497.25	104.716	0
41497.29167	104.671	0
41497.33333	104.627	0
41497.375	104.582	0
41497.41667	104.538	0
41497.45833	104.494	0
41497.5	104.449	0
41497.54167	104.405	0
41497.58333	104.36	0
41497.625	104.316	0
41497.66667	104.271	0
41497.70833	104.227	0
41497.75	104.182	0
41497.79167	104.138	0
41497.83333	104.094	0
41497.875	104.049	0
41497.91667	104.005	0
41497.95833	103.96	0
41498	103.916	0
41498.04167	103.871	0
41498.08333	103.827	0
41498.125	103.782	0
41498.16667	103.738	0
41498.20833	103.694	0
41498.25	103.649	0
41498.29167	103.605	0
41498.33333	103.56	0
41498.375	103.516	0
41498.41667	103.471	0
41498.45833	103.427	0
41498.5	103.383	0
41498.54167	103.338	0
41498.58333	103.294	0
41498.625	103.249	0
41498.66667	103.205	0
41498.70833	103.16	0
41498.75	103.116	0
41498.79167	103.072	0
41498.83333	103.027	0
41498.875	102.983	0
41498.91667	102.938	0
41498.95833	102.894	0
41499	102.849	0
41499.04167	102.805	0
41499.08333	102.761	0
41499.125	102.716	0
41499.16667	102.672	0
41499.20833	102.627	0
41499.25	102.583	0
41499.29167	102.539	0
41499.33333	102.494	0
41499.375	102.45	0
41499.41667	102.405	0
41499.45833	102.361	0
41499.5	102.317	0
41499.54167	102.272	0
41499.58333	102.228	0
41499.625	102.183	0
