time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	3.60063	0
41451.125	10.751	0
41451.16667	17.8001	0
41451.20833	24.7493	0
41451.25	31.5998	0
41451.29167	38.3529	0
41451.33333	45.0097	0
41451.375	51.5715	0
41451.41667	58.0395	0
41451.45833	64.4148	0
41451.5	70.6985	0
41451.54167	76.8919	0
41451.58333	82.9961	0
41451.625	89.0121	0
41451.66667	94.941	0
41451.70833	100.784	0
41451.75	106.542	0
41451.79167	112.216	0
41451.83333	117.808	0
41451.875	123.317	0
41451.91667	128.746	0
41451.95833	134.095	0
41452	139.365	0
41452.04167	144.558	0
41452.08333	149.673	0
41452.125	154.713	0
41452.16667	159.677	0
41452.20833	164.568	0
41452.25	169.385	0
41452.29167	174.13	0
41452.33333	178.804	0
41452.375	183.408	0
41452.41667	187.941	0
41452.45833	192.406	0
41452.5	196.803	0
41452.54167	201.133	0
41452.58333	205.397	0
41452.625	209.595	0
41452.66667	213.728	0
41452.70833	217.798	0
41452.75	221.805	0
41452.79167	225.749	0
41452.83333	229.632	0
41452.875	233.453	0
41452.91667	237.215	0
41452.95833	240.918	0
41453	244.562	0
41453.04167	248.148	0
41453.08333	251.677	0
41453.125	255.149	0
41453.16667	258.566	0
41453.20833	261.928	0
41453.25	265.235	0
41453.29167	268.488	0
41453.33333	271.688	0
41453.375	274.836	0
41453.41667	277.932	0
41453.45833	280.977	0
41453.5	283.971	0
41453.54167	286.916	0
41453.58333	289.811	0
41453.625	292.657	0
41453.66667	295.455	0
41453.70833	298.206	0
41453.75	300.909	0
41453.79167	303.567	0
41453.83333	306.178	0
41453.875	308.744	0
41453.91667	311.266	0
41453.95833	313.743	0
41454	316.177	0
41454.04167	318.567	0
41454.08333	320.915	0
41454.125	323.221	0
41454.16667	325.486	0
41454.20833	327.709	0
41454.25	329.892	0
41454.29167	332.035	0
41454.33333	334.138	0
41454.375	336.202	0
41454.41667	338.228	0
41454.45833	340.216	0
41454.5	342.166	0
41454.54167	344.079	0
41454.58333	345.955	0
41454.625	347.795	0
41454.66667	349.599	0
41454.70833	351.367	0
41454.75	353.101	0
41454.79167	354.8	0
41454.83333	356.466	0
41454.875	358.097	0
41454.91667	359.695	0
41454.95833	361.261	0
41455	362.794	0
41455.04167	364.295	0
41455.08333	365.764	0
41455.125	367.202	0
41455.16667	368.609	0
41455.20833	369.986	0
41455.25	371.333	0
41455.29167	372.65	0
41455.33333	373.938	0
41455.375	375.196	0
41455.41667	376.426	0
41455.45833	377.628	0
41455.5	378.802	0
41455.54167	379.948	0
41455.58333	381.067	0
41455.625	382.159	0
41455.66667	383.224	0
41455.70833	384.264	0
41455.75	385.277	0
41455.79167	386.265	0
41455.83333	387.228	0
41455.875	388.165	0
41455.91667	389.079	0
41455.95833	389.967	0
41456	390.832	0
41456.04167	391.673	0
41456.08333	392.491	0
41456.125	393.285	0
41456.16667	394.057	0
41456.20833	394.806	0
41456.25	395.534	0
41456.29167	396.239	0
41456.33333	396.922	0
41456.375	397.584	0
41456.41667	398.225	0
41456.45833	398.845	0
41456.5	399.444	0
41456.54167	400.023	0
41456.58333	400.582	0
41456.625	401.122	0
41456.66667	401.641	0
41456.70833	402.142	0
41456.75	402.623	0
41456.79167	403.085	0
41456.83333	403.529	0
41456.875	403.955	0
41456.91667	404.362	0
41456.95833	404.752	0
41457	405.124	0
41457.04167	405.479	0
41457.08333	405.816	0
41457.125	406.137	0
41457.16667	406.441	0
41457.20833	406.728	0
41457.25	406.999	0
41457.29167	407.254	0
41457.33333	407.493	0
41457.375	407.717	0
41457.41667	407.925	0
41457.45833	408.117	0
41457.5	408.295	0
41457.54167	408.458	0
41457.58333	408.606	0
41457.625	408.74	0
41457.66667	408.86	0
41457.70833	408.965	0
41457.75	409.057	0
41457.79167	409.135	0
41457.83333	409.2	0
41457.875	409.251	0
41457.91667	409.289	0
41457.95833	409.314	0
41458	409.326	0
41458.04167	409.326	0
41458.08333	409.313	0
41458.125	409.288	0
41458.16667	409.251	0
41458.20833	409.202	0
41458.25	409.141	0
41458.29167	409.069	0
41458.33333	408.985	0
41458.375	408.89	0
41458.41667	408.784	0
41458.45833	408.666	0
41458.5	408.538	0
41458.54167	408.4	0
41458.58333	408.25	0
41458.625	408.091	0
41458.66667	407.921	0
41458.70833	407.741	0
41458.75	407.551	0
41458.79167	407.352	0
41458.83333	407.142	0
41458.875	406.924	0
41458.91667	406.695	0
41458.95833	406.458	0
41459	406.212	0
41459.04167	405.956	0
41459.08333	405.692	0
41459.125	405.419	0
41459.16667	405.137	0
41459.20833	404.847	0
41459.25	404.549	0
41459.29167	404.242	0
41459.33333	403.927	0
41459.375	403.605	0
41459.41667	403.274	0
41459.45833	402.936	0
41459.5	402.59	0
41459.54167	402.237	0
41459.58333	401.876	0
41459.625	401.508	0
41459.66667	401.133	0
41459.70833	400.751	0
41459.75	400.361	0
41459.79167	399.965	0
41459.83333	399.563	0
41459.875	399.153	0
41459.91667	398.737	0
41459.95833	398.315	0
41460	397.886	0
41460.04167	397.452	0
41460.08333	397.011	0
41460.125	396.564	0
41460.16667	396.111	0
41460.20833	395.652	0
41460.25	395.188	0
41460.29167	394.717	0
41460.33333	394.242	0
41460.375	393.761	0
41460.41667	393.274	0
41460.45833	392.782	0
41460.5	392.286	0
41460.54167	391.784	0
41460.58333	391.276	0
41460.625	390.765	0
41460.66667	390.249	0
41460.70833	389.728	0
41460.75	389.202	0
41460.79167	388.672	0
41460.83333	388.137	0
41460.875	387.597	0
41460.91667	387.054	0
41460.95833	386.506	0
41461	385.954	0
41461.04167	385.398	0
41461.08333	384.838	0
41461.125	384.274	0
41461.16667	383.706	0
41461.20833	383.135	0
41461.25	382.56	0
41461.29167	381.981	0
41461.33333	381.399	0
41461.375	380.814	0
41461.41667	380.226	0
41461.45833	379.634	0
41461.5	379.039	0
41461.54167	378.44	0
41461.58333	377.839	0
41461.625	377.233	0
41461.66667	376.624	0
41461.70833	376.011	0
41461.75	375.395	0
41461.79167	374.776	0
41461.83333	374.154	0
41461.875	373.529	0
41461.91667	372.902	0
41461.95833	372.272	0
41462	371.639	0
41462.04167	371.005	0
41462.08333	370.368	0
41462.125	369.729	0
41462.16667	369.087	0
41462.20833	368.444	0
41462.25	367.798	0
41462.29167	367.15	0
41462.33333	366.5	0
41462.375	365.848	0
41462.41667	365.193	0
41462.45833	364.537	0
41462.5	363.879	0
41462.54167	363.219	0
41462.58333	362.557	0
41462.625	361.892	0
41462.66667	361.224	0
41462.70833	360.555	0
41462.75	359.883	0
41462.79167	359.21	0
41462.83333	358.535	0
41462.875	357.858	0
41462.91667	357.18	0
41462.95833	356.501	0
41463	355.82	0
41463.04167	355.138	0
41463.08333	354.454	0
41463.125	353.77	0
41463.16667	353.084	0
41463.20833	352.398	0
41463.25	351.71	0
41463.29167	351.021	0
41463.33333	350.332	0
41463.375	349.641	0
41463.41667	348.949	0
41463.45833	348.257	0
41463.5	347.564	0
41463.54167	346.87	0
41463.58333	346.174	0
41463.625	345.477	0
41463.66667	344.78	0
41463.70833	344.081	0
41463.75	343.381	0
41463.79167	342.681	0
41463.83333	341.979	0
41463.875	341.277	0
41463.91667	340.575	0
41463.95833	339.872	0
41464	339.169	0
41464.04167	338.465	0
41464.08333	337.761	0
41464.125	337.057	0
41464.16667	336.352	0
41464.20833	335.647	0
41464.25	334.941	0
41464.29167	334.235	0
41464.33333	333.53	0
41464.375	332.823	0
41464.41667	332.117	0
41464.45833	331.41	0
41464.5	330.704	0
41464.54167	329.997	0
41464.58333	329.29	0
41464.625	328.582	0
41464.66667	327.875	0
41464.70833	327.167	0
41464.75	326.459	0
41464.79167	325.751	0
41464.83333	325.043	0
41464.875	324.335	0
41464.91667	323.627	0
41464.95833	322.919	0
41465	322.211	0
41465.04167	321.504	0
41465.08333	320.797	0
41465.125	320.09	0
41465.16667	319.383	0
41465.20833	318.676	0
41465.25	317.97	0
41465.29167	317.264	0
41465.33333	316.558	0
41465.375	315.853	0
41465.41667	315.148	0
41465.45833	314.443	0
41465.5	313.739	0
41465.54167	313.035	0
41465.58333	312.332	0
41465.625	311.629	0
41465.66667	310.926	0
41465.70833	310.224	0
41465.75	309.522	0
41465.79167	308.82	0
41465.83333	308.12	0
41465.875	307.419	0
41465.91667	306.719	0
41465.95833	306.02	0
41466	305.322	0
41466.04167	304.624	0
41466.08333	303.927	0
41466.125	303.23	0
41466.16667	302.534	0
41466.20833	301.838	0
41466.25	301.144	0
41466.29167	300.45	0
41466.33333	299.757	0
41466.375	299.064	0
41466.41667	298.372	0
41466.45833	297.681	0
41466.5	296.991	0
41466.54167	296.301	0
41466.58333	295.613	0
41466.625	294.925	0
41466.66667	294.237	0
41466.70833	293.551	0
41466.75	292.866	0
41466.79167	292.181	0
41466.83333	291.497	0
41466.875	290.814	0
41466.91667	290.132	0
41466.95833	289.451	0
41467	288.771	0
41467.04167	288.092	0
41467.08333	287.413	0
41467.125	286.736	0
41467.16667	286.059	0
41467.20833	285.384	0
41467.25	284.709	0
41467.29167	284.036	0
41467.33333	283.363	0
41467.375	282.692	0
41467.41667	282.021	0
41467.45833	281.352	0
41467.5	280.683	0
41467.54167	280.015	0
41467.58333	279.349	0
41467.625	278.684	0
41467.66667	278.019	0
41467.70833	277.356	0
41467.75	276.694	0
41467.79167	276.033	0
41467.83333	275.372	0
41467.875	274.714	0
41467.91667	274.056	0
41467.95833	273.399	0
41468	272.743	0
41468.04167	272.089	0
41468.08333	271.436	0
41468.125	270.783	0
41468.16667	270.132	0
41468.20833	269.482	0
41468.25	268.834	0
41468.29167	268.186	0
41468.33333	267.54	0
41468.375	266.895	0
41468.41667	266.251	0
41468.45833	265.608	0
41468.5	264.966	0
41468.54167	264.326	0
41468.58333	263.686	0
41468.625	263.048	0
41468.66667	262.412	0
41468.70833	261.776	0
41468.75	261.142	0
41468.79167	260.509	0
41468.83333	259.877	0
41468.875	259.246	0
41468.91667	258.617	0
41468.95833	257.989	0
41469	257.362	0
41469.04167	256.736	0
41469.08333	256.112	0
41469.125	255.489	0
41469.16667	254.867	0
41469.20833	254.247	0
41469.25	253.628	0
41469.29167	253.01	0
41469.33333	252.393	0
41469.375	251.778	0
41469.41667	251.164	0
41469.45833	250.551	0
41469.5	249.94	0
41469.54167	249.33	0
41469.58333	248.721	0
41469.625	248.113	0
41469.66667	247.507	0
41469.70833	246.902	0
41469.75	246.299	0
41469.79167	245.696	0
41469.83333	245.096	0
41469.875	244.496	0
41469.91667	243.898	0
41469.95833	243.301	0
41470	242.705	0
41470.04167	242.111	0
41470.08333	241.518	0
41470.125	240.927	0
41470.16667	240.337	0
41470.20833	239.748	0
41470.25	239.16	0
41470.29167	238.574	0
41470.33333	237.989	0
41470.375	237.406	0
41470.41667	236.824	0
41470.45833	236.243	0
41470.5	235.664	0
41470.54167	235.086	0
41470.58333	234.509	0
41470.625	233.934	0
41470.66667	233.36	0
41470.70833	232.787	0
41470.75	232.216	0
41470.79167	231.646	0
41470.83333	231.078	0
41470.875	230.51	0
41470.91667	229.945	0
41470.95833	229.38	0
41471	228.817	0
41471.04167	228.256	0
41471.08333	227.695	0
41471.125	227.136	0
41471.16667	226.579	0
41471.20833	226.023	0
41471.25	225.468	0
41471.29167	224.915	0
41471.33333	224.363	0
41471.375	223.812	0
41471.41667	223.263	0
41471.45833	222.715	0
41471.5	222.168	0
41471.54167	221.623	0
41471.58333	221.079	0
41471.625	220.537	0
41471.66667	219.996	0
41471.70833	219.456	0
41471.75	218.918	0
41471.79167	218.381	0
41471.83333	217.845	0
41471.875	217.311	0
41471.91667	216.778	0
41471.95833	216.246	0
41472	215.716	0
41472.04167	215.188	0
41472.08333	214.66	0
41472.125	214.134	0
41472.16667	213.61	0
41472.20833	213.086	0
41472.25	212.564	0
41472.29167	212.044	0
41472.33333	211.525	0
41472.375	211.007	0
41472.41667	210.49	0
41472.45833	209.975	0
41472.5	209.461	0
41472.54167	208.949	0
41472.58333	208.438	0
41472.625	207.928	0
41472.66667	207.42	0
41472.70833	206.913	0
41472.75	206.407	0
41472.79167	205.903	0
41472.83333	205.4	0
41472.875	204.898	0
41472.91667	204.398	0
41472.95833	203.899	0
41473	203.401	0
41473.04167	202.905	0
41473.08333	202.41	0
41473.125	201.917	0
41473.16667	201.424	0
41473.20833	200.933	0
41473.25	200.444	0
41473.29167	199.956	0
41473.33333	199.469	0
41473.375	198.983	0
41473.41667	198.499	0
41473.45833	198.016	0
41473.5	197.534	0
41473.54167	197.054	0
41473.58333	196.575	0
41473.625	196.098	0
41473.66667	195.621	0
41473.70833	195.146	0
41473.75	194.672	0
41473.79167	194.2	0
41473.83333	193.729	0
41473.875	193.259	0
41473.91667	192.791	0
41473.95833	192.323	0
41474	191.858	0
41474.04167	191.393	0
41474.08333	190.93	0
41474.125	190.468	0
41474.16667	190.007	0
41474.20833	189.548	0
41474.25	189.09	0
41474.29167	188.633	0
41474.33333	188.177	0
41474.375	187.723	0
41474.41667	187.27	0
41474.45833	186.818	0
41474.5	186.368	0
41474.54167	185.919	0
41474.58333	185.471	0
41474.625	185.024	0
41474.66667	184.579	0
41474.70833	184.134	0
41474.75	183.692	0
41474.79167	183.25	0
41474.83333	182.81	0
41474.875	182.371	0
41474.91667	181.933	0
41474.95833	181.496	0
41475	181.061	0
41475.04167	180.627	0
41475.08333	180.194	0
41475.125	179.762	0
41475.16667	179.332	0
41475.20833	178.903	0
41475.25	178.475	0
41475.29167	178.048	0
41475.33333	177.623	0
41475.375	177.198	0
41475.41667	176.775	0
41475.45833	176.354	0
41475.5	175.933	0
41475.54167	175.514	0
41475.58333	175.096	0
41475.625	174.679	0
41475.66667	174.263	0
41475.70833	173.848	0
41475.75	173.435	0
41475.79167	173.023	0
41475.83333	172.612	0
41475.875	172.202	0
41475.91667	171.794	0
41475.95833	171.386	0
41476	170.98	0
41476.04167	170.575	0
41476.08333	170.171	0
41476.125	169.769	0
41476.16667	169.367	0
41476.20833	168.967	0
41476.25	168.568	0
41476.29167	168.17	0
41476.33333	167.773	0
41476.375	167.377	0
41476.41667	166.983	0
41476.45833	166.589	0
41476.5	166.197	0
41476.54167	165.806	0
41476.58333	165.416	0
41476.625	165.028	0
41476.66667	164.64	0
41476.70833	164.254	0
41476.75	163.868	0
41476.79167	163.484	0
41476.83333	163.101	0
41476.875	162.719	0
41476.91667	162.338	0
41476.95833	161.959	0
41477	161.58	0
41477.04167	161.203	0
41477.08333	160.826	0
41477.125	160.451	0
41477.16667	160.077	0
41477.20833	159.704	0
41477.25	159.332	0
41477.29167	158.961	0
41477.33333	158.592	0
41477.375	158.223	0
41477.41667	157.856	0
41477.45833	157.489	0
41477.5	157.124	0
41477.54167	156.76	0
41477.58333	156.397	0
41477.625	156.034	0
41477.66667	155.673	0
41477.70833	155.314	0
41477.75	154.955	0
41477.79167	154.597	0
41477.83333	154.24	0
41477.875	153.884	0
41477.91667	153.53	0
41477.95833	153.176	0
41478	152.824	0
41478.04167	152.472	0
41478.08333	152.122	0
41478.125	151.773	0
41478.16667	151.424	0
41478.20833	151.077	0
41478.25	150.731	0
41478.29167	150.386	0
41478.33333	150.041	0
41478.375	149.698	0
41478.41667	149.356	0
41478.45833	149.015	0
41478.5	148.675	0
41478.54167	148.336	0
41478.58333	147.998	0
41478.625	147.661	0
41478.66667	147.325	0
41478.70833	146.99	0
41478.75	146.656	0
41478.79167	146.323	0
41478.83333	145.991	0
41478.875	145.66	0
41478.91667	145.329	0
41478.95833	145	0
41479	144.672	0
41479.04167	144.345	0
41479.08333	144.019	0
41479.125	143.694	0
41479.16667	143.37	0
41479.20833	143.047	0
41479.25	142.724	0
41479.29167	142.403	0
41479.33333	142.083	0
41479.375	141.764	0
41479.41667	141.445	0
41479.45833	141.128	0
41479.5	140.811	0
41479.54167	140.496	0
41479.58333	140.181	0
41479.625	139.868	0
41479.66667	139.555	0
41479.70833	139.243	0
41479.75	138.933	0
41479.79167	138.623	0
41479.83333	138.314	0
41479.875	138.006	0
41479.91667	137.699	0
41479.95833	137.392	0
41480	137.087	0
41480.04167	136.783	0
41480.08333	136.48	0
41480.125	136.177	0
41480.16667	135.875	0
41480.20833	135.575	0
41480.25	135.275	0
41480.29167	134.976	0
41480.33333	134.678	0
41480.375	134.381	0
41480.41667	134.085	0
41480.45833	133.79	0
41480.5	133.495	0
41480.54167	133.202	0
41480.58333	132.909	0
41480.625	132.617	0
41480.66667	132.326	0
41480.70833	132.036	0
41480.75	131.747	0
41480.79167	131.459	0
41480.83333	131.172	0
41480.875	130.885	0
41480.91667	130.599	0
41480.95833	130.315	0
41481	130.031	0
41481.04167	129.748	0
41481.08333	129.465	0
41481.125	129.184	0
41481.16667	128.903	0
41481.20833	128.624	0
41481.25	128.345	0
41481.29167	128.067	0
41481.33333	127.789	0
41481.375	127.513	0
41481.41667	127.238	0
41481.45833	126.963	0
41481.5	126.689	0
41481.54167	126.416	0
41481.58333	126.144	0
41481.625	125.872	0
41481.66667	125.602	0
41481.70833	125.332	0
41481.75	125.063	0
41481.79167	124.795	0
41481.83333	124.527	0
41481.875	124.261	0
41481.91667	123.995	0
41481.95833	123.73	0
41482	123.466	0
41482.04167	123.202	0
41482.08333	122.94	0
41482.125	122.678	0
41482.16667	122.417	0
41482.20833	122.157	0
41482.25	121.897	0
41482.29167	121.638	0
41482.33333	121.381	0
41482.375	121.123	0
41482.41667	120.867	0
41482.45833	120.611	0
41482.5	120.357	0
41482.54167	120.103	0
41482.58333	119.849	0
41482.625	119.597	0
41482.66667	119.345	0
41482.70833	119.094	0
41482.75	118.844	0
41482.79167	118.594	0
41482.83333	118.345	0
41482.875	118.097	0
41482.91667	117.85	0
41482.95833	117.603	0
41483	117.357	0
41483.04167	117.112	0
41483.08333	116.868	0
41483.125	116.624	0
41483.16667	116.381	0
41483.20833	116.139	0
41483.25	115.898	0
41483.29167	115.657	0
41483.33333	115.417	0
41483.375	115.178	0
41483.41667	114.939	0
41483.45833	114.701	0
41483.5	114.464	0
41483.54167	114.228	0
41483.58333	113.992	0
41483.625	113.757	0
41483.66667	113.522	0
41483.70833	113.289	0
41483.75	113.056	0
41483.79167	112.824	0
41483.83333	112.592	0
41483.875	112.361	0
41483.91667	112.131	0
41483.95833	111.901	0
41484	111.672	0
41484.04167	111.444	0
41484.08333	111.217	0
41484.125	110.99	0
41484.16667	110.764	0
41484.20833	110.538	0
41484.25	110.314	0
41484.29167	110.089	0
41484.33333	109.866	0
41484.375	109.643	0
41484.41667	109.421	0
41484.45833	109.2	0
41484.5	108.979	0
41484.54167	108.759	0
41484.58333	108.539	0
41484.625	108.32	0
41484.66667	108.102	0
41484.70833	107.884	0
41484.75	107.667	0
41484.79167	107.451	0
41484.83333	107.235	0
41484.875	107.02	0
41484.91667	106.806	0
41484.95833	106.592	0
41485	106.379	0
41485.04167	106.167	0
41485.08333	105.955	0
41485.125	105.744	0
41485.16667	105.533	0
41485.20833	105.323	0
41485.25	105.114	0
41485.29167	104.905	0
41485.33333	104.697	0
41485.375	104.489	0
41485.41667	104.282	0
41485.45833	104.076	0
41485.5	103.87	0
41485.54167	103.665	0
41485.58333	103.461	0
41485.625	103.257	0
41485.66667	103.053	0
41485.70833	102.851	0
41485.75	102.649	0
41485.79167	102.447	0
41485.83333	102.246	0
41485.875	102.046	0
41485.91667	101.846	0
41485.95833	101.647	0
41486	101.448	0
41486.04167	101.25	0
41486.08333	101.053	0
41486.125	100.856	0
41486.16667	100.66	0
41486.20833	100.464	0
41486.25	100.269	0
41486.29167	100.074	0
41486.33333	99.8802	0
41486.375	99.6868	0
41486.41667	99.4939	0
41486.45833	99.3016	0
41486.5	99.1098	0
41486.54167	98.9187	0
41486.58333	98.728	0
41486.625	98.5379	0
41486.66667	98.3484	0
41486.70833	98.1594	0
41486.75	97.971	0
41486.79167	97.7831	0
41486.83333	97.5958	0
41486.875	97.409	0
41486.91667	97.2227	0
41486.95833	97.037	0
41487	96.8519	0
41487.04167	96.6672	0
41487.08333	96.4831	0
41487.125	96.2995	0
41487.16667	96.1165	0
41487.20833	95.934	0
41487.25	95.752	0
41487.29167	95.5706	0
41487.33333	95.3896	0
41487.375	95.2092	0
41487.41667	95.0293	0
41487.45833	94.8499	0
41487.5	94.6711	0
41487.54167	94.4928	0
41487.58333	94.3149	0
41487.625	94.1376	0
41487.66667	93.9608	0
41487.70833	93.7845	0
41487.75	93.6087	0
41487.79167	93.4334	0
41487.83333	93.2587	0
41487.875	93.0844	0
41487.91667	92.9106	0
41487.95833	92.7373	0
41488	92.5645	0
41488.04167	92.3922	0
41488.08333	92.2204	0
41488.125	92.0491	0
41488.16667	91.8783	0
41488.20833	91.708	0
41488.25	91.5382	0
41488.29167	91.3688	0
41488.33333	91.1999	0
41488.375	91.0316	0
41488.41667	90.8636	0
41488.45833	90.6962	0
41488.5	90.5293	0
41488.54167	90.3628	0
41488.58333	90.1968	0
41488.625	90.0313	0
41488.66667	89.8662	0
41488.70833	89.7016	0
41488.75	89.5375	0
41488.79167	89.3738	0
41488.83333	89.2106	0
41488.875	89.0479	0
41488.91667	88.8856	0
41488.95833	88.7238	0
41489	88.5625	0
41489.04167	88.4016	0
41489.08333	88.2411	0
41489.125	88.0811	0
41489.16667	87.9216	0
41489.20833	87.7625	0
41489.25	87.6039	0
41489.29167	87.4457	0
41489.33333	87.288	0
41489.375	87.1307	0
41489.41667	86.9738	0
41489.45833	86.8174	0
41489.5	86.6615	0
41489.54167	86.5059	0
41489.58333	86.3508	0
41489.625	86.1962	0
41489.66667	86.042	0
41489.70833	85.8882	0
41489.75	85.7348	0
41489.79167	85.5819	0
41489.83333	85.4294	0
41489.875	85.2773	0
41489.91667	85.1257	0
41489.95833	84.9745	0
41490	84.8237	0
41490.04167	84.6733	0
41490.08333	84.5233	0
41490.125	84.3738	0
41490.16667	84.2247	0
41490.20833	84.076	0
41490.25	83.9277	0
41490.29167	83.7798	0
41490.33333	83.6323	0
41490.375	83.4853	0
41490.41667	83.3386	0
41490.45833	83.1924	0
41490.5	83.0466	0
41490.54167	82.9011	0
41490.58333	82.7561	0
41490.625	82.6115	0
41490.66667	82.4673	0
41490.70833	82.3234	0
41490.75	82.18	0
41490.79167	82.037	0
41490.83333	81.8944	0
41490.875	81.7521	0
41490.91667	81.6103	0
41490.95833	81.4688	0
41491	81.3278	0
41491.04167	81.1871	0
41491.08333	81.0468	0
41491.125	80.9069	0
41491.16667	80.7674	0
41491.20833	80.6283	0
41491.25	80.4895	0
41491.29167	80.3512	0
41491.33333	80.2132	0
41491.375	80.0756	0
41491.41667	79.9383	0
41491.45833	79.8015	0
41491.5	79.665	0
41491.54167	79.5289	0
41491.58333	79.3932	0
41491.625	79.2578	0
41491.66667	79.1228	0
41491.70833	78.9882	0
41491.75	78.854	0
41491.79167	78.7201	0
41491.83333	78.5865	0
41491.875	78.4534	0
41491.91667	78.3206	0
41491.95833	78.1881	0
41492	78.0561	0
41492.04167	77.9244	0
41492.08333	77.793	0
41492.125	77.662	0
41492.16667	77.5314	0
41492.20833	77.4011	0
41492.25	77.2711	0
41492.29167	77.1415	0
41492.33333	77.0123	0
41492.375	76.8834	0
41492.41667	76.7549	0
41492.45833	76.6267	0
41492.5	76.4989	0
41492.54167	76.3714	0
41492.58333	76.2442	0
41492.625	76.1174	0
41492.66667	75.9909	0
41492.70833	75.8648	0
41492.75	75.739	0
41492.79167	75.6136	0
41492.83333	75.4884	0
41492.875	75.3637	0
41492.91667	75.2392	0
41492.95833	75.1151	0
41493	74.9913	0
41493.04167	74.8679	0
41493.08333	74.7448	0
41493.125	74.622	0
41493.16667	74.4995	0
41493.20833	74.3774	0
41493.25	74.2556	0
41493.29167	74.1341	0
41493.33333	74.013	0
41493.375	73.8922	0
41493.41667	73.7716	0
41493.45833	73.6514	0
41493.5	73.5316	0
41493.54167	73.412	0
41493.58333	73.2928	0
41493.625	73.1739	0
41493.66667	73.0553	0
41493.70833	72.937	0
41493.75	72.819	0
41493.79167	72.7014	0
41493.83333	72.584	0
41493.875	72.467	0
41493.91667	72.3503	0
41493.95833	72.2338	0
41494	72.1177	0
41494.04167	72.0019	0
41494.08333	71.8864	0
41494.125	71.7712	0
41494.16667	71.6563	0
41494.20833	71.5417	0
41494.25	71.4274	0
41494.29167	71.3135	0
41494.33333	71.1998	0
41494.375	71.0864	0
41494.41667	70.9733	0
41494.45833	70.8605	0
41494.5	70.748	0
41494.54167	70.6358	0
41494.58333	70.5239	0
41494.625	70.4122	0
41494.66667	70.3009	0
41494.70833	70.1899	0
41494.75	70.0791	0
41494.79167	69.9687	0
41494.83333	69.8585	0
41494.875	69.7486	0
41494.91667	69.639	0
41494.95833	69.5297	0
41495	69.4207	0
41495.04167	69.3119	0
41495.08333	69.2035	0
41495.125	69.0953	0
41495.16667	68.9874	0
41495.20833	68.8797	0
41495.25	68.7724	0
41495.29167	68.6653	0
41495.33333	68.5585	0
41495.375	68.452	0
41495.41667	68.3458	0
41495.45833	68.2398	0
41495.5	68.1341	0
41495.54167	68.0287	0
41495.58333	67.9236	0
41495.625	67.8187	0
41495.66667	67.7141	0
41495.70833	67.6097	0
41495.75	67.5057	0
41495.79167	67.4019	0
41495.83333	67.2983	0
41495.875	67.195	0
41495.91667	67.092	0
41495.95833	66.9893	0
41496	66.8868	0
41496.04167	66.7846	0
41496.08333	66.6826	0
41496.125	66.5809	0
41496.16667	66.4795	0
41496.20833	66.3783	0
41496.25	66.2774	0
41496.29167	66.1767	0
41496.33333	66.0763	0
41496.375	65.9761	0
41496.41667	65.8762	0
41496.45833	65.7766	0
41496.5	65.6772	0
41496.54167	65.5781	0
41496.58333	65.4792	0
41496.625	65.3805	0
41496.66667	65.2821	0
41496.70833	65.184	0
41496.75	65.0861	0
41496.79167	64.9884	0
41496.83333	64.891	0
41496.875	64.7939	0
41496.91667	64.697	0
41496.95833	64.6003	0
41497	64.5039	0
41497.04167	64.4077	0
41497.08333	64.3117	0
41497.125	64.216	0
41497.16667	64.1206	0
41497.20833	64.0253	0
41497.25	63.9304	0
41497.29167	63.8356	0
41497.33333	63.7411	0
41497.375	63.6468	0
41497.41667	63.5528	0
41497.45833	63.459	0
41497.5	63.3654	0
41497.54167	63.2721	0
41497.58333	63.179	0
41497.625	63.0861	0
41497.66667	62.9935	0
41497.70833	62.9011	0
41497.75	62.8089	0
41497.79167	62.7169	0
41497.83333	62.6252	0
41497.875	62.5337	0
41497.91667	62.4424	0
41497.95833	62.3514	0
41498	62.2606	0
41498.04167	62.17	0
41498.08333	62.0796	0
41498.125	61.9895	0
41498.16667	61.8995	0
41498.20833	61.8098	0
41498.25	61.7203	0
41498.29167	61.6311	0
41498.33333	61.542	0
41498.375	61.4532	0
41498.41667	61.3646	0
41498.45833	61.2762	0
41498.5	61.188	0
41498.54167	61.1001	0
41498.58333	61.0123	0
41498.625	60.9248	0
41498.66667	60.8375	0
41498.70833	60.7504	0
41498.75	60.6635	0
41498.79167	60.5768	0
41498.83333	60.4904	0
41498.875	60.4041	0
41498.91667	60.3181	0
41498.95833	60.2323	0
41499	60.1466	0
41499.04167	60.0612	0
41499.08333	59.976	0
41499.125	59.891	0
