time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
41451.04167	0	0
41451.08333	0.240792	0
41451.125	0.721048	0
41451.16667	1.19866	0
41451.20833	1.67365	0
41451.25	2.14602	0
41451.29167	2.61581	0
41451.33333	3.08303	0
41451.375	3.5477	0
41451.41667	4.00983	0
41451.45833	4.46944	0
41451.5	4.92656	0
41451.54167	5.38119	0
41451.58333	5.83336	0
41451.625	6.28308	0
41451.66667	6.73037	0
41451.70833	7.17524	0
41451.75	7.61772	0
41451.79167	8.05782	0
41451.83333	8.49555	0
41451.875	8.93093	0
41451.91667	9.36398	0
41451.95833	9.79472	0
41452	10.2232	0
41452.04167	10.6493	0
41452.08333	11.0732	0
41452.125	11.4948	0
41452.16667	11.9142	0
41452.20833	12.3314	0
41452.25	12.7463	0
41452.29167	13.1591	0
41452.33333	13.5697	0
41452.375	13.9781	0
41452.41667	14.3843	0
41452.45833	14.7885	0
41452.5	15.1905	0
41452.54167	15.5904	0
41452.58333	15.9882	0
41452.625	16.3839	0
41452.66667	16.7775	0
41452.70833	17.1691	0
41452.75	17.5587	0
41452.79167	17.9462	0
41452.83333	18.3317	0
41452.875	18.7152	0
41452.91667	19.0968	0
41452.95833	19.4763	0
41453	19.8539	0
41453.04167	20.2295	0
41453.08333	20.6032	0
41453.125	20.975	0
41453.16667	21.3449	0
41453.20833	21.7128	0
41453.25	22.0789	0
41453.29167	22.4431	0
41453.33333	22.8054	0
41453.375	23.1659	0
41453.41667	23.5245	0
41453.45833	23.8813	0
41453.5	24.2363	0
41453.54167	24.5895	0
41453.58333	24.9409	0
41453.625	25.2905	0
41453.66667	25.6383	0
41453.70833	25.9844	0
41453.75	26.3287	0
41453.79167	26.6712	0
41453.83333	27.0121	0
41453.875	27.3512	0
41453.91667	27.6886	0
41453.95833	28.0243	0
41454	28.3584	0
41454.04167	28.6907	0
41454.08333	29.0214	0
41454.125	29.3504	0
41454.16667	29.6778	0
41454.20833	30.0035	0
41454.25	30.3276	0
41454.29167	30.6501	0
41454.33333	30.971	0
41454.375	31.2903	0
41454.41667	31.608	0
41454.45833	31.9241	0
41454.5	32.2386	0
41454.54167	32.5516	0
41454.58333	32.863	0
41454.625	33.1729	0
41454.66667	33.4813	0
41454.70833	33.7881	0
41454.75	34.0934	0
41454.79167	34.3973	0
41454.83333	34.6996	0
41454.875	35.0004	0
41454.91667	35.2997	0
41454.95833	35.5976	0
41455	35.894	0
41455.04167	36.189	0
41455.08333	36.4825	0
41455.125	36.7746	0
41455.16667	37.0652	0
41455.20833	37.3545	0
41455.25	37.6423	0
41455.29167	37.9287	0
41455.33333	38.2137	0
41455.375	38.4973	0
41455.41667	38.7795	0
41455.45833	39.0604	0
41455.5	39.3399	0
41455.54167	39.6181	0
41455.58333	39.8949	0
41455.625	40.1703	0
41455.66667	40.4444	0
41455.70833	40.7172	0
41455.75	40.9887	0
41455.79167	41.2589	0
41455.83333	41.5277	0
41455.875	41.7953	0
41455.91667	42.0616	0
41455.95833	42.3266	0
41456	42.5903	0
41456.04167	42.8527	0
41456.08333	43.1139	0
41456.125	43.3738	0
41456.16667	43.6325	0
41456.20833	43.89	0
41456.25	44.1462	0
41456.29167	44.4012	0
41456.33333	44.6549	0
41456.375	44.9075	0
41456.41667	45.1588	0
41456.45833	45.409	0
41456.5	45.6579	0
41456.54167	45.9057	0
41456.58333	46.1522	0
41456.625	46.3976	0
41456.66667	46.6419	0
41456.70833	46.8849	0
41456.75	47.1269	0
41456.79167	47.3676	0
41456.83333	47.6073	0
41456.875	47.8457	0
41456.91667	48.0831	0
41456.95833	48.3193	0
41457	48.5545	0
41457.04167	48.7885	0
41457.08333	49.0214	0
41457.125	49.2531	0
41457.16667	49.4838	0
41457.20833	49.7135	0
41457.25	49.942	0
41457.29167	50.1694	0
41457.33333	50.3958	0
41457.375	50.6211	0
41457.41667	50.8453	0
41457.45833	51.0685	0
41457.5	51.2907	0
41457.54167	51.5118	0
41457.58333	51.7318	0
41457.625	51.9509	0
41457.66667	52.1688	0
41457.70833	52.3858	0
41457.75	52.6018	0
41457.79167	52.8167	0
41457.83333	53.0307	0
41457.875	53.2436	0
41457.91667	53.4555	0
41457.95833	53.6665	0
41458	53.8764	0
41458.04167	54.0854	0
41458.08333	54.2934	0
41458.125	54.5004	0
41458.16667	54.7065	0
41458.20833	54.9116	0
41458.25	55.1157	0
41458.29167	55.3189	0
41458.33333	55.5212	0
41458.375	55.7225	0
41458.41667	55.9228	0
41458.45833	56.1223	0
41458.5	56.3208	0
41458.54167	56.5183	0
41458.58333	56.715	0
41458.625	56.9107	0
41458.66667	57.1056	0
41458.70833	57.2995	0
41458.75	57.4925	0
41458.79167	57.6847	0
41458.83333	57.8759	0
41458.875	58.0663	0
41458.91667	58.2557	0
41458.95833	58.4443	0
41459	58.632	0
41459.04167	58.8189	0
41459.08333	59.0049	0
41459.125	59.19	0
41459.16667	59.3743	0
41459.20833	59.5577	0
41459.25	59.7402	0
41459.29167	59.922	0
41459.33333	60.1028	0
41459.375	60.2829	0
41459.41667	60.4621	0
41459.45833	60.6405	0
41459.5	60.818	0
41459.54167	60.9948	0
41459.58333	61.1707	0
41459.625	61.3458	0
41459.66667	61.5201	0
41459.70833	61.6936	0
41459.75	61.8663	0
41459.79167	62.0382	0
41459.83333	62.2093	0
41459.875	62.3797	0
41459.91667	62.5492	0
41459.95833	62.7179	0
41460	62.8859	0
41460.04167	63.0531	0
41460.08333	63.2195	0
41460.125	63.3852	0
41460.16667	63.5501	0
41460.20833	63.7142	0
41460.25	63.8776	0
41460.29167	64.0402	0
41460.33333	64.2021	0
41460.375	64.3632	0
41460.41667	64.5236	0
41460.45833	64.6833	0
41460.5	64.8422	0
41460.54167	65.0004	0
41460.58333	65.1579	0
41460.625	65.315	0
41460.66667	65.4717	0
41460.70833	65.6277	0
41460.75	65.7828	0
41460.79167	65.9371	0
41460.83333	66.0906	0
41460.875	66.2435	0
41460.91667	66.3957	0
41460.95833	66.5472	0
41461	66.6982	0
41461.04167	66.8486	0
41461.08333	66.9985	0
41461.125	67.1478	0
41461.16667	67.2965	0
41461.20833	67.4447	0
41461.25	67.5923	0
41461.29167	67.7394	0
41461.33333	67.886	0
41461.375	68.0321	0
41461.41667	68.1778	0
41461.45833	68.323	0
41461.5	68.4678	0
41461.54167	68.6118	0
41461.58333	68.7548	0
41461.625	68.8966	0
41461.66667	69.0372	0
41461.70833	69.1768	0
41461.75	69.3154	0
41461.79167	69.4532	0
41461.83333	69.5901	0
41461.875	69.7266	0
41461.91667	69.8626	0
41461.95833	69.9981	0
41462	70.1332	0
41462.04167	70.2679	0
41462.08333	70.4022	0
41462.125	70.5361	0
41462.16667	70.6696	0
41462.20833	70.8025	0
41462.25	70.9348	0
41462.29167	71.0666	0
41462.33333	71.1979	0
41462.375	71.3286	0
41462.41667	71.4589	0
41462.45833	71.5887	0
41462.5	71.718	0
41462.54167	71.8464	0
41462.58333	71.9738	0
41462.625	72.0999	0
41462.66667	72.2249	0
41462.70833	72.3488	0
41462.75	72.4718	0
41462.79167	72.5941	0
41462.83333	72.7156	0
41462.875	72.8365	0
41462.91667	72.9571	0
41462.95833	73.0771	0
41463	73.1967	0
41463.04167	73.3159	0
41463.08333	73.4346	0
41463.125	73.5528	0
41463.16667	73.6707	0
41463.20833	73.7881	0
41463.25	73.905	0
41463.29167	74.0216	0
41463.33333	74.1377	0
41463.375	74.2535	0
41463.41667	74.3688	0
41463.45833	74.4838	0
41463.5	74.5983	0
41463.54167	74.7122	0
41463.58333	74.8251	0
41463.625	74.9372	0
41463.66667	75.0485	0
41463.70833	75.159	0
41463.75	75.2688	0
41463.79167	75.378	0
41463.83333	75.4866	0
41463.875	75.5947	0
41463.91667	75.7025	0
41463.95833	75.8098	0
41464	75.9166	0
41464.04167	76.0231	0
41464.08333	76.1291	0
41464.125	76.2347	0
41464.16667	76.3399	0
41464.20833	76.4446	0
41464.25	76.5489	0
41464.29167	76.6528	0
41464.33333	76.7563	0
41464.375	76.8594	0
41464.41667	76.962	0
41464.45833	77.0642	0
41464.5	77.166	0
41464.54167	77.2672	0
41464.58333	77.3678	0
41464.625	77.4677	0
41464.66667	77.567	0
41464.70833	77.6657	0
41464.75	77.7639	0
41464.79167	77.8615	0
41464.83333	77.9587	0
41464.875	78.0554	0
41464.91667	78.1517	0
41464.95833	78.2475	0
41465	78.343	0
41465.04167	78.438	0
41465.08333	78.5326	0
41465.125	78.6269	0
41465.16667	78.7206	0
41465.20833	78.814	0
41465.25	78.907	0
41465.29167	78.9996	0
41465.33333	79.0917	0
41465.375	79.1834	0
41465.41667	79.2748	0
41465.45833	79.3657	0
41465.5	79.4562	0
41465.54167	79.5462	0
41465.58333	79.6358	0
41465.625	79.7249	0
41465.66667	79.8135	0
41465.70833	79.9017	0
41465.75	79.9895	0
41465.79167	80.0769	0
41465.83333	80.1638	0
41465.875	80.2503	0
41465.91667	80.3365	0
41465.95833	80.4222	0
41466	80.5076	0
41466.04167	80.5926	0
41466.08333	80.6771	0
41466.125	80.7613	0
41466.16667	80.8451	0
41466.20833	80.9285	0
41466.25	81.0115	0
41466.29167	81.0941	0
41466.33333	81.1764	0
41466.375	81.2582	0
41466.41667	81.3397	0
41466.45833	81.4207	0
41466.5	81.5014	0
41466.54167	81.5817	0
41466.58333	81.6616	0
41466.625	81.7411	0
41466.66667	81.8203	0
41466.70833	81.899	0
41466.75	81.9774	0
41466.79167	82.0554	0
41466.83333	82.133	0
41466.875	82.2102	0
41466.91667	82.2871	0
41466.95833	82.3636	0
41467	82.4397	0
41467.04167	82.5155	0
41467.08333	82.5909	0
41467.125	82.6659	0
41467.16667	82.7406	0
41467.20833	82.8149	0
41467.25	82.8889	0
41467.29167	82.9624	0
41467.33333	83.0357	0
41467.375	83.1085	0
41467.41667	83.181	0
41467.45833	83.2532	0
41467.5	83.325	0
41467.54167	83.3964	0
41467.58333	83.4675	0
41467.625	83.5382	0
41467.66667	83.6086	0
41467.70833	83.6786	0
41467.75	83.7483	0
41467.79167	83.8176	0
41467.83333	83.8866	0
41467.875	83.9552	0
41467.91667	84.0235	0
41467.95833	84.0914	0
41468	84.159	0
41468.04167	84.2263	0
41468.08333	84.2932	0
41468.125	84.3598	0
41468.16667	84.4261	0
41468.20833	84.492	0
41468.25	84.5576	0
41468.29167	84.6229	0
41468.33333	84.6878	0
41468.375	84.7524	0
41468.41667	84.8167	0
41468.45833	84.8806	0
41468.5	84.9442	0
41468.54167	85.0075	0
41468.58333	85.0705	0
41468.625	85.1331	0
41468.66667	85.1955	0
41468.70833	85.2575	0
41468.75	85.3192	0
41468.79167	85.3805	0
41468.83333	85.4416	0
41468.875	85.5023	0
41468.91667	85.5627	0
41468.95833	85.6228	0
41469	85.6826	0
41469.04167	85.7421	0
41469.08333	85.8012	0
41469.125	85.8601	0
41469.16667	85.9186	0
41469.20833	85.9769	0
41469.25	86.0348	0
41469.29167	86.0925	0
41469.33333	86.1498	0
41469.375	86.2068	0
41469.41667	86.2636	0
41469.45833	86.32	0
41469.5	86.3761	0
41469.54167	86.432	0
41469.58333	86.4875	0
41469.625	86.5427	0
41469.66667	86.5977	0
41469.70833	86.6523	0
41469.75	86.7067	0
41469.79167	86.7607	0
41469.83333	86.8145	0
41469.875	86.868	0
41469.91667	86.9212	0
41469.95833	86.9741	0
41470	87.0267	0
41470.04167	87.0791	0
41470.08333	87.1311	0
41470.125	87.1829	0
41470.16667	87.2344	0
41470.20833	87.2856	0
41470.25	87.3365	0
41470.29167	87.3872	0
41470.33333	87.4376	0
41470.375	87.4877	0
41470.41667	87.5375	0
41470.45833	87.5871	0
41470.5	87.6363	0
41470.54167	87.6853	0
41470.58333	87.7341	0
41470.625	87.7825	0
41470.66667	87.8307	0
41470.70833	87.8786	0
41470.75	87.9263	0
41470.79167	87.9737	0
41470.83333	88.0208	0
41470.875	88.0676	0
41470.91667	88.1142	0
41470.95833	88.1605	0
41471	88.2066	0
41471.04167	88.2524	0
41471.08333	88.298	0
41471.125	88.3433	0
41471.16667	88.3883	0
41471.20833	88.4331	0
41471.25	88.4776	0
41471.29167	88.5219	0
41471.33333	88.5659	0
41471.375	88.6097	0
41471.41667	88.6532	0
41471.45833	88.6965	0
41471.5	88.7395	0
41471.54167	88.7822	0
41471.58333	88.8248	0
41471.625	88.867	0
41471.66667	88.909	0
41471.70833	88.9508	0
41471.75	88.9923	0
41471.79167	89.0336	0
41471.83333	89.0746	0
41471.875	89.1154	0
41471.91667	89.1559	0
41471.95833	89.1962	0
41472	89.2363	0
41472.04167	89.2761	0
41472.08333	89.3157	0
41472.125	89.355	0
41472.16667	89.3941	0
41472.20833	89.433	0
41472.25	89.4717	0
41472.29167	89.5101	0
41472.33333	89.5482	0
41472.375	89.5862	0
41472.41667	89.6239	0
41472.45833	89.6614	0
41472.5	89.6986	0
41472.54167	89.7356	0
41472.58333	89.7724	0
41472.625	89.809	0
41472.66667	89.8453	0
41472.70833	89.8814	0
41472.75	89.9173	0
41472.79167	89.9529	0
41472.83333	89.9884	0
41472.875	90.0236	0
41472.91667	90.0586	0
41472.95833	90.0933	0
41473	90.1279	0
41473.04167	90.1622	0
41473.08333	90.1963	0
41473.125	90.2301	0
41473.16667	90.2638	0
41473.20833	90.2973	0
41473.25	90.3305	0
41473.29167	90.3635	0
41473.33333	90.3963	0
41473.375	90.4289	0
41473.41667	90.4613	0
41473.45833	90.4934	0
41473.5	90.5254	0
41473.54167	90.5571	0
41473.58333	90.5887	0
41473.625	90.62	0
41473.66667	90.6511	0
41473.70833	90.682	0
41473.75	90.7127	0
41473.79167	90.7432	0
41473.83333	90.7735	0
41473.875	90.8035	0
41473.91667	90.8334	0
41473.95833	90.8631	0
41474	90.8926	0
41474.04167	90.9218	0
41474.08333	90.9509	0
41474.125	90.9798	0
41474.16667	91.0084	0
41474.20833	91.0369	0
41474.25	91.0651	0
41474.29167	91.0932	0
41474.33333	91.1211	0
41474.375	91.1488	0
41474.41667	91.1762	0
41474.45833	91.2035	0
41474.5	91.2306	0
41474.54167	91.2575	0
41474.58333	91.2842	0
41474.625	91.3107	0
41474.66667	91.337	0
41474.70833	91.3632	0
41474.75	91.3891	0
41474.79167	91.4148	0
41474.83333	91.4404	0
41474.875	91.4657	0
41474.91667	91.4909	0
41474.95833	91.5159	0
41475	91.5407	0
41475.04167	91.5653	0
41475.08333	91.5897	0
41475.125	91.614	0
41475.16667	91.638	0
41475.20833	91.6619	0
41475.25	91.6856	0
41475.29167	91.7091	0
41475.33333	91.7324	0
41475.375	91.7556	0
41475.41667	91.7786	0
41475.45833	91.8013	0
41475.5	91.824	0
41475.54167	91.8464	0
41475.58333	91.8686	0
41475.625	91.8907	0
41475.66667	91.9126	0
41475.70833	91.9343	0
41475.75	91.9559	0
41475.79167	91.9772	0
41475.83333	91.9984	0
41475.875	92.0194	0
41475.91667	92.0403	0
41475.95833	92.061	0
41476	92.0815	0
41476.04167	92.1018	0
41476.08333	92.122	0
41476.125	92.142	0
41476.16667	92.1618	0
41476.20833	92.1814	0
41476.25	92.2009	0
41476.29167	92.2202	0
41476.33333	92.2394	0
41476.375	92.2584	0
41476.41667	92.2772	0
41476.45833	92.2959	0
41476.5	92.3143	0
41476.54167	92.3327	0
41476.58333	92.3508	0
41476.625	92.3688	0
41476.66667	92.3866	0
41476.70833	92.4043	0
41476.75	92.4218	0
41476.79167	92.4392	0
41476.83333	92.4563	0
41476.875	92.4734	0
41476.91667	92.4902	0
41476.95833	92.5069	0
41477	92.5235	0
41477.04167	92.5399	0
41477.08333	92.5561	0
41477.125	92.5722	0
41477.16667	92.5881	0
41477.20833	92.6039	0
41477.25	92.6195	0
41477.29167	92.6349	0
41477.33333	92.6502	0
41477.375	92.6654	0
41477.41667	92.6804	0
41477.45833	92.6952	0
41477.5	92.7099	0
41477.54167	92.7244	0
41477.58333	92.7388	0
41477.625	92.753	0
41477.66667	92.7671	0
41477.70833	92.7811	0
41477.75	92.7948	0
41477.79167	92.8085	0
41477.83333	92.822	0
41477.875	92.8353	0
41477.91667	92.8485	0
41477.95833	92.8615	0
41478	92.8744	0
41478.04167	92.8872	0
41478.08333	92.8998	0
41478.125	92.9122	0
41478.16667	92.9246	0
41478.20833	92.9367	0
41478.25	92.9488	0
41478.29167	92.9607	0
41478.33333	92.9724	0
41478.375	92.984	0
41478.41667	92.9955	0
41478.45833	93.0068	0
41478.5	93.018	0
41478.54167	93.029	0
41478.58333	93.0399	0
41478.625	93.0507	0
41478.66667	93.0613	0
41478.70833	93.0718	0
41478.75	93.0822	0
41478.79167	93.0924	0
41478.83333	93.1024	0
41478.875	93.1124	0
41478.91667	93.1222	0
41478.95833	93.1318	0
41479	93.1414	0
41479.04167	93.1508	0
41479.08333	93.16	0
41479.125	93.1692	0
41479.16667	93.1781	0
41479.20833	93.187	0
41479.25	93.1957	0
41479.29167	93.2043	0
41479.33333	93.2128	0
41479.375	93.2211	0
41479.41667	93.2293	0
41479.45833	93.2374	0
41479.5	93.2454	0
41479.54167	93.2532	0
41479.58333	93.2609	0
41479.625	93.2684	0
41479.66667	93.2759	0
41479.70833	93.2832	0
41479.75	93.2903	0
41479.79167	93.2974	0
41479.83333	93.3043	0
41479.875	93.3111	0
41479.91667	93.3178	0
41479.95833	93.3243	0
41480	93.3307	0
41480.04167	93.337	0
41480.08333	93.3432	0
41480.125	93.3493	0
41480.16667	93.3552	0
41480.20833	93.361	0
41480.25	93.3667	0
41480.29167	93.3722	0
41480.33333	93.3777	0
41480.375	93.383	0
41480.41667	93.3882	0
41480.45833	93.3933	0
41480.5	93.3982	0
41480.54167	93.403	0
41480.58333	93.4078	0
41480.625	93.4124	0
41480.66667	93.4168	0
41480.70833	93.4212	0
41480.75	93.4255	0
41480.79167	93.4296	0
41480.83333	93.4336	0
41480.875	93.4375	0
41480.91667	93.4412	0
41480.95833	93.4449	0
41481	93.4485	0
41481.04167	93.4519	0
41481.08333	93.4552	0
41481.125	93.4584	0
41481.16667	93.4615	0
41481.20833	93.4645	0
41481.25	93.4673	0
41481.29167	93.4701	0
41481.33333	93.4727	0
41481.375	93.4753	0
41481.41667	93.4777	0
41481.45833	93.48	0
41481.5	93.4822	0
41481.54167	93.4842	0
41481.58333	93.4862	0
41481.625	93.4881	0
41481.66667	93.4898	0
41481.70833	93.4915	0
41481.75	93.493	0
41481.79167	93.4945	0
41481.83333	93.4958	0
41481.875	93.497	0
41481.91667	93.4981	0
41481.95833	93.4991	0
41482	93.5	0
41482.04167	93.5008	0
41482.08333	93.5014	0
41482.125	93.502	0
41482.16667	93.5025	0
41482.20833	93.5028	0
41482.25	93.5031	0
41482.29167	93.5033	0
41482.33333	93.5033	0
41482.375	93.5032	0
41482.41667	93.5031	0
41482.45833	93.5028	0
41482.5	93.5025	0
41482.54167	93.502	0
41482.58333	93.5014	0
41482.625	93.5008	0
41482.66667	93.5	0
41482.70833	93.4991	0
41482.75	93.4982	0
41482.79167	93.4971	0
41482.83333	93.4959	0
41482.875	93.4946	0
41482.91667	93.4933	0
41482.95833	93.4918	0
41483	93.4902	0
41483.04167	93.4886	0
41483.08333	93.4868	0
41483.125	93.4849	0
41483.16667	93.483	0
41483.20833	93.4809	0
41483.25	93.4788	0
41483.29167	93.4765	0
41483.33333	93.4742	0
41483.375	93.4717	0
41483.41667	93.4692	0
41483.45833	93.4666	0
41483.5	93.4639	0
41483.54167	93.461	0
41483.58333	93.4581	0
41483.625	93.4551	0
41483.66667	93.452	0
41483.70833	93.4488	0
41483.75	93.4455	0
41483.79167	93.4421	0
41483.83333	93.4387	0
41483.875	93.4351	0
41483.91667	93.4314	0
41483.95833	93.4277	0
41484	93.4238	0
41484.04167	93.4199	0
41484.08333	93.4159	0
41484.125	93.4118	0
41484.16667	93.4076	0
41484.20833	93.4033	0
41484.25	93.3989	0
41484.29167	93.3944	0
41484.33333	93.3899	0
41484.375	93.3852	0
41484.41667	93.3805	0
41484.45833	93.3757	0
41484.5	93.3707	0
41484.54167	93.3657	0
41484.58333	93.3607	0
41484.625	93.3555	0
41484.66667	93.3502	0
41484.70833	93.3449	0
41484.75	93.3394	0
41484.79167	93.3339	0
41484.83333	93.3283	0
41484.875	93.3226	0
41484.91667	93.3168	0
41484.95833	93.311	0
41485	93.305	0
41485.04167	93.299	0
41485.08333	93.2929	0
41485.125	93.2867	0
41485.16667	93.2804	0
41485.20833	93.2741	0
41485.25	93.2676	0
41485.29167	93.2611	0
41485.33333	93.2545	0
41485.375	93.2478	0
41485.41667	93.241	0
41485.45833	93.2342	0
41485.5	93.2272	0
41485.54167	93.2202	0
41485.58333	93.2131	0
41485.625	93.2059	0
41485.66667	93.1987	0
41485.70833	93.1914	0
41485.75	93.1839	0
41485.79167	93.1764	0
41485.83333	93.1689	0
41485.875	93.1612	0
41485.91667	93.1535	0
41485.95833	93.1457	0
41486	93.1378	0
41486.04167	93.1298	0
41486.08333	93.1218	0
41486.125	93.1136	0
41486.16667	93.1054	0
41486.20833	93.0972	0
41486.25	93.0888	0
41486.29167	93.0804	0
41486.33333	93.0719	0
41486.375	93.0633	0
41486.41667	93.0546	0
41486.45833	93.0459	0
41486.5	93.0371	0
41486.54167	93.0282	0
41486.58333	93.0193	0
41486.625	93.0102	0
41486.66667	93.0011	0
41486.70833	92.992	0
41486.75	92.9827	0
41486.79167	92.9734	0
41486.83333	92.964	0
41486.875	92.9545	0
41486.91667	92.945	0
41486.95833	92.9353	0
41487	92.9257	0
41487.04167	92.9159	0
41487.08333	92.9061	0
41487.125	92.8962	0
41487.16667	92.8862	0
41487.20833	92.8761	0
41487.25	92.866	0
41487.29167	92.8558	0
41487.33333	92.8456	0
41487.375	92.8352	0
41487.41667	92.8248	0
41487.45833	92.8144	0
41487.5	92.8038	0
41487.54167	92.7932	0
41487.58333	92.7825	0
41487.625	92.7718	0
41487.66667	92.761	0
41487.70833	92.7501	0
41487.75	92.7391	0
41487.79167	92.7281	0
41487.83333	92.717	0
41487.875	92.7059	0
41487.91667	92.6947	0
41487.95833	92.6834	0
41488	92.672	0
41488.04167	92.6606	0
41488.08333	92.6491	0
41488.125	92.6376	0
41488.16667	92.6259	0
41488.20833	92.6142	0
41488.25	92.6025	0
41488.29167	92.5907	0
41488.33333	92.5788	0
41488.375	92.5668	0
41488.41667	92.5548	0
41488.45833	92.5428	0
41488.5	92.5306	0
41488.54167	92.5184	0
41488.58333	92.5061	0
41488.625	92.4938	0
41488.66667	92.4814	0
41488.70833	92.469	0
41488.75	92.4564	0
41488.79167	92.4438	0
41488.83333	92.4312	0
41488.875	92.4185	0
41488.91667	92.4057	0
41488.95833	92.3929	0
41489	92.38	0
41489.04167	92.367	0
41489.08333	92.354	0
41489.125	92.3409	0
41489.16667	92.3278	0
41489.20833	92.3146	0
41489.25	92.3013	0
41489.29167	92.288	0
41489.33333	92.2746	0
41489.375	92.2612	0
41489.41667	92.2477	0
41489.45833	92.2341	0
41489.5	92.2205	0
41489.54167	92.2068	0
41489.58333	92.1931	0
41489.625	92.1793	0
41489.66667	92.1654	0
41489.70833	92.1515	0
41489.75	92.1375	0
41489.79167	92.1235	0
41489.83333	92.1094	0
41489.875	92.0952	0
41489.91667	92.081	0
41489.95833	92.0668	0
41490	92.0524	0
41490.04167	92.0381	0
41490.08333	92.0236	0
41490.125	92.0091	0
41490.16667	91.9946	0
41490.20833	91.98	0
41490.25	91.9653	0
41490.29167	91.9506	0
41490.33333	91.9359	0
41490.375	91.921	0
41490.41667	91.9062	0
41490.45833	91.8912	0
41490.5	91.8762	0
41490.54167	91.8612	0
41490.58333	91.8461	0
41490.625	91.8309	0
41490.66667	91.8157	0
41490.70833	91.8005	0
41490.75	91.7851	0
41490.79167	91.7698	0
41490.83333	91.7543	0
41490.875	91.7389	0
41490.91667	91.7233	0
41490.95833	91.7077	0
41491	91.6921	0
41491.04167	91.6764	0
41491.08333	91.6607	0
41491.125	91.6449	0
41491.16667	91.629	0
41491.20833	91.6131	0
41491.25	91.5972	0
41491.29167	91.5812	0
41491.33333	91.5651	0
41491.375	91.549	0
41491.41667	91.5329	0
41491.45833	91.5167	0
41491.5	91.5004	0
41491.54167	91.4841	0
41491.58333	91.4677	0
41491.625	91.4513	0
41491.66667	91.4349	0
41491.70833	91.4184	0
41491.75	91.4018	0
41491.79167	91.3852	0
41491.83333	91.3685	0
41491.875	91.3518	0
41491.91667	91.3351	0
41491.95833	91.3183	0
41492	91.3014	0
41492.04167	91.2845	0
41492.08333	91.2676	0
41492.125	91.2506	0
41492.16667	91.2335	0
41492.20833	91.2164	0
41492.25	91.1993	0
41492.29167	91.1821	0
41492.33333	91.1649	0
41492.375	91.1476	0
41492.41667	91.1302	0
41492.45833	91.1129	0
41492.5	91.0955	0
41492.54167	91.078	0
41492.58333	91.0605	0
41492.625	91.0429	0
41492.66667	91.0253	0
41492.70833	91.0076	0
41492.75	90.9899	0
41492.79167	90.9722	0
41492.83333	90.9544	0
41492.875	90.9365	0
41492.91667	90.9186	0
41492.95833	90.9007	0
41493	90.8828	0
41493.04167	90.8647	0
41493.08333	90.8467	0
41493.125	90.8286	0
41493.16667	90.8104	0
41493.20833	90.7922	0
41493.25	90.774	0
41493.29167	90.7557	0
41493.33333	90.7374	0
41493.375	90.719	0
41493.41667	90.7006	0
41493.45833	90.6821	0
41493.5	90.6636	0
41493.54167	90.6451	0
41493.58333	90.6265	0
41493.625	90.6078	0
41493.66667	90.5892	0
41493.70833	90.5704	0
41493.75	90.5517	0
41493.79167	90.5329	0
41493.83333	90.514	0
41493.875	90.4952	0
41493.91667	90.4762	0
41493.95833	90.4573	0
41494	90.4382	0
41494.04167	90.4192	0
41494.08333	90.4001	0
41494.125	90.381	0
41494.16667	90.3618	0
41494.20833	90.3426	0
41494.25	90.3233	0
41494.29167	90.304	0
41494.33333	90.2847	0
41494.375	90.2653	0
41494.41667	90.2459	0
41494.45833	90.2264	0
41494.5	90.2069	0
41494.54167	90.1874	0
41494.58333	90.1678	0
41494.625	90.1482	0
41494.66667	90.1286	0
41494.70833	90.1089	0
41494.75	90.0891	0
41494.79167	90.0694	0
41494.83333	90.0495	0
41494.875	90.0297	0
41494.91667	90.0098	0
41494.95833	89.9899	0
41495	89.9699	0
41495.04167	89.9499	0
41495.08333	89.9299	0
41495.125	89.9098	0
41495.16667	89.8897	0
41495.20833	89.8695	0
41495.25	89.8493	0
41495.29167	89.8291	0
41495.33333	89.8088	0
41495.375	89.7885	0
41495.41667	89.7682	0
41495.45833	89.7478	0
41495.5	89.7274	0
41495.54167	89.7069	0
41495.58333	89.6865	0
41495.625	89.6659	0
41495.66667	89.6454	0
41495.70833	89.6248	0
41495.75	89.6042	0
41495.79167	89.5835	0
41495.83333	89.5628	0
41495.875	89.542	0
41495.91667	89.5213	0
41495.95833	89.5005	0
41496	89.4796	0
41496.04167	89.4587	0
41496.08333	89.4378	0
41496.125	89.4169	0
41496.16667	89.3959	0
41496.20833	89.3749	0
41496.25	89.3538	0
41496.29167	89.3328	0
41496.33333	89.3116	0
41496.375	89.2905	0
41496.41667	89.2693	0
41496.45833	89.2481	0
41496.5	89.2268	0
41496.54167	89.2055	0
