OBJECTID,Id,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,874,0.000126205600000,103.809448242187500,103.809448242187500,0.000000000000000,103.809448242187500,0.000000000000000,90729.457763671875000
2,2,755,0.000109022000000,202.658447265625000,202.658447265625000,0.000000000000000,202.658447265625000,0.000000000000000,153007.127685546875000
3,3,705,0.000101802000000,204.154434204101562,204.154434204101562,0.000000000000000,204.154434204101562,0.000000000000000,143928.876113891601562
4,4,557,0.000080430800000,204.651535034179688,204.651535034179688,0.000000000000000,204.651535034179688,0.000000000000000,113990.905014038085938
5,5,4190,0.000605036000000,210.275390625000000,210.275390625000000,0.000000000000000,210.275390625000000,0.000000000000000,881053.886718750000000
6,6,2318,0.000334719200000,219.594421386718750,219.594421386718750,0.000000000000000,219.594421386718750,0.000000000000000,509019.868774414062500
7,7,2244,0.000324033600000,269.495239257812500,269.495239257812500,0.000000000000000,269.495239257812500,0.000000000000000,604747.316894531250000
8,8,2086,0.000301218400000,219.191116333007812,219.191116333007812,0.000000000000000,219.191116333007812,0.000000000000000,457232.668670654296875
9,9,1826,0.000263674400000,309.707855224609375,309.707855224609375,0.000000000000000,309.707855224609375,0.000029960979838,565526.543640136718750
10,10,2643,0.000381649200000,339.067230224609375,339.067230224609375,0.000000000000000,339.067230224609375,0.000054145597011,896154.689483642578125
11,11,5413,0.000781637200000,330.187835693359375,330.187835693359375,0.000000000000000,330.187835693359375,0.000063309914982,1787306.754608154296875
12,12,1551,0.000223964400000,338.912994384765625,338.912994384765625,0.000000000000000,338.912994384765625,0.000031609732974,525654.054290771484375
13,13,1380,0.000199272000000,207.127822875976562,207.127822875976562,0.000000000000000,207.127822875976562,0.000037249639755,285836.395568847656250
14,14,1144,0.000165193600000,207.055541992187500,207.055541992187500,0.000000000000000,207.055541992187500,0.000000000000000,236871.540039062500000
15,15,3568,0.000515219200000,123.104736328125000,123.104736328125000,0.000000000000000,123.104736328125000,0.000000000000000,439237.699218750000000
16,16,6051,0.000873764400000,137.155609130859375,137.155609130859375,0.000000000000000,137.155609130859375,0.000000000000000,829928.590850830078125
17,17,1084,0.000156529600000,130.621948242187500,130.621948242187500,0.000000000000000,130.621948242187500,0.000000000000000,141594.191894531250000
