OBJECTID,Value,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,1,874,0.000126205600000,4738,6022,1284,5275.548054919908282,264.729118670312232,4610829.000000000000000,533,5083,4738,5200
2,2,755,0.000109022000000,5134,6076,942,5495.252980132449920,218.602559562814832,4148916.000000000000000,477,5325,5134,5438
3,3,705,0.000101802000000,4744,5275,531,5020.632624113474776,125.940725952333395,3539546.000000000000000,364,4921,4744,5016
4,4,557,0.000080430800000,4615,5166,551,4793.360861759425461,129.350930864824704,2669902.000000000000000,308,4648,4617,4768
5,5,4190,0.000605036000000,4947,6131,1184,5250.558949880668479,210.557283595863623,21999842.000000000000000,838,5172,4947,5190
6,6,2318,0.000334719200000,4490,5402,912,4893.467213114754486,138.284683114970932,11343057.000000000000000,578,4959,4490,4903
7,7,2244,0.000324033600000,4140,4623,483,4289.920231729055558,87.877757831617103,9626581.000000000000000,376,4307,4144,4305
8,8,2086,0.000301218400000,3902,4196,294,4045.277085330776572,65.109097339884585,8438448.000000000000000,271,3972,3903,4044
9,9,1826,0.000263674400000,4810,5770,960,5152.128696604600009,183.867280275517203,9407787.000000000000000,652,5088,4810,5115
10,10,2643,0.000381649200000,4791,5514,723,5138.299659477866044,134.369762013291194,13580526.000000000000000,584,5219,4791,5127
11,11,5413,0.000781637200000,4306,5109,803,4762.311287640864975,141.204987223655962,25778391.000000000000000,673,4784,4306,4769
12,12,1551,0.000223964400000,4060,4637,577,4358.408768536428397,140.493050094721809,6759892.000000000000000,493,4375,4067,4379
13,13,1380,0.000199272000000,4550,5083,533,4778.161594202898414,111.212862110943917,6593863.000000000000000,418,4692,4550,4765
14,14,1144,0.000165193600000,4129,4736,607,4450.409965034965353,123.039260912412772,5091269.000000000000000,441,4503,4129,4466
15,15,3568,0.000515219200000,4770,5368,598,4975.602298206277737,110.502524499350841,17752949.000000000000000,507,4884,4770,4961
16,16,6051,0.000873764400000,4324,5075,751,4665.889439762022448,124.856903077526866,28233297.000000000000000,630,4713,4324,4675
17,17,1084,0.000156529600000,4104,4497,393,4298.964022140221459,80.057265003013455,4660077.000000000000000,323,4358,4104,4305
